,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,12815629.44,2018-12-13T10:14:57,0.0,2018-12-03,SUB,1401000000.0,SUB03122018,275,1079.19,2771365.28,0.035599,TRYDUUM00028,9032326.0,20297242.5,570156037.0
1,14027345.99,2018-12-14T10:14:56,0.0,2018-12-04,SUB,1401000000.0,SUB04122018,272,606.73,3986570.5,0.035596,TRYDUUM00028,9057875.0,18189514.34,511003816.0
2,14307529.89,2018-12-15T10:14:55,0.0,2018-12-05,SUB,1401000000.0,SUB05122018,275,696.92,3502258.22,0.035617,TRYDUUM00028,9082403.0,18468985.88,518549552.0
3,13772170.78,2018-12-16T10:14:54,0.0,2018-12-06,SUB,1401000000.0,SUB06122018,271,720.13,3502186.3,0.035637,TRYDUUM00028,9090579.0,17932867.22,503204986.0
4,11969451.04,2018-12-17T10:14:59,0.0,2018-12-07,SUB,1401000000.0,SUB07122018,267,173.98,2524600.76,0.035609,TRYDUUM00028,9098755.0,16153395.76,453632441.0
5,10926107.51,2018-12-20T10:14:57,0.0,2018-12-10,SUB,1401000000.0,SUB10122018,265,179.1,1691267.32,0.028765,TRYDUUM00028,9170295.0,12216377.91,424692168.0
6,12418367.4,2018-12-21T10:14:56,0.0,2018-12-11,SUB,1401000000.0,SUB11122018,265,870.8,3174050.94,0.028791,TRYDUUM00028,9194823.0,12386543.71,430229574.0
7,11948423.93,2018-12-22T10:14:55,0.0,2018-12-12,SUB,1401000000.0,SUB12122018,258,572.61,2694726.47,0.028813,TRYDUUM00028,9219351.0,11915741.13,413557259.0
8,11388858.55,2018-12-23T10:14:54,0.0,2018-12-13,SUB,1401000000.0,SUB13122018,253,351.87,2125355.87,0.02884,TRYDUUM00028,9227527.0,11355414.75,393743196.0
9,11081903.49,2018-12-24T10:14:53,0.0,2018-12-14,SUB,1401000000.0,SUB14122018,253,604.28,1818167.36,0.028867,TRYDUUM00028,9235704.0,11048183.16,382731813.0
10,11593582.23,2018-12-27T10:14:57,0.0,2018-12-17,SUB,1401000000.0,SUB17122018,252,726.47,2312401.01,0.028917,TRYDUUM00028,9307243.0,11558340.79,399706494.0
11,11485246.62,2018-12-28T10:14:59,0.0,2018-12-18,SUB,1401000000.0,SUB18122018,251,155.89,2194405.92,0.028943,TRYDUUM00028,9332690.0,11448890.89,395560603.0
12,8879494.54,2018-12-29T10:14:58,0.0,2018-12-19,SUB,1401000000.0,SUB19122018,251,644.83,2200403.75,0.028809,TRYDUUM00028,9357218.0,11400941.03,395737987.0
13,9689468.51,2018-12-30T10:14:58,0.0,2018-12-20,SUB,1401000000.0,SUB20122018,247,168.68,3017908.76,0.02883,TRYDUUM00028,9365393.0,9652106.16,334795960.0
14,8062056.78,2018-12-31T10:15:00,0.0,2018-12-21,SUB,1401000000.0,SUB21122018,242,857.27,1000635.62,0.028816,TRYDUUM00028,9373569.0,8024965.56,278493694.0
15,7822964.57,2019-01-03T10:14:57,0.0,2018-12-24,SUB,1401000000.0,SUB24122018,237,870.19,1001919.18,0.028788,TRYDUUM00028,9425691.0,7784660.41,270415530.0
16,7527049.34,2019-01-04T10:14:57,0.0,2018-12-25,SUB,1401000000.0,SUB25122018,235,342.33,870554.18,0.028779,TRYDUUM00028,9450219.0,7487819.66,260180180.0
17,7511641.67,2019-01-05T10:14:56,0.0,2018-12-26,SUB,1401000000.0,SUB26122018,233,939.48,856553.47,0.028774,TRYDUUM00028,9473725.0,7472612.04,259696000.0
18,7281902.3,2019-01-06T10:14:55,0.0,2018-12-27,SUB,1401000000.0,SUB27122018,224,497.06,657437.4,0.028802,TRYDUUM00028,9480879.0,7242041.65,251440299.0
19,6800553.67,2019-01-07T10:15:00,0.0,2018-12-28,SUB,1401000000.0,SUB28122018,222,407.29,167102.95,0.028839,TRYDUUM00028,9488034.0,6760232.41,234409410.0
20,6809563.64,2019-01-10T10:14:57,0.0,2018-12-31,SUB,1401000000.0,SUB31122018,222,514.68,167319.82,0.028874,TRYDUUM00028,9556508.0,6768236.33,234409853.0
21,5376748.28,2019-01-12T10:14:58,0.0,2019-01-02,SUB,1401000000.0,SUB02012019,221,244.3,117160.27,0.028786,TRYDUUM00028,9604438.0,6398092.57,222267866.0
22,6151237.48,2019-01-13T10:14:57,0.0,2019-01-03,SUB,1401000000.0,SUB03012019,220,323.71,783512.7,0.028837,TRYDUUM00028,9612614.0,6311738.97,218878495.0
23,6187263.83,2019-01-14T10:14:59,0.0,2019-01-04,SUB,1401000000.0,SUB04012019,219,943.93,970627.18,0.028844,TRYDUUM00028,9620790.0,6297219.44,218320402.0
24,6334841.96,2019-01-17T10:14:57,0.0,2019-01-07,SUB,1401000000.0,SUB07012019,217,227.33,1109115.43,0.028888,TRYDUUM00028,9692330.0,6290798.37,217764041.0
25,5776650.66,2019-01-18T10:14:56,0.0,2019-01-08,SUB,1401000000.0,SUB08012019,217,777.03,1096708.65,0.02885,TRYDUUM00028,9717880.0,6283337.65,217795190.0
26,6315708.04,2019-01-19T10:14:55,0.0,2019-01-09,SUB,1401000000.0,SUB09012019,216,766.18,1000646.58,0.028865,TRYDUUM00028,9742408.0,6282608.53,217651661.0
27,6168793.78,2019-01-20T10:14:54,0.0,2019-01-10,SUB,1401000000.0,SUB10012019,216,851.73,1000647.95,0.028893,TRYDUUM00028,9750585.0,6136479.97,212388329.0
28,6044475.48,2019-01-21T10:14:59,0.0,2019-01-11,SUB,1401000000.0,SUB11012019,215,382.1,1000634.25,0.028908,TRYDUUM00028,9758761.0,6063284.84,209746399.0
29,6106075.45,2019-01-24T10:14:57,0.0,2019-01-14,SUB,1401000000.0,SUB14012019,215,1060.23,983920.95,0.028954,TRYDUUM00028,9830301.0,6072901.36,209746399.0
30,6109026.79,2019-01-25T10:14:56,0.0,2019-01-15,SUB,1401000000.0,SUB15012019,214,667.17,1000650.68,0.028966,TRYDUUM00028,9855851.0,6075202.28,209732937.0
31,6071959.67,2019-01-26T10:14:55,0.0,2019-01-16,SUB,1401000000.0,SUB16012019,213,701.83,1000658.9,0.028993,TRYDUUM00028,9880379.0,6038233.71,208267581.0
32,5892902.72,2019-01-27T10:14:57,0.0,2019-01-17,SUB,1401000000.0,SUB17012019,213,1036.1,1000657.53,0.029008,TRYDUUM00028,9888452.0,6051812.06,208624632.0
