,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,19710275.09,2018-12-13T10:14:57,15000000.0,2018-12-03,TAU,1500000000.0,TAU03122018,641,2965.44,0.0,0.043854,TRMTAUWWWWW6,9032331.0,19957811.62,455099258.0
1,18873491.27,2018-12-14T10:14:56,15000000.0,2018-12-04,TAU,1500000000.0,TAU04122018,640,2290.77,0.0,0.043517,TRMTAUWWWWW6,9057880.0,19434905.11,446602258.0
2,18631696.04,2018-12-15T10:14:55,15000000.0,2018-12-05,TAU,1500000000.0,TAU05122018,642,2234.57,0.0,0.04261,TRMTAUWWWWW6,9082408.0,18325197.1,430069258.0
3,17965342.88,2018-12-16T10:14:54,15000000.0,2018-12-06,TAU,1500000000.0,TAU06122018,638,2458.25,0.0,0.041526,TRMTAUWWWWW6,9090584.0,17731154.56,426990258.0
4,17454776.1,2018-12-17T10:14:59,15000000.0,2018-12-07,TAU,1500000000.0,TAU07122018,636,2180.18,0.0,0.040782,TRMTAUWWWWW6,9098760.0,17313522.18,424539258.0
5,17741448.8,2018-12-20T10:14:57,15000000.0,2018-12-10,TAU,1500000000.0,TAU10122018,631,2477.23,0.0,0.0418,TRMTAUWWWWW6,9170300.0,17686787.62,423125258.0
6,17352068.06,2018-12-21T10:14:56,15000000.0,2018-12-11,TAU,1500000000.0,TAU11122018,625,2267.18,0.0,0.041162,TRMTAUWWWWW6,9194828.0,17398871.83,422694258.0
7,17849799.88,2018-12-22T10:14:55,15000000.0,2018-12-12,TAU,1500000000.0,TAU12122018,624,2149.63,0.0,0.040967,TRMTAUWWWWW6,9219356.0,17631362.28,430377258.0
8,18102392.57,2018-12-23T10:14:54,15000000.0,2018-12-13,TAU,1500000000.0,TAU13122018,624,2238.46,0.0,0.039525,TRMTAUWWWWW6,9227532.0,17099426.81,432628258.0
9,18875721.88,2018-12-24T10:14:53,15000000.0,2018-12-14,TAU,1500000000.0,TAU14122018,624,2173.37,0.0,0.03998,TRMTAUWWWWW6,9235709.0,18013695.67,450571258.0
10,17921202.71,2018-12-27T10:14:57,15000000.0,2018-12-17,TAU,1500000000.0,TAU17122018,623,2620.06,0.0,0.039852,TRMTAUWWWWW6,9307248.0,17950011.73,450419258.0
11,17959170.44,2018-12-28T10:14:59,15000000.0,2018-12-18,TAU,1500000000.0,TAU18122018,624,2916.3,0.0,0.039787,TRMTAUWWWWW6,9332695.0,17990328.31,452167258.0
12,18535672.94,2018-12-29T10:14:58,15000000.0,2018-12-19,TAU,1500000000.0,TAU19122018,625,2441.1,0.0,0.040989,TRMTAUWWWWW6,9357223.0,18529402.04,452055258.0
13,19184085.61,2018-12-30T10:14:58,15000000.0,2018-12-20,TAU,1500000000.0,TAU20122018,623,2172.92,0.0,0.042122,TRMTAUWWWWW6,9365398.0,19016605.2,451463258.0
14,19378704.7,2018-12-31T10:15:00,15000000.0,2018-12-21,TAU,1500000000.0,TAU21122018,622,2471.73,0.0,0.041844,TRMTAUWWWWW6,9373574.0,19082105.3,456027258.0
15,19229211.05,2019-01-03T10:14:57,15000000.0,2018-12-24,TAU,1500000000.0,TAU24122018,622,2802.35,0.0,0.042047,TRMTAUWWWWW6,9425696.0,19121962.09,454775258.0
16,19093445.49,2019-01-04T10:14:57,15000000.0,2018-12-25,TAU,1500000000.0,TAU25122018,619,2142.03,0.0,0.041867,TRMTAUWWWWW6,9450224.0,19038023.42,454721258.0
17,19016877.89,2019-01-05T10:14:56,15000000.0,2018-12-26,TAU,1500000000.0,TAU26122018,619,2286.62,0.0,0.041708,TRMTAUWWWWW6,9473730.0,18856167.55,452094258.0
18,19031211.08,2019-01-06T10:14:55,15000000.0,2018-12-27,TAU,1500000000.0,TAU27122018,612,2070.34,0.0,0.041972,TRMTAUWWWWW6,9480884.0,18806224.61,448066258.0
19,19173848.5,2019-01-07T10:15:00,15000000.0,2018-12-28,TAU,1500000000.0,TAU28122018,609,2597.12,0.0,0.041933,TRMTAUWWWWW6,9488039.0,19071266.46,454804258.0
