,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,9216191.72,2018-12-13T10:14:57,800000.0,2018-12-03,TBT,80000000.0,TBT03122018,359,18109.43,0.0,15.668986,TRMTE1WWWWW4,9032333.0,9206688.59,587574.0
1,9221195.4,2018-12-14T10:14:56,800000.0,2018-12-04,TBT,80000000.0,TBT04122018,357,12533.51,435280.31,15.667035,TRMTE1WWWWW4,9057882.0,9205495.33,587571.0
2,9197684.39,2018-12-15T10:14:55,800000.0,2018-12-05,TBT,80000000.0,TBT05122018,353,8358.18,420270.99,15.651937,TRMTE1WWWWW4,9082410.0,9177200.1,586330.0
3,9177275.66,2018-12-16T10:14:54,800000.0,2018-12-06,TBT,80000000.0,TBT06122018,353,12133.86,400254.79,15.650643,TRMTE1WWWWW4,9090586.0,9176441.23,586330.0
4,9171629.36,2018-12-17T10:14:59,800000.0,2018-12-07,TBT,80000000.0,TBT07122018,351,7253.84,390248.42,15.657456,TRMTE1WWWWW4,9098762.0,9165608.48,585383.0
5,9241682.16,2018-12-20T10:14:57,800000.0,2018-12-10,TBT,80000000.0,TBT10122018,348,7620.5,362700.69,15.651578,TRMTE1WWWWW4,9170302.0,9134307.79,583603.0
6,9147061.01,2018-12-21T10:14:56,800000.0,2018-12-11,TBT,80000000.0,TBT11122018,349,7591.91,268173.99,15.685314,TRMTE1WWWWW4,9194830.0,9138953.97,582644.0
7,9113293.57,2018-12-22T10:14:55,800000.0,2018-12-12,TBT,80000000.0,TBT12122018,345,6873.86,240153.86,15.674462,TRMTE1WWWWW4,9219358.0,9103805.93,580805.0
8,9088457.28,2018-12-23T10:14:54,800000.0,2018-12-13,TBT,80000000.0,TBT13122018,346,5516.8,240153.53,15.630743,TRMTE1WWWWW4,9227534.0,9077506.9,580747.0
9,9085110.77,2018-12-24T10:14:53,800000.0,2018-12-14,TBT,80000000.0,TBT14122018,345,5574.34,235150.66,15.632638,TRMTE1WWWWW4,9235711.0,9073604.94,580427.0
10,9062578.45,2018-12-27T10:14:57,800000.0,2018-12-17,TBT,80000000.0,TBT17122018,341,7079.07,556049.18,15.642157,TRMTE1WWWWW4,9307250.0,9050473.71,578595.0
11,9024508.2,2018-12-28T10:14:59,800000.0,2018-12-18,TBT,80000000.0,TBT18122018,339,11532.87,615388.34,15.649699,TRMTE1WWWWW4,9332697.0,9016151.61,576123.0
12,8996809.04,2018-12-29T10:14:58,800000.0,2018-12-19,TBT,80000000.0,TBT19122018,336,7630.37,580429.55,15.661767,TRMTE1WWWWW4,9357225.0,8983856.08,573617.0
13,9008781.57,2018-12-30T10:14:58,800000.0,2018-12-20,TBT,80000000.0,TBT20122018,335,7891.86,580490.66,15.681912,TRMTE1WWWWW4,9365400.0,8995379.72,573615.0
14,9040134.04,2018-12-31T10:15:00,800000.0,2018-12-21,TBT,80000000.0,TBT21122018,332,6832.77,585587.15,15.745641,TRMTE1WWWWW4,9373576.0,9024960.79,573172.0
15,9051850.77,2019-01-03T10:14:57,800000.0,2018-12-24,TBT,80000000.0,TBT24122018,331,6773.9,581394.51,15.771606,TRMTE1WWWWW4,9425698.0,9034480.42,572832.0
16,8919558.87,2019-01-04T10:14:57,800000.0,2018-12-25,TBT,80000000.0,TBT25122018,329,4835.35,465768.78,15.764387,TRMTE1WWWWW4,9450226.0,8899548.1,564535.0
17,8925961.88,2019-01-05T10:14:56,800000.0,2018-12-26,TBT,80000000.0,TBT26122018,327,4348.19,465835.78,15.774875,TRMTE1WWWWW4,9473732.0,8904759.09,564490.0
18,8932566.39,2019-01-06T10:14:55,800000.0,2018-12-27,TBT,80000000.0,TBT27122018,327,4572.9,465910.32,15.785724,TRMTE1WWWWW4,9480886.0,8910883.08,564490.0
19,8948278.94,2019-01-07T10:15:00,800000.0,2018-12-28,TBT,80000000.0,TBT28122018,326,8237.32,976255.2,15.836593,TRMTE1WWWWW4,9488041.0,8929541.9,563855.0
20,8989207.06,2019-01-10T10:14:57,800000.0,2018-12-31,TBT,80000000.0,TBT31122018,325,3705.21,802518.95,15.89752,TRMTE1WWWWW4,9556515.0,8963816.54,563850.0
21,8995186.76,2019-01-12T10:14:58,800000.0,2019-01-02,TBT,80000000.0,TBT02012019,325,6744.4,644772.77,15.924473,TRMTE1WWWWW4,9604445.0,8971051.65,563350.0
22,8996594.35,2019-01-13T10:14:57,800000.0,2019-01-03,TBT,80000000.0,TBT03012019,326,8597.49,656468.9,15.928979,TRMTE1WWWWW4,9612621.0,8973685.87,563356.0
23,9048437.36,2019-01-14T10:14:59,800000.0,2019-01-04,TBT,80000000.0,TBT04012019,326,8865.11,706562.93,15.931723,TRMTE1WWWWW4,9620797.0,9025161.79,566490.0
24,9018400.89,2019-01-17T10:14:57,800000.0,2019-01-07,TBT,80000000.0,TBT07012019,322,11867.17,582293.66,15.929062,TRMTE1WWWWW4,9692337.0,8996543.32,564788.0
25,8988312.64,2019-01-18T10:14:56,800000.0,2019-01-08,TBT,80000000.0,TBT08012019,319,5415.38,551722.67,15.935705,TRMTE1WWWWW4,9717887.0,8976216.22,563277.0
26,8960098.88,2019-01-19T10:14:55,800000.0,2019-01-09,TBT,80000000.0,TBT09012019,317,4986.3,526763.05,15.929355,TRMTE1WWWWW4,9742415.0,8946945.2,561664.0
27,8914704.64,2019-01-20T10:14:54,800000.0,2019-01-10,TBT,80000000.0,TBT10012019,314,5108.49,576864.59,15.943124,TRMTE1WWWWW4,9750592.0,8901094.04,558303.0
28,8916968.1,2019-01-21T10:14:59,800000.0,2019-01-11,TBT,80000000.0,TBT11012019,314,5545.06,576931.76,15.946582,TRMTE1WWWWW4,9758768.0,8903167.99,558312.0
29,8961717.79,2019-01-24T10:14:57,800000.0,2019-01-14,TBT,80000000.0,TBT14012019,316,6061.71,580751.78,16.018483,TRMTE1WWWWW4,9830308.0,8946738.97,558526.0
30,8948911.5,2019-01-25T10:14:56,800000.0,2019-01-15,TBT,80000000.0,TBT15012019,315,8404.9,572194.71,16.010378,TRMTE1WWWWW4,9855858.0,8935647.98,558116.0
31,8984591.12,2019-01-26T10:14:55,800000.0,2019-01-16,TBT,80000000.0,TBT16012019,313,7661.91,817423.08,16.082696,TRMTE1WWWWW4,9880386.0,8970397.31,557767.0
32,8994274.64,2019-01-27T10:14:57,800000.0,2019-01-17,TBT,80000000.0,TBT17012019,311,6598.03,817483.8,16.118607,TRMTE1WWWWW4,9888459.0,8978386.27,557020.0
33,8990640.93,2019-01-28T10:14:59,800000.0,2019-01-18,TBT,80000000.0,TBT18012019,312,9038.87,817559.29,16.111746,TRMTE1WWWWW4,9896635.0,8976562.84,557144.0
34,9017307.72,2019-01-31T10:14:57,800000.0,2019-01-21,TBT,80000000.0,TBT21012019,313,6484.68,823717.97,16.148028,TRMTE1WWWWW4,9968175.0,8998779.54,557268.0
35,9013065.02,2019-02-01T10:14:56,800000.0,2019-01-22,TBT,80000000.0,TBT22012019,312,8136.56,820539.18,16.145852,TRMTE1WWWWW4,9993725.0,8995564.6,557144.0
36,9017822.14,2019-02-02T10:14:55,800000.0,2019-01-23,TBT,80000000.0,TBT23012019,312,6392.35,1010668.26,16.150118,TRMTE1WWWWW4,10018253.0,8997941.24,557144.0
37,9017881.67,2019-02-03T10:14:54,800000.0,2019-01-24,TBT,80000000.0,TBT24012019,311,6891.1,1010657.19,16.150236,TRMTE1WWWWW4,10026431.0,8997942.54,557140.0
38,9461894.62,2019-02-04T10:15:00,800000.0,2019-01-25,TBT,80000000.0,TBT25012019,310,8085.87,480306.41,16.157054,TRMTE1WWWWW4,10034607.0,9001094.74,557100.0
39,9026521.04,2019-02-07T10:14:57,800000.0,2019-01-28,TBT,80000000.0,TBT28012019,307,4922.08,180348.41,16.180473,TRMTE1WWWWW4,10106147.0,9002103.08,556356.0
40,9032235.73,2019-02-08T10:14:56,800000.0,2019-01-29,TBT,80000000.0,TBT29012019,306,8483.0,175112.19,16.199211,TRMTE1WWWWW4,10131697.0,9010746.15,556246.0
41,9029706.95,2019-02-09T10:14:55,800000.0,2019-01-30,TBT,80000000.0,TBT30012019,304,5474.23,170108.99,16.202712,TRMTE1WWWWW4,10156227.0,9004576.42,555745.0
42,9064847.43,2019-02-10T10:14:54,800000.0,2019-01-31,TBT,80000000.0,TBT31012019,304,10578.2,365234.5,16.273978,TRMTE1WWWWW4,10164401.0,9044181.67,555745.0
43,9110444.02,2019-02-11T10:14:53,800000.0,2019-02-01,TBT,80000000.0,TBT01022019,303,5464.71,370237.71,16.346283,TRMTE1WWWWW4,10172577.0,9084348.43,555744.0
44,9113452.63,2019-02-14T10:14:58,800000.0,2019-02-04,TBT,80000000.0,TBT04022019,303,10695.23,165316.66,16.357645,TRMTE1WWWWW4,10244116.0,9090679.66,555745.0
45,9110137.42,2019-02-15T10:14:57,800000.0,2019-02-05,TBT,80000000.0,TBT05022019,305,7009.68,175111.71,16.334849,TRMTE1WWWWW4,10269666.0,9083041.59,556053.0
46,9106796.34,2019-02-16T10:14:56,800000.0,2019-02-06,TBT,80000000.0,TBT06022019,304,5368.88,200125.48,16.325353,TRMTE1WWWWW4,10294194.0,9077728.75,556051.0
47,9046310.87,2019-02-17T10:15:00,800000.0,2019-02-07,TBT,80000000.0,TBT07022019,302,5400.8,200127.67,16.309312,TRMTE1WWWWW4,10302267.0,9033352.79,553877.0
