,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,25042924.46,2018-12-13T10:14:57,500000000.0,2018-12-03,TCA,55000000000.0,TCA03122018,2190,678.66,0.0,0.028131,TRYTCZB00057,9032335.0,25014920.3,889215500.0
1,25159800.45,2018-12-14T10:14:56,500000000.0,2018-12-04,TCA,55000000000.0,TCA04122018,2179,386.88,0.0,0.028343,TRYTCZB00057,9057884.0,25130685.79,886667000.0
2,25734881.29,2018-12-15T10:14:55,500000000.0,2018-12-05,TCA,55000000000.0,TCA05122018,2180,488.03,0.0,0.029072,TRYTCZB00057,9082412.0,25705036.68,884197000.0
3,26252131.49,2018-12-16T10:14:54,500000000.0,2018-12-06,TCA,55000000000.0,TCA06122018,2187,818.64,0.0,0.029542,TRYTCZB00057,9090588.0,26221771.21,887611500.0
4,26313775.36,2018-12-17T10:14:59,500000000.0,2018-12-07,TCA,55000000000.0,TCA07122018,2182,631.43,0.0,0.029591,TRYTCZB00057,9098764.0,26305456.51,888957500.0
5,26304925.56,2018-12-20T10:14:57,500000000.0,2018-12-10,TCA,55000000000.0,TCA10122018,2185,967.42,0.0,0.029463,TRYTCZB00057,9170304.0,26294397.39,892445000.0
6,26155527.08,2018-12-21T10:14:56,500000000.0,2018-12-11,TCA,55000000000.0,TCA11122018,2189,727.44,0.0,0.029319,TRYTCZB00057,9194832.0,26143914.97,891703500.0
7,26507927.06,2018-12-22T10:14:55,500000000.0,2018-12-12,TCA,55000000000.0,TCA12122018,2189,185.52,0.0,0.029709,TRYTCZB00057,9219360.0,26494918.59,891815000.0
8,26485583.19,2018-12-23T10:14:54,500000000.0,2018-12-13,TCA,55000000000.0,TCA13122018,2193,335.23,0.0,0.029728,TRYTCZB00057,9227536.0,26474137.44,890543500.0
9,26491222.72,2018-12-24T10:14:53,500000000.0,2018-12-14,TCA,55000000000.0,TCA14122018,2189,857.69,0.0,0.029774,TRYTCZB00057,9235713.0,26479445.45,889344500.0
10,26384350.93,2018-12-27T10:14:57,500000000.0,2018-12-17,TCA,55000000000.0,TCA17122018,2192,206.8,0.0,0.029675,TRYTCZB00057,9307252.0,26369370.81,888612500.0
