,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,6585749.63,2018-12-13T10:14:57,20000000000.0,2018-12-03,TCB,20000000000.0,TCB03122018,646,1055.3,380737.1,0.033413,TRYTCMD00010,9032336.0,6565787.7,196504968.0
1,6584511.46,2018-12-14T10:14:56,20000000000.0,2018-12-04,TCB,20000000000.0,TCB04122018,645,2552.65,375239.9,0.033434,TRYTCMD00010,9057885.0,6565651.05,196378437.0
2,6479019.84,2018-12-15T10:14:55,20000000000.0,2018-12-05,TCB,20000000000.0,TCB05122018,639,1582.96,323192.47,0.033454,TRYTCMD00010,9082413.0,6458800.9,193065020.0
3,7454910.81,2018-12-16T10:14:54,20000000000.0,2018-12-06,TCB,20000000000.0,TCB06122018,639,13393.31,1444898.05,0.033472,TRYTCMD00010,9090589.0,7446025.5,222458523.0
4,7456548.37,2018-12-17T10:14:59,20000000000.0,2018-12-07,TCB,20000000000.0,TCB07122018,639,1302.66,1442940.26,0.03349,TRYTCMD00010,9098765.0,7445274.04,222315111.0
5,7489981.92,2018-12-20T10:14:57,20000000000.0,2018-12-10,TCB,20000000000.0,TCB10122018,637,1060.14,1385734.61,0.033545,TRYTCMD00010,9170305.0,7397372.16,220519430.0
6,7392708.98,2018-12-21T10:14:56,20000000000.0,2018-12-11,TCB,20000000000.0,TCB11122018,637,1456.62,1285843.18,0.033559,TRYTCMD00010,9194833.0,7379838.33,219907803.0
7,7391743.61,2018-12-22T10:14:55,20000000000.0,2018-12-12,TCB,20000000000.0,TCB12122018,636,1309.43,1282800.82,0.03357,TRYTCMD00010,9219361.0,7378287.96,219790103.0
8,7386664.98,2018-12-23T10:14:54,20000000000.0,2018-12-13,TCB,20000000000.0,TCB13122018,635,1014.86,1274787.09,0.033584,TRYTCMD00010,9227537.0,7372559.0,219522799.0
9,8386773.5,2018-12-24T10:14:53,20000000000.0,2018-12-14,TCB,20000000000.0,TCB14122018,635,1158.46,1578992.19,0.033598,TRYTCMD00010,9235714.0,8372312.34,249188710.0
10,8374352.65,2018-12-27T10:14:57,20000000000.0,2018-12-17,TCB,20000000000.0,TCB17122018,634,1442.83,1554074.48,0.033655,TRYTCMD00010,9307253.0,8358711.19,248365503.0
11,8321321.23,2018-12-28T10:14:59,20000000000.0,2018-12-18,TCB,20000000000.0,TCB18122018,633,4389.58,1499977.43,0.033675,TRYTCMD00010,9332700.0,8308142.27,246714192.0
12,8294963.4,2018-12-29T10:14:58,20000000000.0,2018-12-19,TCB,20000000000.0,TCB19122018,632,1546.98,1468925.04,0.033696,TRYTCMD00010,9357228.0,8278458.45,245681592.0
13,9029685.61,2018-12-30T10:14:58,20000000000.0,2018-12-20,TCB,20000000000.0,TCB20122018,631,1593.26,1418905.19,0.03372,TRYTCMD00010,9365403.0,9012706.25,267283590.0
14,8937888.05,2018-12-31T10:15:00,20000000000.0,2018-12-21,TCB,20000000000.0,TCB21122018,628,2100.67,1321834.22,0.033741,TRYTCMD00010,9373579.0,8920901.64,264396487.0
15,8945356.64,2019-01-03T10:14:57,20000000000.0,2018-12-24,TCB,20000000000.0,TCB24122018,627,2914.79,1322527.89,0.03377,TRYTCMD00010,9425701.0,8927630.77,264367487.0
16,8887542.39,2019-01-04T10:14:57,20000000000.0,2018-12-25,TCB,20000000000.0,TCB25122018,626,1772.54,1262804.64,0.033778,TRYTCMD00010,9450229.0,8868161.29,262542537.0
17,8394191.98,2019-01-05T10:14:56,20000000000.0,2018-12-26,TCB,20000000000.0,TCB26122018,622,1624.36,1481998.15,0.033785,TRYTCMD00010,9473735.0,8374166.49,247868135.0
18,8397836.94,2019-01-06T10:14:55,20000000000.0,2018-12-27,TCB,20000000000.0,TCB27122018,620,2247.3,1481779.05,0.033801,TRYTCMD00010,9480889.0,8377944.88,247858410.0
19,8401094.48,2019-01-07T10:15:00,20000000000.0,2018-12-28,TCB,20000000000.0,TCB28122018,620,1979.7,1482903.41,0.033811,TRYTCMD00010,9488044.0,8380445.15,247858410.0
20,8414449.02,2019-01-10T10:14:57,20000000000.0,2018-12-31,TCB,20000000000.0,TCB31122018,620,187345.41,1484990.39,0.034607,TRYTCMD00010,9556518.0,8577667.22,247856339.0
21,8611168.22,2019-01-12T10:14:58,20000000000.0,2019-01-02,TCB,20000000000.0,TCB02012019,620,2288.23,1672269.37,0.034649,TRYTCMD00010,9604448.0,8587950.32,247856339.0
22,8587147.08,2019-01-13T10:14:57,20000000000.0,2019-01-03,TCB,20000000000.0,TCB03012019,617,2788.5,1647014.66,0.034656,TRYTCMD00010,9612624.0,8563918.2,247114139.0
23,8592975.54,2019-01-14T10:14:59,20000000000.0,2019-01-04,TCB,20000000000.0,TCB04012019,617,2743.17,1648062.65,0.034677,TRYTCMD00010,9620800.0,8569188.76,247113904.0
24,8599141.34,2019-01-17T10:14:57,20000000000.0,2019-01-07,TCB,20000000000.0,TCB07012019,616,4253.11,1643100.27,0.034728,TRYTCMD00010,9692340.0,8575326.16,246926436.0
25,8592982.07,2019-01-18T10:14:56,20000000000.0,2019-01-08,TCB,20000000000.0,TCB08012019,616,2701.05,1634060.33,0.034742,TRYTCMD00010,9717890.0,8578702.71,246926436.0
26,8595069.39,2019-01-19T10:14:55,20000000000.0,2019-01-09,TCB,20000000000.0,TCB09012019,614,1879.18,1634067.04,0.034752,TRYTCMD00010,9742418.0,8580884.56,246914887.0
27,8600890.59,2019-01-20T10:14:54,20000000000.0,2019-01-10,TCB,20000000000.0,TCB10012019,614,2144.78,1656070.08,0.034775,TRYTCMD00010,9750595.0,8586457.27,246914887.0
28,8607478.68,2019-01-21T10:14:59,20000000000.0,2019-01-11,TCB,20000000000.0,TCB11012019,614,178710.45,1657055.19,0.035515,TRYTCMD00010,9758771.0,8769215.15,246914637.0
29,8493240.56,2019-01-24T10:14:57,20000000000.0,2019-01-14,TCB,20000000000.0,TCB14012019,612,2755.93,1334643.93,0.035585,TRYTCMD00010,9830311.0,8477509.36,238234791.0
30,5585450.62,2019-01-25T10:14:56,20000000000.0,2019-01-15,TCB,20000000000.0,TCB15012019,615,2510.69,304202.81,0.035596,TRYTCMD00010,9855861.0,5569148.85,156454092.0
31,5625737.78,2019-01-26T10:14:55,20000000000.0,2019-01-16,TCB,20000000000.0,TCB16012019,619,2163.74,340220.3,0.035622,TRYTCMD00010,9880389.0,5609157.55,157463678.0
