,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,11703429.21,2018-12-13T10:14:57,500000000.0,2018-12-03,TCD,500000000.0,TCD03122018,63,1322.48,408789.73,0.920876,TRMTCDWWWWW8,9032337.0,11076850.51,12028606.0
1,12452463.86,2018-12-14T10:14:56,500000000.0,2018-12-04,TCD,500000000.0,TCD04122018,63,1426.5,532338.88,0.918098,TRMTCDWWWWW8,9057886.0,11043436.2,12028605.0
2,11861200.4,2018-12-15T10:14:55,500000000.0,2018-12-05,TCD,500000000.0,TCD05122018,63,1305.18,149088.79,0.909141,TRMTCDWWWWW8,9082414.0,10935706.59,12028611.0
3,11074668.41,2018-12-16T10:14:54,500000000.0,2018-12-06,TCD,500000000.0,TCD06122018,63,1819.35,38023.63,0.910803,TRMTCDWWWWW8,9090590.0,10955695.74,12028611.0
4,10915920.95,2018-12-17T10:14:59,500000000.0,2018-12-07,TCD,500000000.0,TCD07122018,64,6593.58,0.0,0.901996,TRMTCDWWWWW8,9098766.0,10729291.46,11895056.0
5,11200721.25,2018-12-20T10:14:57,500000000.0,2018-12-10,TCD,500000000.0,TCD10122018,64,2113.56,152301.71,0.908089,TRMTCDWWWWW8,9170306.0,10801763.79,11895056.0
6,11138209.54,2018-12-21T10:14:56,500000000.0,2018-12-11,TCD,500000000.0,TCD11122018,64,1027.71,168110.24,0.902659,TRMTCDWWWWW8,9194834.0,10737179.17,11895056.0
7,11088432.18,2018-12-22T10:14:55,500000000.0,2018-12-12,TCD,500000000.0,TCD12122018,63,1756.84,108067.61,0.90159,TRMTCDWWWWW8,9219362.0,10723465.54,11893947.0
8,10568020.4,2018-12-23T10:14:54,500000000.0,2018-12-13,TCD,500000000.0,TCD13122018,63,2221.76,93057.46,0.887309,TRMTCDWWWWW8,9227538.0,10540067.31,11878692.0
9,10975844.31,2018-12-24T10:14:53,500000000.0,2018-12-14,TCD,500000000.0,TCD14122018,63,2764.33,71044.64,0.893838,TRMTCDWWWWW8,9235715.0,10617623.92,11878692.0
10,10646441.85,2018-12-27T10:14:57,500000000.0,2018-12-17,TCD,500000000.0,TCD17122018,62,9601.32,411817.5,0.884074,TRMTCDWWWWW8,9307254.0,10501638.85,11878684.0
11,10456614.33,2018-12-28T10:14:59,500000000.0,2018-12-18,TCD,500000000.0,TCD18122018,62,5856.37,68044.25,0.885096,TRMTCDWWWWW8,9332701.0,10513770.65,11878684.0
12,11007884.55,2018-12-29T10:14:58,500000000.0,2018-12-19,TCD,500000000.0,TCD19122018,62,1112.57,618389.42,0.885379,TRMTCDWWWWW8,9357229.0,10517136.36,11878684.0
13,11221710.53,2018-12-30T10:14:58,500000000.0,2018-12-20,TCD,500000000.0,TCD20122018,62,1934.33,471300.67,0.89068,TRMTCDWWWWW8,9365404.0,10580101.86,11878684.0
14,11228114.06,2018-12-31T10:15:00,500000000.0,2018-12-21,TCD,500000000.0,TCD21122018,62,1747.79,474299.33,0.89264,TRMTCDWWWWW8,9373580.0,10603389.48,11878684.0
15,10909041.4,2019-01-03T10:14:57,500000000.0,2018-12-24,TCD,500000000.0,TCD24122018,62,1679.7,177338.97,0.890646,TRMTCDWWWWW8,9425702.0,10579705.95,11878684.0
16,10757161.74,2019-01-04T10:14:57,500000000.0,2018-12-25,TCD,500000000.0,TCD25122018,62,1248.35,198126.39,0.888631,TRMTCDWWWWW8,9450230.0,10555770.83,11878684.0
17,10593597.56,2019-01-05T10:14:56,500000000.0,2018-12-26,TCD,500000000.0,TCD26122018,61,1125.19,198133.17,0.885083,TRMTCDWWWWW8,9473736.0,10513613.04,11878674.0
18,10903270.67,2019-01-06T10:14:55,500000000.0,2018-12-27,TCD,500000000.0,TCD27122018,61,1708.47,347195.37,0.887875,TRMTCDWWWWW8,9480890.0,10546782.04,11878674.0
19,11004982.02,2019-01-07T10:15:00,500000000.0,2018-12-28,TCD,500000000.0,TCD28122018,60,2140.67,428262.07,0.889557,TRMTCDWWWWW8,9488045.0,10526342.11,11833247.0
20,10870425.21,2019-01-10T10:14:57,500000000.0,2018-12-31,TCD,500000000.0,TCD31122018,60,2395.96,301607.36,0.888779,TRMTCDWWWWW8,9556519.0,10517143.82,11833247.0
21,10994824.01,2019-01-12T10:14:58,500000000.0,2019-01-02,TCD,500000000.0,TCD02012019,60,2993.83,301409.03,0.897771,TRMTCDWWWWW8,9604449.0,10623548.13,11833247.0
22,10897629.97,2019-01-13T10:14:57,500000000.0,2019-01-03,TCD,500000000.0,TCD03012019,61,2281.51,310191.95,0.891261,TRMTCDWWWWW8,9612625.0,10554449.69,11842157.0
23,11049010.65,2019-01-14T10:14:59,500000000.0,2019-01-04,TCD,500000000.0,TCD04012019,61,2528.0,293189.05,0.887114,TRMTCDWWWWW8,9620801.0,10505341.19,11842157.0
24,11145610.46,2019-01-17T10:14:57,500000000.0,2019-01-07,TCD,500000000.0,TCD07012019,61,52076.04,302570.9,0.893698,TRMTCDWWWWW8,9692341.0,10583312.45,11842157.0
25,11091390.25,2019-01-18T10:14:56,500000000.0,2019-01-08,TCD,500000000.0,TCD08012019,61,2490.63,118076.94,0.902018,TRMTCDWWWWW8,9717891.0,10681842.63,11842157.0
26,11010240.3,2019-01-19T10:14:55,500000000.0,2019-01-09,TCD,500000000.0,TCD09012019,60,1711.09,72047.05,0.908494,TRMTCDWWWWW8,9742419.0,10750434.93,11833247.0
27,11099476.57,2019-01-20T10:14:54,500000000.0,2019-01-10,TCD,500000000.0,TCD10012019,60,1992.3,40025.86,0.90691,TRMTCDWWWWW8,9750596.0,10731695.07,11833247.0
28,11227079.29,2019-01-21T10:14:59,500000000.0,2019-01-11,TCD,500000000.0,TCD11012019,58,1892.95,153097.67,0.926677,TRMTCDWWWWW8,9758772.0,10965589.35,11833232.0
29,11090578.47,2019-01-24T10:14:57,500000000.0,2019-01-14,TCD,500000000.0,TCD14012019,59,1484.87,47093.48,0.953852,TRMTCDWWWWW8,9830312.0,11287163.13,11833249.0
30,11215698.63,2019-01-25T10:14:56,500000000.0,2019-01-15,TCD,500000000.0,TCD15012019,61,1480.56,53035.28,0.954029,TRMTCDWWWWW8,9855862.0,11289613.43,11833620.0
31,11908266.35,2019-01-26T10:14:55,500000000.0,2019-01-16,TCD,500000000.0,TCD16012019,64,2868.12,695450.32,0.961906,TRMTCDWWWWW8,9880390.0,11405618.43,11857306.0
32,11077671.2,2019-01-27T10:14:57,500000000.0,2019-01-17,TCD,500000000.0,TCD17012019,65,2374.73,580382.96,0.954834,TRMTCDWWWWW8,9888463.0,11327853.09,11863688.0
33,10237362.81,2019-01-28T10:14:59,500000000.0,2019-01-18,TCD,500000000.0,TCD18012019,66,2365.38,83052.3,0.953357,TRMTCDWWWWW8,9896639.0,11320359.39,11874209.0
34,11908396.42,2019-01-31T10:14:57,500000000.0,2019-01-21,TCD,500000000.0,TCD21012019,66,2100.33,678329.89,0.957475,TRMTCDWWWWW8,9968179.0,11371261.77,11876304.0
35,12563570.59,2019-02-01T10:14:56,500000000.0,2019-01-22,TCD,500000000.0,TCD22012019,64,1870.94,1227811.84,0.958368,TRMTCDWWWWW8,9993729.0,11353105.68,11846293.0
36,11061937.89,2019-02-02T10:14:55,500000000.0,2019-01-23,TCD,500000000.0,TCD23012019,64,2162.42,241157.15,0.961074,TRMTCDWWWWW8,10018257.0,11385168.82,11846293.0
37,12064119.36,2019-02-03T10:14:54,500000000.0,2019-01-24,TCD,500000000.0,TCD24012019,65,2677.94,675388.36,0.961379,TRMTCDWWWWW8,10026435.0,11395755.63,11853550.0
38,12742978.02,2019-02-04T10:15:00,500000000.0,2019-01-25,TCD,500000000.0,TCD25012019,66,2472.45,1124740.61,0.972053,TRMTCDWWWWW8,10034611.0,11522377.79,11853654.0
39,11772900.3,2019-02-07T10:14:57,500000000.0,2019-01-28,TCD,500000000.0,TCD28012019,65,1869.0,30056.71,0.982171,TRMTCDWWWWW8,10106151.0,11634132.66,11845317.0
40,11846386.62,2019-02-08T10:14:56,500000000.0,2019-01-29,TCD,500000000.0,TCD29012019,65,1446.28,18011.71,0.991176,TRMTCDWWWWW8,10131701.0,11740744.21,11845266.0
41,11949213.3,2019-02-09T10:14:55,500000000.0,2019-01-30,TCD,500000000.0,TCD30012019,65,1180.78,60037.4,0.99907,TRMTCDWWWWW8,10156231.0,11879257.5,11890312.0
42,12046683.15,2019-02-10T10:14:54,500000000.0,2019-01-31,TCD,500000000.0,TCD31012019,66,1762.79,92059.23,1.000143,TRMTCDWWWWW8,10164405.0,11892365.22,11890665.0
43,12094056.88,2019-02-11T10:14:53,500000000.0,2019-02-01,TCD,500000000.0,TCD01022019,68,1150.84,128082.06,1.006882,TRMTCDWWWWW8,10172581.0,11974806.6,11892963.0
44,12080302.41,2019-02-14T10:14:58,500000000.0,2019-02-04,TCD,500000000.0,TCD04022019,68,1712.48,76145.86,0.997522,TRMTCDWWWWW8,10244120.0,11863690.59,11893161.0
45,12225018.38,2019-02-15T10:14:57,500000000.0,2019-02-05,TCD,500000000.0,TCD05022019,69,1839.81,159101.28,1.002654,TRMTCDWWWWW8,10269670.0,11938109.59,11906515.0
46,12058710.19,2019-02-16T10:14:56,500000000.0,2019-02-06,TCD,500000000.0,TCD06022019,69,1699.82,11006.95,1.006516,TRMTCDWWWWW8,10294198.0,11983073.0,11905491.0
47,12052091.81,2019-02-17T10:15:00,500000000.0,2019-02-07,TCD,500000000.0,TCD07022019,71,1731.46,14009.01,1.007321,TRMTCDWWWWW8,10302271.0,11994889.08,11907712.0
48,12067663.89,2019-02-18T10:14:58,500000000.0,2019-02-08,TCD,500000000.0,TCD08022019,71,2319.34,72045.86,1.003652,TRMTCDWWWWW8,10310447.0,11944781.85,11901314.0
49,12124569.44,2019-02-21T10:14:57,500000000.0,2019-02-11,TCD,500000000.0,TCD11022019,71,2089.05,72138.18,1.008614,TRMTCDWWWWW8,10381990.0,12003826.89,11901314.0
50,12406641.95,2019-02-22T10:14:56,500000000.0,2019-02-12,TCD,500000000.0,TCD12022019,71,1300.52,72043.99,1.008813,TRMTCDWWWWW8,10407539.0,12000289.38,11895456.0
51,12345693.69,2019-02-23T10:14:55,500000000.0,2019-02-13,TCD,500000000.0,TCD13022019,70,1794.61,98061.48,1.00694,TRMTCDWWWWW8,10432066.0,11929384.26,11847161.0
52,11992214.03,2019-02-24T10:14:54,500000000.0,2019-02-14,TCD,500000000.0,TCD14022019,71,9693.64,27017.83,1.006462,TRMTCDWWWWW8,10440242.0,11933739.56,11857121.0
