,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,19473795.59,2018-12-13T10:14:57,11325704.87,2018-12-03,TDG,2500000000.0,TDG03122018,751,14718.36,0.0,0.050489,TRYTISB00034,9032338.0,19393196.55,384110145.0
1,19629338.21,2018-12-14T10:14:56,11325704.87,2018-12-04,TDG,2500000000.0,TDG04122018,751,14994.2,0.0,0.050954,TRYTISB00034,9057887.0,19562692.46,383925145.0
2,20377514.71,2018-12-15T10:14:55,11325704.87,2018-12-05,TDG,2500000000.0,TDG05122018,749,14944.91,0.0,0.051901,TRYTISB00034,9082415.0,20342466.5,391945145.0
3,20661731.75,2018-12-16T10:14:54,11325704.87,2018-12-06,TDG,2500000000.0,TDG06122018,747,15139.89,0.0,0.052654,TRYTISB00034,9090591.0,20615668.58,391530145.0
4,20615254.64,2018-12-17T10:14:59,11325704.87,2018-12-07,TDG,2500000000.0,TDG07122018,747,14626.59,0.0,0.052577,TRYTISB00034,9098767.0,20597307.02,391755145.0
5,20460661.04,2018-12-20T10:14:57,11325704.87,2018-12-10,TDG,2500000000.0,TDG10122018,747,14610.77,0.0,0.052209,TRYTISB00034,9170307.0,20462094.0,391925145.0
6,20389169.01,2018-12-21T10:14:56,11325704.87,2018-12-11,TDG,2500000000.0,TDG11122018,749,14732.4,0.0,0.051952,TRYTISB00034,9194835.0,20380465.63,392295145.0
7,20661215.94,2018-12-22T10:14:55,11325704.87,2018-12-12,TDG,2500000000.0,TDG12122018,751,15175.55,0.0,0.052604,TRYTISB00034,9219363.0,20612582.81,391845145.0
8,20722856.3,2018-12-23T10:14:54,11325704.87,2018-12-13,TDG,2500000000.0,TDG13122018,752,15282.34,0.0,0.05274,TRYTISB00034,9227539.0,20654670.37,391635145.0
9,20695593.49,2018-12-24T10:14:53,11325704.87,2018-12-14,TDG,2500000000.0,TDG14122018,754,14757.66,0.0,0.052742,TRYTISB00034,9235716.0,20648591.63,391500145.0
10,20760437.1,2018-12-27T10:14:57,11325704.87,2018-12-17,TDG,2500000000.0,TDG17122018,750,14756.68,0.0,0.052937,TRYTISB00034,9307255.0,20721474.31,391435145.0
11,20772086.93,2018-12-28T10:14:59,11325704.87,2018-12-18,TDG,2500000000.0,TDG18122018,747,15168.14,0.0,0.05301,TRYTISB00034,9332702.0,20629615.75,389165145.0
12,20663908.81,2018-12-29T10:14:58,11325704.87,2018-12-19,TDG,2500000000.0,TDG19122018,748,15396.79,0.0,0.052763,TRYTISB00034,9357230.0,20491256.36,388365145.0
13,20505660.25,2018-12-30T10:14:58,11325704.87,2018-12-20,TDG,2500000000.0,TDG20122018,749,14834.2,0.0,0.052486,TRYTISB00034,9365405.0,20107198.25,383095145.0
14,20227778.96,2018-12-31T10:15:00,11325704.87,2018-12-21,TDG,2500000000.0,TDG21122018,748,14911.17,0.0,0.051865,TRYTISB00034,9373581.0,19866812.49,383045145.0
15,20030648.22,2019-01-03T10:14:57,11325704.87,2018-12-24,TDG,2500000000.0,TDG24122018,748,14751.25,0.0,0.052052,TRYTISB00034,9425703.0,20011204.07,384445145.0
16,20076643.33,2019-01-04T10:14:57,11325704.87,2018-12-25,TDG,2500000000.0,TDG25122018,748,48755.09,0.0,0.052288,TRYTISB00034,9450231.0,19992832.57,382360145.0
17,20124342.91,2019-01-05T10:14:56,11325704.87,2018-12-26,TDG,2500000000.0,TDG26122018,748,48632.77,0.0,0.05241,TRYTISB00034,9473737.0,20039541.59,382360145.0
18,20053445.8,2019-01-06T10:14:55,11325704.87,2018-12-27,TDG,2500000000.0,TDG27122018,748,48775.24,0.0,0.052208,TRYTISB00034,9480891.0,19963202.33,382375145.0
19,19959391.23,2019-01-07T10:15:00,11325704.87,2018-12-28,TDG,2500000000.0,TDG28122018,746,48938.36,0.0,0.052174,TRYTISB00034,9488046.0,19963399.56,382630145.0
20,19933275.79,2019-01-10T10:14:57,11325704.87,2018-12-31,TDG,2500000000.0,TDG31122018,746,48727.29,0.0,0.051903,TRYTISB00034,9556520.0,19937162.03,384125145.0
21,20048536.66,2019-01-12T10:14:58,11325704.87,2019-01-02,TDG,2500000000.0,TDG02012019,744,64529.83,0.0,0.052115,TRYTISB00034,9604450.0,20079241.54,385285145.0
22,20245252.3,2019-01-13T10:14:57,11325704.87,2019-01-03,TDG,2500000000.0,TDG03012019,741,64618.91,0.0,0.052622,TRYTISB00034,9612626.0,20262680.39,385060145.0
23,20705411.17,2019-01-14T10:14:59,11325704.87,2019-01-04,TDG,2500000000.0,TDG04012019,742,66146.4,0.0,0.05377,TRYTISB00034,9620802.0,20641122.87,383880145.0
24,20568179.95,2019-01-17T10:14:57,11325704.87,2019-01-07,TDG,2500000000.0,TDG07012019,744,65972.58,0.0,0.053406,TRYTISB00034,9692342.0,20484808.73,383570145.0
25,20333077.27,2019-01-18T10:14:56,11325704.87,2019-01-08,TDG,2500000000.0,TDG08012019,742,65029.81,0.0,0.053056,TRYTISB00034,9717892.0,20343479.78,383435145.0
26,20560260.3,2019-01-19T10:14:55,11325704.87,2019-01-09,TDG,2500000000.0,TDG09012019,744,66063.73,0.0,0.053656,TRYTISB00034,9742420.0,20563754.87,383255145.0
27,20745281.57,2019-01-20T10:14:54,11325704.87,2019-01-10,TDG,2500000000.0,TDG10012019,740,107730.92,0.0,0.054257,TRYTISB00034,9750597.0,20776946.3,382935145.0
28,20602849.12,2019-01-21T10:14:59,11325704.87,2019-01-11,TDG,2500000000.0,TDG11012019,739,106131.71,0.0,0.053975,TRYTISB00034,9758773.0,20653297.69,382645145.0
29,20423624.34,2019-01-24T10:14:57,11325704.87,2019-01-14,TDG,2500000000.0,TDG14012019,737,147848.18,0.0,0.053668,TRYTISB00034,9830313.0,20530987.28,382555145.0
30,20747553.74,2019-01-25T10:14:56,11325704.87,2019-01-15,TDG,2500000000.0,TDG15012019,734,149916.11,0.0,0.05445,TRYTISB00034,9855863.0,20847919.94,382880145.0
31,20511365.35,2019-01-26T10:14:55,11325704.87,2019-01-16,TDG,2500000000.0,TDG16012019,734,158956.65,0.0,0.053825,TRYTISB00034,9880391.0,20625700.85,383200145.0
32,20338988.31,2019-01-27T10:14:57,11325704.87,2019-01-17,TDG,2500000000.0,TDG17012019,733,174788.62,0.0,0.053457,TRYTISB00034,9888464.0,20489972.16,383295145.0
33,20376163.72,2019-01-28T10:14:59,11325704.87,2019-01-18,TDG,2500000000.0,TDG18012019,733,14514.36,0.0,0.053102,TRYTISB00034,9896640.0,20313931.56,382545145.0
34,20388525.49,2019-01-31T10:14:57,11325704.87,2019-01-21,TDG,2500000000.0,TDG21012019,736,14012.3,0.0,0.053019,TRYTISB00034,9968180.0,20324672.32,383350145.0
35,20369392.75,2019-02-01T10:14:56,11325704.87,2019-01-22,TDG,2500000000.0,TDG22012019,736,14155.75,0.0,0.052967,TRYTISB00034,9993730.0,20304780.05,383350145.0
36,20367307.37,2019-02-02T10:14:55,11325704.87,2019-01-23,TDG,2500000000.0,TDG23012019,733,14489.81,0.0,0.053069,TRYTISB00034,10018258.0,20340215.97,383275145.0
37,20384996.02,2019-02-03T10:14:54,11325704.87,2019-01-24,TDG,2500000000.0,TDG24012019,735,14059.21,0.0,0.052807,TRYTISB00034,10026436.0,20301115.55,384440145.0
38,20323914.21,2019-02-04T10:15:00,11325704.87,2019-01-25,TDG,2500000000.0,TDG25012019,735,13820.66,0.0,0.052512,TRYTISB00034,10034612.0,20248180.62,385590145.0
39,20270447.42,2019-02-07T10:14:57,11325704.87,2019-01-28,TDG,2500000000.0,TDG28012019,733,49620.14,0.0,0.052408,TRYTISB00034,10106152.0,20157871.03,384630145.0
40,20275893.12,2019-02-08T10:14:56,11325704.87,2019-01-29,TDG,2500000000.0,TDG29012019,730,13498.84,0.0,0.052342,TRYTISB00034,10131702.0,20098837.08,383990145.0
41,20430471.3,2019-02-09T10:14:55,11325704.87,2019-01-30,TDG,2500000000.0,TDG30012019,731,12778.85,0.0,0.052926,TRYTISB00034,10156232.0,20314888.64,383835145.0
42,19121357.02,2019-02-10T10:14:54,11325704.87,2019-01-31,TDG,2500000000.0,TDG31012019,730,13476.92,0.0,0.052407,TRYTISB00034,10164406.0,18833121.1,359360145.0
43,18533766.8,2019-02-11T10:14:53,11325704.87,2019-02-01,TDG,2500000000.0,TDG01022019,730,1050842.5,0.0,0.051883,TRYTISB00034,10172582.0,18616405.74,358815145.0
44,18558116.41,2019-02-14T10:14:58,11325704.87,2019-02-04,TDG,2500000000.0,TDG04022019,726,133957.69,0.0,0.051802,TRYTISB00034,10244121.0,18593398.82,358930145.0
45,18645400.52,2019-02-15T10:14:57,11325704.87,2019-02-05,TDG,2500000000.0,TDG05022019,725,131909.9,0.0,0.052039,TRYTISB00034,10269671.0,18731294.83,359945145.0
46,18640871.03,2019-02-16T10:14:56,11325704.87,2019-02-06,TDG,2500000000.0,TDG06022019,727,131409.06,0.0,0.051857,TRYTISB00034,10294199.0,18670951.52,360050145.0
47,18680065.81,2019-02-17T10:15:00,11325704.87,2019-02-07,TDG,2500000000.0,TDG07022019,728,131598.8,0.0,0.05205,TRYTISB00034,10302272.0,18732394.65,359890145.0
48,18735823.37,2019-02-18T10:14:58,11325704.87,2019-02-08,TDG,2500000000.0,TDG08022019,727,132868.29,0.0,0.052339,TRYTISB00034,10310448.0,18845563.61,360070145.0
49,18813696.16,2019-02-21T10:14:57,11325704.87,2019-02-11,TDG,2500000000.0,TDG11022019,726,132099.78,0.0,0.052376,TRYTISB00034,10381991.0,18785796.91,358675145.0
50,18865117.66,2019-02-22T10:14:56,11325704.87,2019-02-12,TDG,2500000000.0,TDG12022019,729,94040.19,0.0,0.052489,TRYTISB00034,10407540.0,18802205.67,358210145.0
51,18874219.82,2019-02-23T10:14:55,11325704.87,2019-02-13,TDG,2500000000.0,TDG13022019,729,93969.45,0.0,0.052542,TRYTISB00034,10432067.0,18835596.42,358485145.0
52,18737268.76,2019-02-24T10:14:54,11325704.87,2019-02-14,TDG,2500000000.0,TDG14022019,730,94321.69,0.0,0.052364,TRYTISB00034,10440243.0,18785622.2,358750145.0
53,18866761.03,2019-02-25T10:14:59,11325704.87,2019-02-15,TDG,2500000000.0,TDG15022019,724,148652.28,0.0,0.052839,TRYTISB00034,10448419.0,18954292.35,358720145.0
54,19552384.48,2019-02-28T10:14:57,11325704.87,2019-02-18,TDG,2500000000.0,TDG18022019,723,157674.37,0.0,0.052628,TRYTISB00034,10519959.0,18878147.65,358710145.0
55,18843912.53,2019-03-01T10:14:55,11325704.87,2019-02-19,TDG,2500000000.0,TDG19022019,723,158773.23,0.0,0.052967,TRYTISB00034,10545509.0,18999738.47,358710145.0
56,18603725.03,2019-03-02T10:14:55,11325704.87,2019-02-20,TDG,2500000000.0,TDG20022019,725,206360.94,0.0,0.053109,TRYTISB00034,10570039.0,19068426.61,359040145.0
57,18620765.05,2019-03-03T10:14:53,11325704.87,2019-02-21,TDG,2500000000.0,TDG21022019,727,531902.09,0.0,0.053068,TRYTISB00034,10578215.0,18816714.07,354575145.0
58,18651153.36,2019-03-04T10:14:52,11325704.87,2019-02-22,TDG,2500000000.0,TDG22022019,728,533884.9,0.0,0.053216,TRYTISB00034,10586375.0,18870996.52,354610145.0
59,18877510.32,2019-03-07T10:14:48,11325704.87,2019-02-25,TDG,2500000000.0,TDG25022019,730,83757.4,0.0,0.053246,TRYTISB00034,10657915.0,18911101.41,355165145.0
60,18997325.41,2019-03-08T10:15:00,11325704.87,2019-02-26,TDG,2500000000.0,TDG26022019,729,82261.32,0.0,0.053181,TRYTISB00034,10658937.0,18887661.7,355160145.0
61,19008006.7,2019-03-08T14:39:42,11325704.87,2019-02-27,TDG,2500000000.0,TDG27022019,729,81765.78,0.0,0.053091,TRYTISB00034,10659959.0,18859357.3,355225145.0
62,18986053.93,2019-03-08T14:40:51,11325704.87,2019-02-28,TDG,2500000000.0,TDG28022019,731,19804.91,0.0,0.053119,TRYTISB00034,10660981.0,18939088.2,356540145.0
63,19040236.49,2019-03-08T14:41:57,11325704.87,2019-03-01,TDG,2500000000.0,TDG01032019,727,20382.04,0.0,0.053363,TRYTISB00034,10662003.0,18988820.14,355845145.0
64,19133812.14,2019-03-08T14:43:06,11325704.87,2019-03-04,TDG,2500000000.0,TDG04032019,730,20518.28,0.0,0.053592,TRYTISB00034,10663025.0,18993076.16,354400145.0
65,19224591.71,2019-03-07T10:15:14,11325704.87,2019-03-05,TDG,2500000000.0,TDG05032019,731,20405.36,0.0,0.053886,TRYTISB00034,10664048.0,19008278.59,352750145.0
66,18167430.66,2019-03-07T10:15:18,11325704.87,2019-03-06,TDG,2500000000.0,TDG06032019,731,19674.54,0.0,0.053817,TRYTISB00034,10665070.0,18871342.68,350655145.0
67,18934674.84,2019-03-07T13:50:07,11325704.87,2019-03-07,TDG,2500000000.0,TDG07032019,734,20441.61,0.0,0.053968,TRYTISB00034,10667114.0,18997115.92,352005145.0
68,19438022.1,2019-03-08T10:50:00,11325704.87,2019-03-08,TDG,2500000000.0,TDG08032019,736,200815.0,0.0,0.054498,TRYTISB00034,10668136.0,19462223.14,357120145.0
69,19548638.67,2019-03-11T10:50:00,11325704.87,2019-03-11,TDG,2500000000.0,TDG11032019,737,39624.55,0.0,0.054757,TRYTISB00034,10668980.0,19549947.68,357030145.0
70,19636287.32,2019-03-12T10:22:47,11325704.87,2019-03-12,TDG,2500000000.0,TDG12032019,745,39639.75,0.0,0.054582,TRYTISB00034,10670627.0,19600280.79,359095145.0
71,19747322.74,2019-03-13T10:50:00,11325704.87,2019-03-13,TDG,2500000000.0,TDG13032019,745,39442.0,0.0,0.054646,TRYTISB00034,10674324.0,19664632.99,359855145.0
72,19782864.12,2019-03-14T10:50:00,11325704.87,2019-03-14,TDG,2500000000.0,TDG14032019,744,38984.33,0.0,0.054836,TRYTISB00034,10677101.0,19733070.77,359855145.0
73,20908968.8,2019-03-15T10:50:00,11325704.87,2019-03-15,TDG,2500000000.0,TDG15032019,744,39857.27,0.0,0.05496,TRYTISB00034,10679837.0,20157326.07,366765145.0
74,21134205.88,2019-03-18T10:30:32,11325704.87,2019-03-18,TDG,2500000000.0,TDG18032019,748,39261.46,0.0,0.054976,TRYTISB00034,10680907.0,20379062.41,370690145.0
75,20434472.22,2019-03-19T10:50:00,11325704.87,2019-03-19,TDG,2500000000.0,TDG19032019,749,41812.38,0.0,0.054982,TRYTISB00034,10684688.0,20325801.06,369680145.0
76,20623517.15,2019-03-20T10:24:48,11325704.87,2019-03-20,TDG,2500000000.0,TDG20032019,755,68829.83,0.0,0.05513,TRYTISB00034,10686203.0,20336797.08,368890145.0
77,20614480.72,2019-03-21T10:50:00,11325704.87,2019-03-21,TDG,2500000000.0,TDG20032019,756,68867.34,0.0,0.055225,TRYTISB00034,10690273.0,20423219.1,369815145.0
78,20542756.79,2019-03-22T09:50:00,11325704.87,2019-03-22,TDG,2500000000.0,TDG21032019,759,69213.86,0.0,0.055041,TRYTISB00034,10692945.0,20559679.51,373535145.0
79,21235225.99,2019-03-25T09:50:00,11325704.87,2019-03-25,TDG,2500000000.0,TDG24032019,762,69808.03,0.0,0.05602,TRYTISB00034,10696086.0,21243970.98,379220145.0
80,21765231.26,2019-03-26T09:50:00,11325704.87,2019-03-26,TDG,2500000000.0,TDG25032019,769,92828.15,0.0,0.057064,TRYTISB00034,11878328.0,21599611.52,378515145.0
81,21296687.44,2019-03-27T09:50:00,11325704.87,2019-03-27,TDG,2500000000.0,TDG26032019,772,63564.23,0.0,0.055642,TRYTISB00034,11881097.0,21021806.84,377805145.0
82,20980243.18,2019-03-28T09:50:00,11325704.87,2019-03-28,TDG,2500000000.0,TDG27032019,778,62437.36,0.0,0.054111,TRYTISB00034,11883750.0,20836020.02,385060145.0
83,21805253.86,2019-03-29T10:50:01,11325704.87,2019-03-29,TDG,2500000000.0,TDG28032019,783,64390.91,0.0,0.056112,TRYTISB00034,11886770.0,21657538.46,385970145.0
84,22263401.97,2019-04-01T09:50:00,11325704.87,2019-04-01,TDG,2500000000.0,TDG01042019,784,81349.76,0.0,0.057043,TRYTISB00034,11890428.0,21997350.34,385625145.0
85,21854754.5,2019-04-02T09:50:00,11325704.87,2019-04-02,TDG,2500000000.0,TDG02042019,781,797093.05,0.0,0.056748,TRYTISB00034,11891603.0,21044650.67,370845145.0
86,21595277.43,2019-04-03T09:50:00,11325704.87,2019-04-03,TDG,2500000000.0,TDG03042019,783,343701.81,0.0,0.05636,TRYTISB00034,11892381.0,20929884.94,371360145.0
87,20922359.13,2019-04-04T09:50:00,11325704.87,2019-04-04,TDG,2500000000.0,TDG04042019,783,347337.04,0.0,0.056836,TRYTISB00034,11893166.0,21156864.62,372245145.0
88,20966062.56,2019-04-05T10:50:00,11325704.87,2019-04-05,TDG,2500000000.0,TDG05042019,784,347866.5,0.0,0.057081,TRYTISB00034,11893955.0,21255408.27,372370145.0
89,21087610.16,2019-04-08T10:50:00,11325704.87,2019-04-08,TDG,2500000000.0,TDG08042019,786,170707.09,0.0,0.056764,TRYTISB00034,11894727.0,21045950.13,370765145.0
90,21389795.26,2019-04-09T09:50:00,11325704.87,2019-04-09,TDG,2500000000.0,TDG09042019,786,173028.5,0.0,0.057569,TRYTISB00034,11895406.0,21263561.26,369360145.0
91,21259308.77,2019-04-10T09:50:00,11325704.87,2019-04-10,TDG,2500000000.0,TDG10042019,790,172020.61,0.0,0.057473,TRYTISB00034,11896244.0,21291177.66,370455145.0
92,21219872.81,2019-04-11T09:50:00,11325704.87,2019-04-11,TDG,2500000000.0,TDG11042019,789,173048.59,0.0,0.057652,TRYTISB00034,11896972.0,21314949.15,369715145.0
93,21376527.44,2019-04-12T10:50:00,11325704.87,2019-04-12,TDG,2500000000.0,TDG12042019,790,173860.14,0.0,0.058015,TRYTISB00034,11897783.0,21443781.1,369625145.0
94,21586788.19,2019-04-15T10:50:01,11325704.87,2019-04-15,TDG,2500000000.0,TDG15042019,788,176164.33,0.0,0.058638,TRYTISB00034,11898536.0,21683877.06,369795145.0
95,22525736.59,2019-04-16T10:50:01,11325704.87,2019-04-16,TDG,2500000000.0,TDG16042019,790,474017.54,0.0,0.058628,TRYTISB00034,11899306.0,22401935.69,382105145.0
96,22823243.28,2019-04-17T09:50:00,11325704.87,2019-04-17,TDG,2500000000.0,TDG17042019,795,50691.93,0.0,0.058635,TRYTISB00034,11900037.0,22647717.31,386250145.0
97,22630727.8,2019-04-18T10:50:00,11325704.87,2019-04-18,TDG,2500000000.0,TDG18042019,797,56455.44,0.0,0.058162,TRYTISB00034,11900815.0,22538251.34,387510145.0
