,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,9626418.19,2018-12-13T10:14:57,500000000.0,2018-12-03,TFF,500000000.0,TFF03122018,291,1771089.56,0.0,1.994069,TRYTEBP00021,9032341.0,11193396.47,5613344.0
1,9683740.62,2018-12-14T10:14:56,500000000.0,2018-12-04,TFF,500000000.0,TFF04122018,289,1767936.66,164106.04,2.035421,TRYTEBP00021,9057890.0,11382681.35,5592297.0
2,13947235.08,2018-12-15T10:14:55,500000000.0,2018-12-05,TFF,500000000.0,TFF05122018,287,1803477.58,2681721.81,2.052387,TRYTEBP00021,9082418.0,14351612.79,6992645.0
3,14454138.88,2018-12-16T10:14:54,500000000.0,2018-12-06,TFF,500000000.0,TFF06122018,284,2498244.33,2001268.49,2.050058,TRYTEBP00021,9090594.0,14335108.62,6992537.0
4,12049948.51,2018-12-17T10:14:59,500000000.0,2018-12-07,TFF,500000000.0,TFF07122018,284,1943019.48,0.0,1.992934,TRYTEBP00021,9098770.0,13983938.9,7016761.0
5,12123870.27,2018-12-20T10:14:57,500000000.0,2018-12-10,TFF,500000000.0,TFF10122018,285,1930952.83,5009.68,2.000773,TRYTEBP00021,9170310.0,14025438.0,7010010.0
6,12018494.17,2018-12-21T10:14:56,500000000.0,2018-12-11,TFF,500000000.0,TFF11122018,287,1924411.82,250162.33,1.949654,TRYTEBP00021,9194838.0,13897667.37,7128274.0
7,12371672.65,2018-12-22T10:14:55,500000000.0,2018-12-12,TFF,500000000.0,TFF12122018,287,1941771.47,255163.48,2.001312,TRYTEBP00021,9219366.0,14265341.89,7127995.0
8,14004795.89,2018-12-23T10:14:54,500000000.0,2018-12-13,TFF,500000000.0,TFF13122018,288,1947647.08,690440.47,2.02544,TRYTEBP00021,9227542.0,14899564.02,7356212.0
9,13839145.45,2018-12-24T10:14:53,500000000.0,2018-12-14,TFF,500000000.0,TFF14122018,288,2264430.2,590370.16,2.016672,TRYTEBP00021,9235719.0,15064270.01,7469865.0
10,13712144.11,2018-12-27T10:14:57,500000000.0,2018-12-17,TFF,500000000.0,TFF17122018,286,1238178.86,601134.25,1.997694,TRYTEBP00021,9307258.0,14925302.42,7471266.0
11,13596209.91,2018-12-28T10:14:59,500000000.0,2018-12-18,TFF,500000000.0,TFF18122018,286,1241836.82,600385.48,1.982489,TRYTEBP00021,9332705.0,14808967.44,7469887.0
12,13407688.93,2018-12-29T10:14:58,500000000.0,2018-12-19,TFF,500000000.0,TFF19122018,287,1240325.27,600383.84,1.956837,TRYTEBP00021,9357233.0,14617398.05,7469912.0
13,13409346.86,2018-12-30T10:14:58,500000000.0,2018-12-20,TFF,500000000.0,TFF20122018,287,1237608.44,600378.9,1.956606,TRYTEBP00021,9365408.0,14618676.23,7471445.0
14,12912892.99,2018-12-31T10:15:00,500000000.0,2018-12-21,TFF,500000000.0,TFF21122018,285,1223013.44,600378.9,1.888376,TRYTEBP00021,9373584.0,14108895.13,7471445.0
15,12880066.66,2019-01-03T10:14:57,500000000.0,2018-12-24,TFF,500000000.0,TFF24122018,286,1227914.92,601149.04,1.883852,TRYTEBP00021,9425706.0,13998436.9,7430750.0
16,12699346.79,2019-01-04T10:14:57,500000000.0,2018-12-25,TFF,500000000.0,TFF25122018,286,1229897.17,600381.37,1.859534,TRYTEBP00021,9450234.0,13810674.25,7426955.0
17,12735104.65,2019-01-05T10:14:56,500000000.0,2018-12-26,TFF,500000000.0,TFF26122018,286,1233459.25,600391.23,1.864627,TRYTEBP00021,9473740.0,13848502.35,7426955.0
18,12686063.91,2019-01-06T10:14:55,500000000.0,2018-12-27,TFF,500000000.0,TFF27122018,286,1228936.86,600407.67,1.857215,TRYTEBP00021,9480894.0,13793450.61,7426955.0
19,12764194.73,2019-01-07T10:15:00,500000000.0,2018-12-28,TFF,500000000.0,TFF28122018,286,1230269.64,600387.95,1.86773,TRYTEBP00021,9488049.0,13846818.05,7413717.0
20,11498689.19,2019-01-10T10:14:57,500000000.0,2018-12-31,TFF,500000000.0,TFF31122018,287,1230352.17,621194.99,1.889219,TRYTEBP00021,9556523.0,12278910.04,6499462.0
21,11385704.68,2019-01-12T10:14:58,500000000.0,2019-01-02,TFF,500000000.0,TFF02012019,287,1237546.6,610815.56,1.905205,TRYTEBP00021,9604453.0,12382757.7,6499437.0
22,11466273.54,2019-01-13T10:14:57,500000000.0,2019-01-03,TFF,500000000.0,TFF03012019,286,2896611.0,590385.52,1.925355,TRYTEBP00021,9612629.0,12515417.07,6500318.0
23,10984022.11,2019-01-14T10:14:59,500000000.0,2019-01-04,TFF,500000000.0,TFF04012019,285,1749141.53,0.0,1.951688,TRYTEBP00021,9620805.0,12686594.52,6500318.0
24,11165927.54,2019-01-17T10:14:57,500000000.0,2019-01-07,TFF,500000000.0,TFF07012019,285,1715360.43,32060.76,1.972922,TRYTEBP00021,9692345.0,12831580.29,6503846.0
25,11160707.55,2019-01-18T10:14:56,500000000.0,2019-01-08,TFF,500000000.0,TFF08012019,285,1703900.6,5003.24,1.973985,TRYTEBP00021,9717895.0,12806772.43,6487775.0
26,11350624.73,2019-01-19T10:14:55,500000000.0,2019-01-09,TFF,500000000.0,TFF09012019,286,1731541.79,0.0,2.007195,TRYTEBP00021,9742423.0,12974006.97,6463751.0
27,11657382.84,2019-01-20T10:14:54,500000000.0,2019-01-10,TFF,500000000.0,TFF10012019,287,1743926.93,24015.55,2.054108,TRYTEBP00021,9750600.0,13292917.01,6471383.0
28,11939286.29,2019-01-21T10:14:59,500000000.0,2019-01-11,TFF,500000000.0,TFF11012019,288,1396819.37,340218.44,2.04826,TRYTEBP00021,9758776.0,13256247.96,6471955.0
29,11777396.51,2019-01-24T10:14:57,500000000.0,2019-01-14,TFF,500000000.0,TFF14012019,289,1414004.95,260506.47,2.033231,TRYTEBP00021,9830316.0,12871425.89,6330529.0
30,11898290.02,2019-01-25T10:14:56,500000000.0,2019-01-15,TFF,500000000.0,TFF15012019,290,1437159.45,260169.53,2.055592,TRYTEBP00021,9855866.0,13014116.46,6331079.0
31,11879945.01,2019-01-26T10:14:55,500000000.0,2019-01-16,TFF,500000000.0,TFF16012019,292,1420999.42,290191.48,2.044828,TRYTEBP00021,9880394.0,12981427.79,6348420.0
32,11594144.69,2019-01-27T10:14:57,500000000.0,2019-01-17,TFF,500000000.0,TFF17012019,289,1402233.02,23015.03,2.040034,TRYTEBP00021,9888467.0,12960243.98,6352956.0
33,11504908.34,2019-01-28T10:14:59,500000000.0,2019-01-18,TFF,500000000.0,TFF18012019,291,1392259.51,45029.59,2.020276,TRYTEBP00021,9896643.0,12744605.13,6308350.0
34,11678046.94,2019-01-31T10:14:57,500000000.0,2019-01-21,TFF,500000000.0,TFF21012019,293,1390336.98,45088.58,2.04694,TRYTEBP00021,9968183.0,12912907.72,6308395.0
35,11604488.73,2019-02-01T10:14:56,500000000.0,2019-01-22,TFF,500000000.0,TFF22012019,292,1386085.67,42027.73,2.035148,TRYTEBP00021,9993733.0,12839515.44,6308884.0
36,11611720.58,2019-02-02T10:14:55,500000000.0,2019-01-23,TFF,500000000.0,TFF23012019,291,1214742.11,100065.21,2.02728,TRYTEBP00021,10018261.0,12711798.7,6270372.0
37,11501852.66,2019-02-03T10:14:54,500000000.0,2019-01-24,TFF,500000000.0,TFF24012019,291,1198128.35,110070.82,2.006969,TRYTEBP00021,10026439.0,12584439.65,6270372.0
38,11463839.7,2019-02-04T10:15:00,500000000.0,2019-01-25,TFF,500000000.0,TFF25012019,293,1190170.99,110070.22,1.999378,TRYTEBP00021,10034615.0,12536926.0,6270413.0
39,11479234.73,2019-02-07T10:14:57,500000000.0,2019-01-28,TFF,500000000.0,TFF28012019,289,1188029.71,32062.07,2.013386,TRYTEBP00021,10106155.0,12624030.78,6270049.0
40,11417032.43,2019-02-08T10:14:56,500000000.0,2019-01-29,TFF,500000000.0,TFF29012019,291,1192634.98,45028.85,2.002194,TRYTEBP00021,10131705.0,12565440.31,6275837.0
41,11904511.22,2019-02-09T10:14:55,500000000.0,2019-01-30,TFF,500000000.0,TFF30012019,290,1210543.58,390249.49,2.026265,TRYTEBP00021,10156235.0,13037943.57,6434470.0
42,11868072.37,2019-02-10T10:14:54,500000000.0,2019-01-31,TFF,500000000.0,TFF31012019,291,1196527.34,390250.56,2.01853,TRYTEBP00021,10164409.0,12988255.75,6434512.0
43,12481472.6,2019-02-11T10:14:53,500000000.0,2019-02-01,TFF,500000000.0,TFF01022019,291,1185675.53,985633.69,2.019437,TRYTEBP00021,10172585.0,13590142.59,6729669.0
44,12442605.49,2019-02-14T10:14:58,500000000.0,2019-02-04,TFF,500000000.0,TFF04022019,290,1179156.81,961846.36,2.016255,TRYTEBP00021,10244124.0,13573520.06,6732046.0
45,13269277.63,2019-02-15T10:14:57,500000000.0,2019-02-05,TFF,500000000.0,TFF05022019,300,1185917.22,1716097.13,2.026883,TRYTEBP00021,10269674.0,14405366.36,7107151.0
46,13543154.75,2019-02-16T10:14:56,500000000.0,2019-02-06,TFF,500000000.0,TFF06022019,303,1176502.32,1921207.23,2.035654,TRYTEBP00021,10294202.0,14668439.62,7205762.0
47,13874683.29,2019-02-17T10:15:00,500000000.0,2019-02-07,TFF,500000000.0,TFF07022019,303,1164605.3,2256436.4,2.03541,TRYTEBP00021,10302275.0,15005561.42,7372256.0
48,14529868.43,2019-02-18T10:14:58,500000000.0,2019-02-08,TFF,500000000.0,TFF08022019,303,1166169.8,2261448.83,2.021849,TRYTEBP00021,10310451.0,14791022.81,7315591.0
49,14574985.28,2019-02-21T10:14:57,500000000.0,2019-02-11,TFF,500000000.0,TFF11022019,303,1167758.61,2264337.34,2.014047,TRYTEBP00021,10381993.0,14722460.31,7309890.0
50,14376905.93,2019-02-22T10:14:56,500000000.0,2019-02-12,TFF,500000000.0,TFF12022019,303,632837.81,1941227.78,2.03135,TRYTEBP00021,10407542.0,14834007.82,7302538.0
51,14431352.87,2019-02-23T10:14:55,500000000.0,2019-02-13,TFF,500000000.0,TFF13022019,304,633384.18,380238.93,2.046911,TRYTEBP00021,10432069.0,14911753.18,7285002.0
52,14432383.65,2019-02-24T10:14:54,500000000.0,2019-02-14,TFF,500000000.0,TFF14022019,303,624618.06,1876181.51,2.047591,TRYTEBP00021,10440245.0,14916377.56,7284842.0
53,14460877.45,2019-02-25T10:14:59,500000000.0,2019-02-15,TFF,500000000.0,TFF15022019,302,628090.24,1861169.83,2.053905,TRYTEBP00021,10448421.0,14951274.75,7279440.0
54,14412149.19,2019-02-28T10:14:57,500000000.0,2019-02-18,TFF,500000000.0,TFF18022019,303,626080.16,1773418.77,2.059095,TRYTEBP00021,10519961.0,14883574.32,7228211.0
55,14544983.18,2019-03-01T10:14:55,500000000.0,2019-02-19,TFF,500000000.0,TFF19022019,302,628881.52,1776128.22,2.077757,TRYTEBP00021,10545511.0,15018464.0,7228211.0
56,14554671.46,2019-03-02T10:14:55,500000000.0,2019-02-20,TFF,500000000.0,TFF20022019,302,631654.43,1771127.67,2.079877,TRYTEBP00021,10570041.0,15041759.8,7232043.0
57,14692630.5,2019-03-03T10:14:53,500000000.0,2019-02-21,TFF,500000000.0,TFF21022019,303,631815.24,1676062.65,2.087405,TRYTEBP00021,10578217.0,14951213.86,7162583.0
58,13905957.35,2019-03-04T10:14:52,500000000.0,2019-02-22,TFF,500000000.0,TFF22022019,304,1409261.98,900556.82,2.085819,TRYTEBP00021,10586377.0,14939899.53,7162606.0
59,14008218.98,2019-03-07T10:14:48,500000000.0,2019-02-25,TFF,500000000.0,TFF25022019,302,1229994.37,911652.96,2.098932,TRYTEBP00021,10657917.0,15040689.5,7165879.0
60,14085395.96,2019-03-08T10:15:00,500000000.0,2019-02-26,TFF,500000000.0,TFF26022019,300,1235049.92,910555.97,2.109408,TRYTEBP00021,10658939.0,15275783.33,7241738.0
61,14034202.0,2019-03-08T14:39:42,500000000.0,2019-02-27,TFF,500000000.0,TFF27022019,302,1227331.42,925575.27,2.099884,TRYTEBP00021,10659961.0,15213743.44,7245039.0
62,16135703.94,2019-03-08T14:40:51,500000000.0,2019-02-28,TFF,500000000.0,TFF28022019,305,1225774.14,1130705.86,2.089576,TRYTEBP00021,10660983.0,15315667.39,7329558.0
63,16752854.93,2019-03-08T14:41:57,500000000.0,2019-03-01,TFF,500000000.0,TFF01032019,309,3971692.21,790515.12,2.097957,TRYTEBP00021,10662005.0,17785241.02,8477410.0
64,16850776.28,2019-03-08T14:43:06,500000000.0,2019-03-04,TFF,500000000.0,TFF04032019,310,1127040.03,791499.92,2.110395,TRYTEBP00021,10663027.0,17886896.02,8475617.0
65,16977431.0,2019-03-08T14:44:12,500000000.0,2019-03-05,TFF,500000000.0,TFF05032019,310,1129709.11,800496.44,2.124816,TRYTEBP00021,10664050.0,18039002.78,8489678.0
66,16973498.71,2019-03-07T10:15:18,500000000.0,2019-03-06,TFF,500000000.0,TFF06032019,310,1127749.57,810505.97,2.122692,TRYTEBP00021,10665072.0,18030803.09,8494308.0
67,16928504.74,2019-03-07T13:50:07,500000000.0,2019-03-07,TFF,500000000.0,TFF07032019,311,1126637.77,790483.74,2.119751,TRYTEBP00021,10667116.0,17905522.59,8446995.0
68,16952953.02,2019-03-08T11:50:00,500000000.0,2019-03-08,TFF,500000000.0,TFF08032019,313,1134820.59,810495.99,2.121473,TRYTEBP00021,10668138.0,17935985.83,8454498.0
69,16856923.67,2019-03-11T11:50:00,500000000.0,2019-03-11,TFF,500000000.0,TFF11032019,314,1134340.0,806482.08,2.110201,TRYTEBP00021,10668982.0,17837498.43,8452984.0
70,16898330.39,2019-03-12T11:50:00,500000000.0,2019-03-12,TFF,500000000.0,TFF12032019,315,1136372.59,690424.4,2.128474,TRYTEBP00021,10670629.0,17991619.0,8452827.0
71,17038666.13,2019-03-13T11:50:00,500000000.0,2019-03-13,TFF,500000000.0,TFF13032019,314,1135722.32,690426.29,2.14527,TRYTEBP00021,10673154.0,18025501.76,8402440.0
72,17146857.7,2019-03-14T12:50:00,500000000.0,2019-03-14,TFF,500000000.0,TFF14032019,315,1139879.71,685424.14,2.159203,TRYTEBP00021,10675858.0,18141656.11,8402016.0
73,18880382.9,2019-03-15T11:50:00,500000000.0,2019-03-15,TFF,500000000.0,TFF15032019,319,1140315.81,2391486.38,2.162578,TRYTEBP00021,10678595.0,19770017.71,9141875.0
74,18987466.0,2019-03-18T11:50:00,500000000.0,2019-03-18,TFF,500000000.0,TFF18032019,317,1144528.89,2394547.55,2.173877,TRYTEBP00021,10680909.0,19941400.66,9173196.0
75,19232907.49,2019-03-19T11:50:00,500000000.0,2019-03-19,TFF,500000000.0,TFF19032019,324,1144299.93,2611641.08,2.177082,TRYTEBP00021,10683584.0,20187140.41,9272567.0
76,19481216.54,2019-03-20T11:50:03,500000000.0,2019-03-20,TFF,500000000.0,TFF20032019,324,1141873.04,2711692.82,2.193171,TRYTEBP00021,10686205.0,20535503.27,9363384.0
77,20864379.15,2019-03-21T10:50:00,500000000.0,2019-03-21,TFF,500000000.0,TFF20032019,328,3727505.54,930574.56,2.179535,TRYTEBP00021,10689756.0,21199898.79,9726797.0
78,21433771.85,2019-03-22T10:50:00,500000000.0,2019-03-22,TFF,500000000.0,TFF21032019,334,3712707.4,1460908.3,2.183497,TRYTEBP00021,10691696.0,21766705.46,9968738.0
79,22228092.35,2019-03-25T10:50:00,500000000.0,2019-03-25,TFF,500000000.0,TFF24032019,342,445936.36,2224141.97,2.18784,TRYTEBP00021,10694982.0,22557559.65,10310423.0
80,24239897.9,2019-03-26T10:50:00,500000000.0,2019-03-26,TFF,500000000.0,TFF25032019,346,455172.37,2371615.46,2.224204,TRYTEBP00021,11877218.0,23012719.6,10346497.0
81,22745455.89,2019-03-27T11:50:00,500000000.0,2019-03-27,TFF,500000000.0,TFF26032019,348,1515768.75,1320884.22,2.18224,TRYTEBP00021,11879894.0,22441392.08,10283648.0
82,21992286.41,2019-03-28T18:50:00,500000000.0,2019-03-28,TFF,500000000.0,TFF27032019,350,63906.26,1350939.45,2.105273,TRYTEBP00021,11882489.0,21179486.0,10060208.0
83,22897604.95,2019-03-29T10:50:01,500000000.0,2019-03-29,TFF,500000000.0,TFF28032019,351,60980.66,1415992.3,2.188442,TRYTEBP00021,11885251.0,22131470.36,10112889.0
84,23233191.99,2019-04-01T13:50:00,500000000.0,2019-04-01,TFF,500000000.0,TFF01042019,347,69275.9,1252630.14,2.238156,TRYTEBP00021,11889320.0,22579297.89,10088347.0
85,22829550.5,2019-04-02T11:50:00,500000000.0,2019-04-02,TFF,500000000.0,TFF02042019,342,72084.83,730505.0,2.249771,TRYTEBP00021,11891087.0,22698392.19,10089201.0
86,18158132.78,2019-04-03T11:50:00,500000000.0,2019-04-03,TFF,500000000.0,TFF03042019,344,71293.77,725500.55,2.231566,TRYTEBP00021,11891858.0,19162869.13,8587183.0
87,18420083.54,2019-04-04T10:50:00,500000000.0,2019-04-04,TFF,500000000.0,TFF04042019,344,72290.92,665456.39,2.289289,TRYTEBP00021,11892632.0,15249340.96,6661170.0
88,15666169.68,2019-04-05T10:50:00,500000000.0,2019-04-05,TFF,500000000.0,TFF05042019,341,4659197.51,670454.32,2.292668,TRYTEBP00021,11893406.0,15265486.63,6658395.0
89,14966887.56,2019-04-08T11:50:00,500000000.0,2019-04-08,TFF,500000000.0,TFF08042019,343,3622021.29,0.0,2.277802,TRYTEBP00021,11894183.0,15172452.02,6661006.0
90,15151089.6,2019-04-09T10:50:00,500000000.0,2019-04-09,TFF,500000000.0,TFF09042019,346,432033.0,0.0,2.32159,TRYTEBP00021,11894956.0,14719513.02,6340272.0
91,15374276.29,2019-04-10T10:50:00,500000000.0,2019-04-10,TFF,500000000.0,TFF10042019,347,325161.75,270172.36,2.314115,TRYTEBP00021,11895708.0,14843170.25,6414188.0
92,13526835.22,2019-04-11T10:50:00,500000000.0,2019-04-11,TFF,500000000.0,TFF11042019,353,327909.43,335216.6,2.324453,TRYTEBP00021,11896488.0,14977462.4,6443435.0
93,12689823.4,2019-04-12T10:50:00,500000000.0,2019-04-12,TFF,500000000.0,TFF12042019,355,373035.97,500322.6,2.34376,TRYTEBP00021,11897252.0,13707320.64,5848432.0
94,13409913.56,2019-04-15T11:50:01,500000000.0,2019-04-15,TFF,500000000.0,TFF15042019,360,2117352.89,0.0,2.384732,TRYTEBP00021,11898016.0,14081065.67,5904675.0
