,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,11008646.11,2018-12-13T10:14:57,100000000.0,2018-12-03,TGA,10000000000.0,TGA03122018,847,13479.34,0.0,0.025105,TRYGRAN00076,9032342.0,10981559.27,437430090.0
1,11489460.19,2018-12-14T10:14:56,100000000.0,2018-12-04,TGA,10000000000.0,TGA04122018,852,10616.45,0.0,0.025077,TRYGRAN00076,9057891.0,10965097.22,437254092.0
2,11917596.15,2018-12-15T10:14:55,100000000.0,2018-12-05,TGA,10000000000.0,TGA05122018,867,11868.59,0.0,0.025004,TRYGRAN00076,9082419.0,11449038.24,457879376.0
3,11438247.95,2018-12-16T10:14:54,100000000.0,2018-12-06,TGA,10000000000.0,TGA06122018,868,10747.17,0.0,0.024946,TRYGRAN00076,9090595.0,11482411.22,460294843.0
4,11452427.41,2018-12-17T10:14:59,100000000.0,2018-12-07,TGA,10000000000.0,TGA07122018,867,12429.58,0.0,0.024933,TRYGRAN00076,9098771.0,11376122.58,456273209.0
5,11417384.13,2018-12-20T10:14:57,100000000.0,2018-12-10,TGA,10000000000.0,TGA10122018,864,13639.67,0.0,0.025007,TRYGRAN00076,9170311.0,11229019.47,449030688.0
6,11263159.72,2018-12-21T10:14:56,100000000.0,2018-12-11,TGA,10000000000.0,TGA11122018,861,10373.66,0.0,0.025046,TRYGRAN00076,9194839.0,11245640.75,449000039.0
7,11282937.48,2018-12-22T10:14:55,100000000.0,2018-12-12,TGA,10000000000.0,TGA12122018,865,12793.93,0.0,0.025088,TRYGRAN00076,9219367.0,11150869.89,444478589.0
8,11127316.35,2018-12-23T10:14:54,100000000.0,2018-12-13,TGA,10000000000.0,TGA13122018,863,10302.7,0.0,0.024995,TRYGRAN00076,9227543.0,11121332.07,444935853.0
9,11185715.21,2018-12-24T10:14:53,100000000.0,2018-12-14,TGA,10000000000.0,TGA14122018,867,13954.64,0.0,0.025094,TRYGRAN00076,9235720.0,11086912.3,441819189.0
10,11075885.17,2018-12-27T10:14:57,100000000.0,2018-12-17,TGA,10000000000.0,TGA17122018,868,10808.01,0.0,0.025018,TRYGRAN00076,9307259.0,11062515.76,442180853.0
11,11041623.55,2018-12-28T10:14:59,100000000.0,2018-12-18,TGA,10000000000.0,TGA18122018,866,12893.24,0.0,0.024982,TRYGRAN00076,9332706.0,11021931.11,441191626.0
12,11062598.38,2018-12-29T10:14:58,100000000.0,2018-12-19,TGA,10000000000.0,TGA19122018,865,9738.34,0.0,0.025029,TRYGRAN00076,9357234.0,11017303.73,440182357.0
13,11251310.62,2018-12-30T10:14:58,100000000.0,2018-12-20,TGA,10000000000.0,TGA20122018,861,10332.31,0.0,0.02513,TRYGRAN00076,9365409.0,11044291.61,439491880.0
14,11236638.07,2018-12-31T10:15:00,100000000.0,2018-12-21,TGA,10000000000.0,TGA21122018,857,10107.47,0.0,0.025123,TRYGRAN00076,9373585.0,11024485.02,438826243.0
15,11061032.82,2019-01-03T10:14:57,100000000.0,2018-12-24,TGA,10000000000.0,TGA24122018,854,10530.73,0.0,0.025152,TRYGRAN00076,9425707.0,11047956.47,439247050.0
16,11076023.33,2019-01-04T10:14:57,100000000.0,2018-12-25,TGA,10000000000.0,TGA25122018,853,10710.07,0.0,0.025185,TRYGRAN00076,9450235.0,11054618.24,438933465.0
17,11015436.35,2019-01-05T10:14:56,100000000.0,2018-12-26,TGA,10000000000.0,TGA26122018,854,10146.34,0.0,0.025169,TRYGRAN00076,9473741.0,11006134.33,437291025.0
