,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,77515756.63,2018-12-13T10:14:57,300000.0,2018-12-03,TI3,30000000.0,TI303122018,1057,5571.23,0.0,58.719586,TRMTI3WWWWW6,9032348.0,77388009.83,1317925
1,77374555.86,2018-12-14T10:14:56,300000.0,2018-12-04,TI3,30000000.0,TI304122018,1058,6064.35,0.0,58.605236,TRMTI3WWWWW6,9057897.0,76877352.69,1311783
2,77377938.15,2018-12-15T10:14:55,300000.0,2018-12-05,TI3,30000000.0,TI305122018,1056,5551.76,0.0,58.875562,TRMTI3WWWWW6,9082425.0,77239380.07,1311909
3,77132316.46,2018-12-16T10:14:54,300000.0,2018-12-06,TI3,30000000.0,TI306122018,1055,5971.69,0.0,58.687001,TRMTI3WWWWW6,9090601.0,76727971.76,1307410
4,76006750.25,2018-12-17T10:14:59,300000.0,2018-12-07,TI3,30000000.0,TI307122018,1052,6351.16,0.0,58.676969,TRMTI3WWWWW6,9098777.0,76712332.89,1307367
5,76832029.55,2018-12-20T10:14:57,300000.0,2018-12-10,TI3,30000000.0,TI310122018,1051,5638.78,0.0,59.226396,TRMTI3WWWWW6,9170317.0,77401614.09,1306877
6,77441124.82,2018-12-21T10:14:56,300000.0,2018-12-11,TI3,30000000.0,TI311122018,1043,5571.09,0.0,59.143731,TRMTI3WWWWW6,9194845.0,77275247.46,1306567
7,79678843.06,2018-12-22T10:14:55,300000.0,2018-12-12,TI3,30000000.0,TI312122018,1041,6117.93,0.0,58.738048,TRMTI3WWWWW6,9219373.0,76772449.25,1307031
8,82860143.88,2018-12-23T10:14:54,300000.0,2018-12-13,TI3,30000000.0,TI313122018,1040,6447.9,0.0,58.446307,TRMTI3WWWWW6,9227549.0,79862904.17,1366432
9,84606826.35,2018-12-24T10:14:53,300000.0,2018-12-14,TI3,30000000.0,TI314122018,1040,6150.49,0.0,59.754594,TRMTI3WWWWW6,9235726.0,81619696.47,1365915
10,87251718.69,2018-12-27T10:14:57,300000.0,2018-12-17,TI3,30000000.0,TI317122018,1037,5629.76,0.0,58.829791,TRMTI3WWWWW6,9307265.0,83730735.12,1423271
11,83569698.75,2018-12-28T10:14:59,300000.0,2018-12-18,TI3,30000000.0,TI318122018,1037,5681.59,0.0,58.910171,TRMTI3WWWWW6,9332712.0,83803842.36,1422570
12,87700544.25,2018-12-29T10:14:58,300000.0,2018-12-19,TI3,30000000.0,TI319122018,1037,6319.35,0.0,58.749471,TRMTI3WWWWW6,9357240.0,86703409.94,1475816
13,92247050.97,2018-12-30T10:14:58,300000.0,2018-12-20,TI3,30000000.0,TI320122018,1039,5742.83,0.0,59.05643,TRMTI3WWWWW6,9365415.0,87153825.64,1475772
14,93684586.49,2018-12-31T10:15:00,300000.0,2018-12-21,TI3,30000000.0,TI321122018,1038,5618.87,0.0,58.823974,TRMTI3WWWWW6,9373591.0,89516499.44,1521769
