,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,26076690.56,2018-12-13T10:14:57,50000000.0,2018-12-03,TIE,5000000000.0,TIE03122018,1314,2064.18,0.0,0.051092,TRMTIEWWWWW3,9032352.0,25961538.88,508128445.0
1,25125851.94,2018-12-14T10:14:56,50000000.0,2018-12-04,TIE,5000000000.0,TIE04122018,1308,2075.68,0.0,0.050876,TRMTIEWWWWW3,9057901.0,25601294.47,503208445.0
2,24856880.1,2018-12-15T10:14:55,50000000.0,2018-12-05,TIE,5000000000.0,TIE05122018,1305,2557.92,0.0,0.05021,TRMTIEWWWWW3,9082429.0,24752207.06,492978445.0
3,25659875.36,2018-12-16T10:14:54,50000000.0,2018-12-06,TIE,5000000000.0,TIE06122018,1298,2298.12,0.0,0.050208,TRMTIEWWWWW3,9090605.0,25522701.38,508337445.0
4,25269894.68,2018-12-17T10:14:59,50000000.0,2018-12-07,TIE,5000000000.0,TIE07122018,1292,2759.84,0.0,0.049616,TRMTIEWWWWW3,9098781.0,25220699.84,508321445.0
5,25597358.34,2018-12-20T10:14:57,50000000.0,2018-12-10,TIE,5000000000.0,TIE10122018,1296,2785.71,0.0,0.050132,TRMTIEWWWWW3,9170321.0,24726765.86,493236445.0
6,24554531.98,2018-12-21T10:14:56,50000000.0,2018-12-11,TIE,5000000000.0,TIE11122018,1294,2909.32,0.0,0.049351,TRMTIEWWWWW3,9194849.0,24504329.11,496532445.0
7,24460655.55,2018-12-22T10:14:55,50000000.0,2018-12-12,TIE,5000000000.0,TIE12122018,1295,2557.17,0.0,0.049173,TRMTIEWWWWW3,9219377.0,24211907.94,492378445.0
8,24158976.14,2018-12-23T10:14:54,50000000.0,2018-12-13,TIE,5000000000.0,TIE13122018,1295,2730.54,0.0,0.048313,TRMTIEWWWWW3,9227553.0,24057620.84,497957445.0
9,24514168.98,2018-12-24T10:14:53,50000000.0,2018-12-14,TIE,5000000000.0,TIE14122018,1295,2474.89,0.0,0.049022,TRMTIEWWWWW3,9235730.0,24422618.58,498192445.0
10,24272559.88,2018-12-27T10:14:57,50000000.0,2018-12-17,TIE,5000000000.0,TIE17122018,1295,2095.25,0.0,0.048611,TRMTIEWWWWW3,9307269.0,24220970.81,498256445.0
11,24381723.28,2018-12-28T10:14:59,50000000.0,2018-12-18,TIE,5000000000.0,TIE18122018,1294,3723.97,0.0,0.048463,TRMTIEWWWWW3,9332716.0,24340450.27,502248445.0
12,24687411.61,2018-12-29T10:14:58,50000000.0,2018-12-19,TIE,5000000000.0,TIE19122018,1292,2104.42,0.0,0.049104,TRMTIEWWWWW3,9357244.0,24628959.27,501570445.0
13,26250171.97,2018-12-30T10:14:58,50000000.0,2018-12-20,TIE,5000000000.0,TIE20122018,1293,2176.01,0.0,0.049871,TRMTIEWWWWW3,9365419.0,25006947.7,501428445.0
14,27051351.54,2018-12-31T10:15:00,50000000.0,2018-12-21,TIE,5000000000.0,TIE21122018,1293,2358.23,0.0,0.049491,TRMTIEWWWWW3,9373595.0,25793220.14,521169445.0
15,25865707.8,2019-01-03T10:14:57,50000000.0,2018-12-24,TIE,5000000000.0,TIE24122018,1289,2701.26,0.0,0.049491,TRMTIEWWWWW3,9425717.0,25698586.77,519261445.0
16,25664173.97,2019-01-04T10:14:57,50000000.0,2018-12-25,TIE,5000000000.0,TIE25122018,1288,2867.72,0.0,0.049293,TRMTIEWWWWW3,9450245.0,25566260.19,518659445.0
17,24541813.49,2019-01-05T10:14:56,50000000.0,2018-12-26,TIE,5000000000.0,TIE26122018,1287,2706.58,0.0,0.048905,TRMTIEWWWWW3,9473751.0,25172204.0,514717445.0
18,24342638.38,2019-01-06T10:14:55,50000000.0,2018-12-27,TIE,5000000000.0,TIE27122018,1281,2699.84,0.0,0.049011,TRMTIEWWWWW3,9480905.0,24234415.52,494471445.0
19,24320941.44,2019-01-07T10:15:00,50000000.0,2018-12-28,TIE,5000000000.0,TIE28122018,1277,2434.57,0.0,0.049067,TRMTIEWWWWW3,9488060.0,24174673.87,492688445.0
20,24080390.22,2019-01-10T10:14:57,50000000.0,2018-12-31,TIE,5000000000.0,TIE31122018,1271,2742.56,0.0,0.048746,TRMTIEWWWWW3,9556534.0,24010552.02,492560445.0
21,24444965.33,2019-01-12T10:14:58,50000000.0,2019-01-02,TIE,5000000000.0,TIE02012019,1271,2444.75,0.0,0.049122,TRMTIEWWWWW3,9604464.0,24348477.36,495672445.0
22,23870321.03,2019-01-13T10:14:57,50000000.0,2019-01-03,TIE,5000000000.0,TIE03012019,1272,2652.95,0.0,0.047796,TRMTIEWWWWW3,9612640.0,23798491.92,497920445.0
23,23562382.06,2019-01-14T10:14:59,50000000.0,2019-01-04,TIE,5000000000.0,TIE04012019,1274,2824.73,0.0,0.047133,TRMTIEWWWWW3,9620816.0,23431448.4,497134445.0
24,24124036.98,2019-01-17T10:14:57,50000000.0,2019-01-07,TIE,5000000000.0,TIE07012019,1273,2795.54,0.0,0.047887,TRMTIEWWWWW3,9692356.0,24046844.0,502160445.0
25,25341944.87,2019-01-18T10:14:56,50000000.0,2019-01-08,TIE,5000000000.0,TIE08012019,1274,2202.44,0.0,0.048508,TRMTIEWWWWW3,9717906.0,24455501.88,504152445.0
26,26650529.09,2019-01-19T10:14:55,50000000.0,2019-01-09,TIE,5000000000.0,TIE09012019,1277,2023.81,0.0,0.048963,TRMTIEWWWWW3,9742434.0,25670465.21,524278445.0
27,25526053.89,2019-01-20T10:14:54,50000000.0,2019-01-10,TIE,5000000000.0,TIE10012019,1278,2408.7,0.0,0.04915,TRMTIEWWWWW3,9750611.0,25740837.67,523722445.0
28,24232711.5,2019-01-21T10:14:59,50000000.0,2019-01-11,TIE,5000000000.0,TIE11012019,1278,2580.17,0.0,0.049066,TRMTIEWWWWW3,9758787.0,24880422.94,507080445.0
29,23931911.6,2019-01-24T10:14:57,50000000.0,2019-01-14,TIE,5000000000.0,TIE14012019,1264,2890.73,0.0,0.049361,TRMTIEWWWWW3,9830327.0,23974231.72,485695445.0
30,23533355.33,2019-01-25T10:14:56,50000000.0,2019-01-15,TIE,5000000000.0,TIE15012019,1262,2835.75,0.0,0.049587,TRMTIEWWWWW3,9855877.0,23886687.62,481710445.0
31,23677830.62,2019-01-26T10:14:55,50000000.0,2019-01-16,TIE,5000000000.0,TIE16012019,1259,2122.7,0.0,0.050215,TRMTIEWWWWW3,9880405.0,23587193.29,469723445.0
32,23735104.41,2019-01-27T10:14:57,50000000.0,2019-01-17,TIE,5000000000.0,TIE17012019,1253,2832.2,0.0,0.051507,TRMTIEWWWWW3,9888478.0,24036130.75,466657445.0
33,24020009.34,2019-01-28T10:14:59,50000000.0,2019-01-18,TIE,5000000000.0,TIE18012019,1248,2732.96,0.0,0.052442,TRMTIEWWWWW3,9896654.0,24366030.44,464625445.0
34,24804010.41,2019-01-31T10:14:57,50000000.0,2019-01-21,TIE,5000000000.0,TIE21012019,1246,2722.15,0.0,0.053275,TRMTIEWWWWW3,9968194.0,24835733.21,466177445.0
35,23060909.44,2019-02-01T10:14:56,50000000.0,2019-01-22,TIE,5000000000.0,TIE22012019,1235,2014.87,0.0,0.052932,TRMTIEWWWWW3,9993744.0,24390264.96,460788445.0
36,23061814.89,2019-02-02T10:14:55,50000000.0,2019-01-23,TIE,5000000000.0,TIE23012019,1234,3145.39,0.0,0.053908,TRMTIEWWWWW3,10018272.0,23367011.16,433461445.0
37,23396902.8,2019-02-03T10:14:54,50000000.0,2019-01-24,TIE,5000000000.0,TIE24012019,1222,2503.03,0.0,0.054092,TRMTIEWWWWW3,10026450.0,23040228.84,425944445.0
38,24703316.44,2019-02-04T10:15:00,50000000.0,2019-01-25,TIE,5000000000.0,TIE25012019,1220,2951.35,0.0,0.054896,TRMTIEWWWWW3,10034626.0,23957125.21,436411445.0
39,24091089.5,2019-02-07T10:14:57,50000000.0,2019-01-28,TIE,5000000000.0,TIE28012019,1209,2495.23,0.0,0.054818,TRMTIEWWWWW3,10106166.0,24247813.56,442331445.0
40,23762741.35,2019-02-08T10:14:56,50000000.0,2019-01-29,TIE,5000000000.0,TIE29012019,1201,2682.06,0.0,0.054519,TRMTIEWWWWW3,10131716.0,23096162.43,423637445.0
41,23317694.13,2019-02-09T10:14:55,50000000.0,2019-01-30,TIE,5000000000.0,TIE30012019,1205,2165.42,0.0,0.056038,TRMTIEWWWWW3,10156246.0,23589068.21,420950445.0
42,23215135.19,2019-02-10T10:14:54,50000000.0,2019-01-31,TIE,5000000000.0,TIE31012019,1199,3536.84,900574.52,0.05609,TRMTIEWWWWW3,10164420.0,23182607.87,413308445.0
43,24311384.91,2019-02-11T10:14:53,50000000.0,2019-02-01,TIE,5000000000.0,TIE01022019,1198,4124.14,1797144.03,0.056076,TRMTIEWWWWW3,10172596.0,23712914.27,422871445.0
44,23098410.6,2019-02-14T10:14:58,50000000.0,2019-02-04,TIE,5000000000.0,TIE04022019,1198,3010.15,1552974.73,0.055396,TRMTIEWWWWW3,10244135.0,23451010.8,423337445.0
45,21249867.07,2019-02-15T10:14:57,50000000.0,2019-02-05,TIE,5000000000.0,TIE05022019,1200,5163.79,1310834.45,0.055034,TRMTIEWWWWW3,10269685.0,22281259.54,404864445.0
46,20955098.13,2019-02-16T10:14:56,50000000.0,2019-02-06,TIE,5000000000.0,TIE06022019,1190,5553.08,960607.56,0.055177,TRMTIEWWWWW3,10294213.0,21085268.16,382135445.0
47,21150671.81,2019-02-17T10:15:00,50000000.0,2019-02-07,TIE,5000000000.0,TIE07022019,1181,6178.72,1119720.45,0.05512,TRMTIEWWWWW3,10302286.0,21022336.12,381395445.0
48,21235308.14,2019-02-18T10:14:58,50000000.0,2019-02-08,TIE,5000000000.0,TIE08022019,1178,7368.97,1156685.69,0.055243,TRMTIEWWWWW3,10310462.0,21132829.46,382544445.0
49,21121603.16,2019-02-21T10:14:57,50000000.0,2019-02-11,TIE,5000000000.0,TIE11022019,1175,8704.09,1107120.69,0.05507,TRMTIEWWWWW3,10382004.0,20874460.82,379053445.0
50,20973855.63,2019-02-22T10:14:56,50000000.0,2019-02-12,TIE,5000000000.0,TIE12022019,1170,9053.08,900560.96,0.05619,TRMTIEWWWWW3,10407553.0,21247959.49,378142445.0
51,20827616.71,2019-02-23T10:14:55,50000000.0,2019-02-13,TIE,5000000000.0,TIE13022019,1172,2278.26,0.0,0.055828,TRMTIEWWWWW3,10432080.0,20852312.2,373512445.0
52,20664636.89,2019-02-24T10:14:54,50000000.0,2019-02-14,TIE,5000000000.0,TIE14022019,1168,2342.29,1088690.06,0.05476,TRMTIEWWWWW3,10440256.0,20288812.38,370505445.0
53,20811824.41,2019-02-25T10:14:59,50000000.0,2019-02-15,TIE,5000000000.0,TIE15022019,1161,2362.37,1099692.52,0.055121,TRMTIEWWWWW3,10448432.0,20719132.6,375886445.0
54,20899579.41,2019-02-28T10:14:57,50000000.0,2019-02-18,TIE,5000000000.0,TIE18022019,1160,2982.82,1062051.51,0.055451,TRMTIEWWWWW3,10519972.0,20836558.16,375768445.0
55,20672520.07,2019-03-01T10:14:55,50000000.0,2019-02-19,TIE,5000000000.0,TIE19022019,1159,2967.77,1056674.1,0.054858,TRMTIEWWWWW3,10545522.0,20576036.59,375076445.0
56,21243641.33,2019-03-02T10:14:55,50000000.0,2019-02-20,TIE,5000000000.0,TIE20022019,1162,2383.63,1041661.68,0.054853,TRMTIEWWWWW3,10570052.0,20565038.22,374911445.0
57,21829165.09,2019-03-03T10:14:53,50000000.0,2019-02-21,TIE,5000000000.0,TIE21022019,1159,2695.85,1574961.16,0.054862,TRMTIEWWWWW3,10578228.0,21123476.77,385032445.0
58,21262549.71,2019-03-04T10:14:52,50000000.0,2019-02-22,TIE,5000000000.0,TIE22022019,1163,1568.91,985550.52,0.055072,TRMTIEWWWWW3,10586388.0,21101526.95,383162445.0
59,21265298.89,2019-03-07T10:14:48,50000000.0,2019-02-25,TIE,5000000000.0,TIE25022019,1160,1799.65,859593.76,0.055403,TRMTIEWWWWW3,10657928.0,21257256.6,383687445.0
