,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,43071401.39,2018-12-13T10:14:57,10000000.0,2018-12-03,TKF,100000000.0,TKF03122018,163,1031.01,25048.39,1.93045,TRMTA1WWWWW8,9032357.0,43351804.61,22456836.0
1,42830948.36,2018-12-14T10:14:56,10000000.0,2018-12-04,TKF,100000000.0,TKF04122018,164,1431.69,32020.43,1.951481,TRMTA1WWWWW8,9057906.0,43831511.16,22460637.0
2,43177452.33,2018-12-15T10:14:55,10000000.0,2018-12-05,TKF,100000000.0,TKF05122018,163,1960.02,439261.6,1.945367,TRMTA1WWWWW8,9082434.0,43693985.55,22460537.0
3,44555271.07,2018-12-16T10:14:54,10000000.0,2018-12-06,TKF,100000000.0,TKF06122018,164,1522.45,1170727.64,1.950266,TRMTA1WWWWW8,9090610.0,43801259.84,22459124.0
4,43975212.8,2018-12-17T10:14:59,10000000.0,2018-12-07,TKF,100000000.0,TKF07122018,164,1887.07,970632.49,1.93311,TRMTA1WWWWW8,9098786.0,43153056.4,22323124.0
5,43832396.15,2018-12-20T10:14:57,10000000.0,2018-12-10,TKF,100000000.0,TKF10122018,166,1366.5,176349.35,1.949452,TRMTA1WWWWW8,9170326.0,43517454.07,22322913.0
6,43533503.65,2018-12-21T10:14:56,10000000.0,2018-12-11,TKF,100000000.0,TKF11122018,165,1684.41,174114.17,1.936006,TRMTA1WWWWW8,9194854.0,43217295.24,22322913.0
7,43234143.28,2018-12-22T10:14:55,10000000.0,2018-12-12,TKF,100000000.0,TKF12122018,166,21991.2,98061.08,1.935698,TRMTA1WWWWW8,9219382.0,43099290.09,22265498.0
8,42159206.14,2018-12-23T10:14:54,10000000.0,2018-12-13,TKF,100000000.0,TKF13122018,164,1645.44,7004.32,1.891348,TRMTA1WWWWW8,9227558.0,42108353.16,22263668.0
9,42514784.14,2018-12-24T10:14:53,10000000.0,2018-12-14,TKF,100000000.0,TKF14122018,164,1709.86,0.0,1.916468,TRMTA1WWWWW8,9235735.0,42646703.51,22252761.0
10,41843579.43,2018-12-27T10:14:57,10000000.0,2018-12-17,TKF,100000000.0,TKF17122018,164,1752.74,87173.05,1.887108,TRMTA1WWWWW8,9307274.0,41934758.44,22221708.0
11,41777957.51,2018-12-28T10:14:59,10000000.0,2018-12-18,TKF,100000000.0,TKF18122018,166,1816.63,226147.05,1.87775,TRMTA1WWWWW8,9332721.0,41724558.73,22220512.0
12,41949934.61,2018-12-29T10:14:58,10000000.0,2018-12-19,TKF,100000000.0,TKF19122018,166,1935.57,237149.34,1.884789,TRMTA1WWWWW8,9357249.0,41881014.01,22220529.0
13,42347716.54,2018-12-30T10:14:58,10000000.0,2018-12-20,TKF,100000000.0,TKF20122018,166,1906.45,236150.65,1.902631,TRMTA1WWWWW8,9365424.0,42101064.81,22127818.0
14,41764106.92,2018-12-31T10:15:00,10000000.0,2018-12-21,TKF,100000000.0,TKF21122018,165,1754.17,61038.52,1.902801,TRMTA1WWWWW8,9373600.0,42104938.14,22127870.0
15,41741174.45,2019-01-03T10:14:57,10000000.0,2018-12-24,TKF,100000000.0,TKF24122018,165,1790.77,61116.82,1.897921,TRMTA1WWWWW8,9425722.0,41996950.49,22127870.0
16,41930962.06,2019-01-04T10:14:57,10000000.0,2018-12-25,TKF,100000000.0,TKF25122018,166,12756.78,466297.47,1.888042,TRMTA1WWWWW8,9450250.0,41778447.52,22127922.0
17,41689275.68,2019-01-05T10:14:56,10000000.0,2018-12-26,TKF,100000000.0,TKF26122018,167,1484.47,403271.06,1.879822,TRMTA1WWWWW8,9473756.0,41594338.14,22126740.0
18,41628503.88,2019-01-06T10:14:55,10000000.0,2018-12-27,TKF,100000000.0,TKF27122018,166,1528.05,401223.02,1.876993,TRMTA1WWWWW8,9480910.0,41094204.17,21893641.0
19,41024516.76,2019-01-07T10:15:00,10000000.0,2018-12-28,TKF,100000000.0,TKF28122018,164,2158.11,62037.79,1.869294,TRMTA1WWWWW8,9488065.0,40925649.53,21893641.0
20,40867018.95,2019-01-10T10:14:57,10000000.0,2018-12-31,TKF,100000000.0,TKF31122018,164,2193.95,62125.1,1.861591,TRMTA1WWWWW8,9556539.0,40509579.22,21760732.0
21,41185752.41,2019-01-12T10:14:58,10000000.0,2019-01-02,TKF,100000000.0,TKF02012019,161,5867.79,30040.77,1.887417,TRMTA1WWWWW8,9604469.0,41071554.79,21760726.0
22,40459476.89,2019-01-13T10:14:57,10000000.0,2019-01-03,TKF,100000000.0,TKF03012019,160,1896.44,34021.05,1.853701,TRMTA1WWWWW8,9612645.0,40337883.97,21760726.0
23,39611143.05,2019-01-14T10:14:59,10000000.0,2019-01-04,TKF,100000000.0,TKF04012019,160,2700.55,60038.71,1.81336,TRMTA1WWWWW8,9620821.0,39452315.98,21756469.0
24,39872077.72,2019-01-17T10:14:57,10000000.0,2019-01-07,TKF,100000000.0,TKF07012019,160,2520.96,28052.93,1.826359,TRMTA1WWWWW8,9692361.0,39737500.17,21757775.0
25,39988927.01,2019-01-18T10:14:56,10000000.0,2019-01-08,TKF,100000000.0,TKF08012019,161,2045.73,33021.52,1.835941,TRMTA1WWWWW8,9717911.0,39948367.48,21759072.0
26,40229448.5,2019-01-19T10:14:55,10000000.0,2019-01-09,TKF,100000000.0,TKF09012019,161,2277.59,23015.03,1.847298,TRMTA1WWWWW8,9742439.0,40195514.33,21759087.0
27,40558204.57,2019-01-20T10:14:54,10000000.0,2019-01-10,TKF,100000000.0,TKF10012019,160,2190.92,23014.87,1.862194,TRMTA1WWWWW8,9750616.0,40513522.05,21755797.0
28,40784381.18,2019-01-21T10:14:59,10000000.0,2019-01-11,TKF,100000000.0,TKF11012019,159,2589.19,15009.58,1.872799,TRMTA1WWWWW8,9758792.0,40744236.56,21755797.0
29,41591237.39,2019-01-24T10:14:57,10000000.0,2019-01-14,TKF,100000000.0,TKF14012019,159,2982.22,15029.77,1.909399,TRMTA1WWWWW8,9830332.0,41540875.2,21755997.0
30,41857814.46,2019-01-25T10:14:56,10000000.0,2019-01-15,TKF,100000000.0,TKF15012019,160,2009.32,66043.94,1.905404,TRMTA1WWWWW8,9855882.0,41503868.09,21782187.0
31,41977749.17,2019-01-26T10:14:55,10000000.0,2019-01-16,TKF,100000000.0,TKF16012019,160,2950.63,1313850.75,1.910887,TRMTA1WWWWW8,9880410.0,41594068.73,21766888.0
32,41485088.14,2019-01-27T10:14:57,10000000.0,2019-01-17,TKF,100000000.0,TKF17012019,159,2171.31,987651.69,1.903102,TRMTA1WWWWW8,9888483.0,41401946.3,21754978.0
33,41591229.04,2019-01-28T10:14:59,10000000.0,2019-01-18,TKF,100000000.0,TKF18012019,159,2575.75,964607.45,1.908845,TRMTA1WWWWW8,9896659.0,41525029.05,21754011.0
34,42981222.29,2019-01-31T10:14:57,10000000.0,2019-01-21,TKF,100000000.0,TKF21012019,158,1438.6,1074105.82,1.948716,TRMTA1WWWWW8,9968199.0,42503264.8,21810905.0
35,43143597.92,2019-02-01T10:14:56,10000000.0,2019-01-22,TKF,100000000.0,TKF22012019,157,2487.51,472312.3,1.956091,TRMTA1WWWWW8,9993749.0,42662650.58,21810159.0
36,43076589.83,2019-02-02T10:14:55,10000000.0,2019-01-23,TKF,100000000.0,TKF23012019,157,2337.84,288187.79,1.961275,TRMTA1WWWWW8,10018277.0,42994899.09,21921916.0
37,43425403.73,2019-02-03T10:14:54,10000000.0,2019-01-24,TKF,100000000.0,TKF24012019,157,2035.39,38021.86,1.977029,TRMTA1WWWWW8,10026455.0,43334922.65,21919216.0
38,43895005.06,2019-02-04T10:15:00,10000000.0,2019-01-25,TKF,100000000.0,TKF25012019,157,2847.67,32021.08,1.998479,TRMTA1WWWWW8,10034631.0,43805201.16,21919265.0
39,44150479.43,2019-02-07T10:14:57,10000000.0,2019-01-28,TKF,100000000.0,TKF28012019,157,2042.72,32060.49,2.00946,TRMTA1WWWWW8,10106171.0,44046791.21,21919713.0
40,44082216.51,2019-02-08T10:14:56,10000000.0,2019-01-29,TKF,100000000.0,TKF29012019,159,1913.43,35022.77,2.006042,TRMTA1WWWWW8,10131721.0,43974355.29,21920958.0
41,43983809.4,2019-02-09T10:14:55,10000000.0,2019-01-30,TKF,100000000.0,TKF30012019,158,1544.87,41025.55,2.001111,TRMTA1WWWWW8,10156251.0,43875517.57,21925581.0
42,44326932.58,2019-02-10T10:14:54,10000000.0,2019-01-31,TKF,100000000.0,TKF31012019,157,1713.09,67043.14,2.015403,TRMTA1WWWWW8,10164425.0,44192894.2,21927571.0
43,44698974.85,2019-02-11T10:14:53,10000000.0,2019-02-01,TKF,100000000.0,TKF01022019,155,1367.69,45028.85,2.033203,TRMTA1WWWWW8,10172601.0,44583193.9,21927571.0
44,47810690.72,2019-02-14T10:14:58,10000000.0,2019-02-04,TKF,100000000.0,TKF04022019,157,1574.1,2410617.54,2.020904,TRMTA1WWWWW8,10244140.0,46657371.04,23087381.0
45,47660024.77,2019-02-15T10:14:57,10000000.0,2019-02-05,TKF,100000000.0,TKF05022019,158,1935.42,2708724.32,2.017704,TRMTA1WWWWW8,10269690.0,46878441.8,23233552.0
46,47084304.42,2019-02-16T10:14:56,10000000.0,2019-02-06,TKF,100000000.0,TKF06022019,157,1353.7,1688065.35,2.008781,TRMTA1WWWWW8,10294218.0,46676069.98,23236022.0
47,47684308.46,2019-02-17T10:15:00,10000000.0,2019-02-07,TKF,100000000.0,TKF07022019,158,2059.67,2171397.12,2.013757,TRMTA1WWWWW8,10302291.0,46975775.79,23327433.0
48,47119013.38,2019-02-18T10:14:58,10000000.0,2019-02-08,TKF,100000000.0,TKF08022019,155,2638.21,1570998.17,2.015129,TRMTA1WWWWW8,10310467.0,47082836.9,23364676.0
49,47384914.51,2019-02-21T10:14:57,10000000.0,2019-02-11,TKF,100000000.0,TKF11022019,155,1649.59,1577020.79,2.011914,TRMTA1WWWWW8,10382009.0,47002745.23,23362207.0
50,47569257.41,2019-02-22T10:14:56,10000000.0,2019-02-12,TKF,100000000.0,TKF12022019,154,1645.45,1572960.43,2.019743,TRMTA1WWWWW8,10407558.0,47183961.37,23361373.0
51,46997927.01,2019-02-23T10:14:55,10000000.0,2019-02-13,TKF,100000000.0,TKF13022019,152,2375.21,1240777.97,2.009354,TRMTA1WWWWW8,10432085.0,46941276.0,23361373.0
52,46689794.43,2019-02-24T10:14:54,10000000.0,2019-02-14,TKF,100000000.0,TKF14022019,153,2130.19,1241817.7,1.995982,TRMTA1WWWWW8,10440261.0,46621314.92,23357583.0
53,46915229.11,2019-02-25T10:14:59,10000000.0,2019-02-15,TKF,100000000.0,TKF15022019,152,2297.23,1234777.59,2.005259,TRMTA1WWWWW8,10448437.0,46838017.93,23357593.0
54,47006252.7,2019-02-28T10:14:57,10000000.0,2019-02-18,TKF,100000000.0,TKF18022019,152,2987.53,1306599.07,2.005677,TRMTA1WWWWW8,10519977.0,46917800.52,23392501.0
55,46473875.75,2019-03-01T10:14:55,10000000.0,2019-02-19,TKF,100000000.0,TKF19022019,152,2909.93,1294826.03,1.983283,TRMTA1WWWWW8,10545527.0,46390965.47,23391001.0
56,46682195.82,2019-03-02T10:14:55,10000000.0,2019-02-20,TKF,100000000.0,TKF20022019,152,2686.68,1292815.91,1.992139,TRMTA1WWWWW8,10570057.0,46598120.83,23391001.0
57,48291831.88,2019-03-03T10:14:53,10000000.0,2019-02-21,TKF,100000000.0,TKF21022019,152,2461.89,1293786.43,2.006185,TRMTA1WWWWW8,10578233.0,46926665.97,23391001.0
58,48423192.04,2019-03-04T10:14:52,10000000.0,2019-02-22,TKF,100000000.0,TKF22022019,152,2207.59,1294742.72,2.011619,TRMTA1WWWWW8,10586393.0,47053781.3,23391001.0
59,45653345.28,2019-03-07T10:14:48,10000000.0,2019-02-25,TKF,100000000.0,TKF25022019,152,2023.48,18033.36,2.034366,TRMTA1WWWWW8,10657933.0,47585866.4,23391001.0
60,45855111.07,2019-03-08T10:15:00,10000000.0,2019-02-26,TKF,100000000.0,TKF26022019,152,2326.71,81050.15,2.041237,TRMTA1WWWWW8,10658955.0,47809076.84,23421623.0
61,48280130.31,2019-03-08T14:39:42,10000000.0,2019-02-27,TKF,100000000.0,TKF27022019,153,1788.41,2119363.64,2.05763,TRMTA1WWWWW8,10659977.0,48189685.54,23420000.0
62,48228027.32,2019-03-08T14:40:51,10000000.0,2019-02-28,TKF,100000000.0,TKF28022019,150,2816.52,2142352.23,2.054303,TRMTA1WWWWW8,10660999.0,48094601.59,23411639.0
63,48472223.86,2019-03-08T14:41:57,10000000.0,2019-03-01,TKF,100000000.0,TKF01032019,147,1897.47,2127372.84,2.065254,TRMTA1WWWWW8,10662021.0,48350989.0,23411639.0
64,48972335.9,2019-03-08T14:43:06,10000000.0,2019-03-04,TKF,100000000.0,TKF04032019,147,2203.34,2130697.48,2.086114,TRMTA1WWWWW8,10663043.0,48839347.33,23411639.0
65,49132444.55,2019-03-08T14:44:12,10000000.0,2019-03-05,TKF,100000000.0,TKF05032019,148,1931.12,2133282.12,2.090113,TRMTA1WWWWW8,10664066.0,48934079.87,23412165.0
66,49056671.39,2019-03-08T14:45:23,10000000.0,2019-03-06,TKF,100000000.0,TKF06032019,148,2146.08,2134316.4,2.086714,TRMTA1WWWWW8,10665088.0,48854289.3,23412064.0
67,48995789.83,2019-03-07T13:50:07,10000000.0,2019-03-07,TKF,100000000.0,TKF07032019,147,2580.01,1968190.98,2.091093,TRMTA1WWWWW8,10667132.0,48882714.87,23376638.0
68,48504789.9,2019-03-08T10:50:00,10000000.0,2019-03-08,TKF,100000000.0,TKF08032019,148,2290.55,1911125.07,2.072411,TRMTA1WWWWW8,10668154.0,48461362.66,23384053.0
69,48102686.33,2019-03-11T10:50:00,10000000.0,2019-03-11,TKF,100000000.0,TKF11032019,150,2293.38,1928575.75,2.054105,TRMTA1WWWWW8,10668998.0,48047397.96,23390918.0
70,48134390.23,2019-03-12T10:22:47,10000000.0,2019-03-12,TKF,100000000.0,TKF12032019,150,2816.71,1929188.49,2.049497,TRMTA1WWWWW8,10670645.0,47939597.37,23390910.0
71,48592785.04,2019-03-13T10:50:00,10000000.0,2019-03-13,TKF,100000000.0,TKF13032019,149,2919.82,1930186.47,2.068929,TRMTA1WWWWW8,10674335.0,48394136.55,23390910.0
72,48264230.46,2019-03-14T10:50:00,10000000.0,2019-03-14,TKF,100000000.0,TKF14032019,149,1988.4,1796128.64,2.060486,TRMTA1WWWWW8,10677112.0,48196648.1,23390910.0
73,48783900.17,2019-03-15T10:50:00,10000000.0,2019-03-15,TKF,100000000.0,TKF15032019,149,1560.51,1830132.48,2.081102,TRMTA1WWWWW8,10679848.0,48716403.36,23408949.0
74,49804524.27,2019-03-18T10:30:32,10000000.0,2019-03-18,TKF,100000000.0,TKF18032019,150,2808.34,1891654.44,2.076831,TRMTA1WWWWW8,10680925.0,48675549.74,23437420.0
75,49889965.08,2019-03-19T10:50:00,10000000.0,2019-03-19,TKF,100000000.0,TKF19032019,149,1382.5,1894185.07,2.080241,TRMTA1WWWWW8,10684699.0,48755473.1,23437420.0
76,49078208.74,2019-03-20T10:24:48,10000000.0,2019-03-20,TKF,100000000.0,TKF20032019,151,1146.77,849528.01,2.090022,TRMTA1WWWWW8,10686221.0,48989869.58,23439883.0
