,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,25682783.68,2018-12-13T10:14:57,100000000000.0,2018-12-03,TLE,100000000000.0,TLE03122018,67,2785443.39,0.0,1.961236,TRYTALP00028,9032360.0,28421776.22,14491771.0
1,25937833.95,2018-12-14T10:14:56,100000000000.0,2018-12-04,TLE,100000000000.0,TLE04122018,67,2881468.84,0.0,1.985378,TRYTALP00028,9057909.0,28771636.38,14491771.0
2,26374668.01,2018-12-15T10:14:55,100000000000.0,2018-12-05,TLE,100000000000.0,TLE05122018,67,2926806.74,0.0,2.018564,TRYTALP00028,9082437.0,29252573.0,14491771.0
3,26817166.24,2018-12-16T10:14:54,100000000000.0,2018-12-06,TLE,100000000000.0,TLE06122018,67,2944177.63,0.0,2.052748,TRYTALP00028,9090613.0,29747948.16,14491771.0
4,26654266.39,2018-12-17T10:14:59,100000000000.0,2018-12-07,TLE,100000000000.0,TLE07122018,68,2971731.08,0.0,2.042981,TRYTALP00028,9098789.0,29603145.31,14490171.0
5,26488313.75,2018-12-20T10:14:57,100000000000.0,2018-12-10,TLE,100000000000.0,TLE10122018,68,2947751.07,0.0,2.029452,TRYTALP00028,9170329.0,29409548.13,14491371.0
6,26224543.39,2018-12-21T10:14:56,100000000000.0,2018-12-11,TLE,100000000000.0,TLE11122018,68,2998721.83,0.0,2.01524,TRYTALP00028,9194857.0,29084532.68,14432289.0
7,26547772.05,2018-12-22T10:14:55,100000000000.0,2018-12-12,TLE,100000000000.0,TLE12122018,68,3050220.33,0.0,2.040172,TRYTALP00028,9219385.0,29402914.62,14411979.0
8,26645528.89,2018-12-23T10:14:54,100000000000.0,2018-12-13,TLE,100000000000.0,TLE13122018,68,2941852.62,0.0,2.047352,TRYTALP00028,9227561.0,29421686.61,14370602.0
9,26769651.39,2018-12-24T10:14:53,100000000000.0,2018-12-14,TLE,100000000000.0,TLE14122018,68,2951631.83,0.0,2.055809,TRYTALP00028,9235738.0,29608106.31,14402166.0
10,26794045.41,2018-12-27T10:14:57,100000000000.0,2018-12-17,TLE,100000000000.0,TLE17122018,67,2867222.18,0.0,2.057621,TRYTALP00028,9307277.0,29629265.86,14399766.0
11,26806209.54,2018-12-28T10:14:59,100000000000.0,2018-12-18,TLE,100000000000.0,TLE18122018,67,2870211.3,0.0,2.058587,TRYTALP00028,9332724.0,29643169.49,14399766.0
12,26649073.88,2018-12-29T10:14:58,100000000000.0,2018-12-19,TLE,100000000000.0,TLE19122018,66,2857292.54,0.0,2.047034,TRYTALP00028,9357252.0,29476807.98,14399766.0
13,26521641.29,2018-12-30T10:14:58,100000000000.0,2018-12-20,TLE,100000000000.0,TLE20122018,67,2848983.55,0.0,2.037394,TRYTALP00028,9365427.0,29339829.24,14400666.0
14,26162703.76,2018-12-31T10:15:00,100000000000.0,2018-12-21,TLE,100000000000.0,TLE21122018,67,2808872.24,0.0,2.009599,TRYTALP00028,9373603.0,28939561.45,14400666.0
15,26076747.6,2019-01-03T10:14:57,100000000000.0,2018-12-24,TLE,100000000000.0,TLE24122018,67,2817681.65,0.0,2.003988,TRYTALP00028,9425725.0,28858561.62,14400566.0
16,26092954.08,2019-01-04T10:14:57,100000000000.0,2018-12-25,TLE,100000000000.0,TLE25122018,67,3038991.53,0.0,2.005733,TRYTALP00028,9450253.0,29094850.89,14505847.0
17,26148826.47,2019-01-05T10:14:56,100000000000.0,2018-12-26,TLE,100000000000.0,TLE26122018,66,3044987.3,0.0,2.009927,TRYTALP00028,9473759.0,29155688.65,14505847.0
18,26021050.94,2019-01-06T10:14:55,100000000000.0,2018-12-27,TLE,100000000000.0,TLE27122018,66,3033397.12,0.0,2.000235,TRYTALP00028,9480913.0,29014930.42,14505762.0
19,26967101.57,2019-01-07T10:15:00,100000000000.0,2018-12-28,TLE,100000000000.0,TLE28122018,66,3036667.61,0.0,2.001147,TRYTALP00028,9488068.0,29027357.86,14505362.0
20,26843865.36,2019-01-10T10:14:57,100000000000.0,2018-12-31,TLE,100000000000.0,TLE31122018,66,2092389.81,0.0,1.991748,TRYTALP00028,9556542.0,28891227.45,14505462.0
21,26979915.94,2019-01-12T10:14:58,100000000000.0,2019-01-02,TLE,100000000000.0,TLE02012019,66,2099573.57,0.0,2.001411,TRYTALP00028,9604472.0,29031392.53,14505462.0
22,27161149.89,2019-01-13T10:14:57,100000000000.0,2019-01-03,TLE,100000000000.0,TLE03012019,66,2119676.91,0.0,2.015199,TRYTALP00028,9612648.0,29231393.48,14505462.0
23,27155336.82,2019-01-14T10:14:59,100000000000.0,2019-01-04,TLE,100000000000.0,TLE04012019,66,2171612.89,0.0,2.065831,TRYTALP00028,9620824.0,29967277.35,14506162.0
24,27269322.11,2019-01-17T10:14:57,100000000000.0,2019-01-07,TLE,100000000000.0,TLE07012019,67,2806841.3,0.0,2.054949,TRYTALP00028,9692364.0,29814355.32,14508562.0
25,27191720.57,2019-01-18T10:14:56,100000000000.0,2019-01-08,TLE,100000000000.0,TLE08012019,67,3522838.16,0.0,2.051857,TRYTALP00028,9717914.0,29769488.98,14508562.0
26,28725944.8,2019-01-19T10:14:55,100000000000.0,2019-01-09,TLE,100000000000.0,TLE09012019,67,2623461.76,0.0,2.084896,TRYTALP00028,9742442.0,30243842.72,14506162.0
27,29374928.81,2019-01-20T10:14:54,100000000000.0,2019-01-10,TLE,100000000000.0,TLE10012019,68,1566493.72,0.0,2.120288,TRYTALP00028,9750619.0,30914657.53,14580408.0
28,29976247.42,2019-01-21T10:14:59,100000000000.0,2019-01-11,TLE,100000000000.0,TLE11012019,70,1883188.56,0.0,2.110101,TRYTALP00028,9758795.0,31318407.67,14842135.0
29,29865700.74,2019-01-24T10:14:57,100000000000.0,2019-01-14,TLE,100000000000.0,TLE14012019,70,1868497.32,0.0,2.101703,TRYTALP00028,9830335.0,31128453.78,14811064.0
30,30320118.33,2019-01-25T10:14:56,100000000000.0,2019-01-15,TLE,100000000000.0,TLE15012019,70,1376802.87,0.0,2.133796,TRYTALP00028,9855885.0,31603791.44,14811064.0
31,29847739.78,2019-01-26T10:14:55,100000000000.0,2019-01-16,TLE,100000000000.0,TLE16012019,70,1573895.28,0.0,2.111851,TRYTALP00028,9880413.0,31392686.92,14865009.0
32,29765520.64,2019-01-27T10:14:57,100000000000.0,2019-01-17,TLE,100000000000.0,TLE17012019,71,1562972.81,0.0,2.105518,TRYTALP00028,9888486.0,31298120.17,14864809.0
33,29550627.16,2019-01-28T10:14:59,100000000000.0,2019-01-18,TLE,100000000000.0,TLE18012019,71,1574945.98,0.0,2.091769,TRYTALP00028,9896662.0,31088941.22,14862509.0
34,29605532.29,2019-01-31T10:14:57,100000000000.0,2019-01-21,TLE,100000000000.0,TLE21012019,71,1572460.84,0.0,2.094911,TRYTALP00028,9968202.0,31137099.91,14863209.0
35,29597129.58,2019-02-01T10:14:56,100000000000.0,2019-01-22,TLE,100000000000.0,TLE22012019,70,1570941.45,0.0,2.094474,TRYTALP00028,9993752.0,31130602.71,14863209.0
36,29637684.83,2019-02-02T10:14:55,100000000000.0,2019-01-23,TLE,100000000000.0,TLE23012019,70,1578251.95,0.0,2.097278,TRYTALP00028,10018280.0,31146885.93,14851103.0
37,29458566.02,2019-02-03T10:14:54,100000000000.0,2019-01-24,TLE,100000000000.0,TLE24012019,70,1568091.72,0.0,2.084367,TRYTALP00028,10026458.0,30956196.64,14851603.0
38,29361816.74,2019-02-04T10:15:00,100000000000.0,2019-01-25,TLE,100000000000.0,TLE25012019,70,1514374.02,0.0,2.076172,TRYTALP00028,10034634.0,30833859.83,14851303.0
39,29382668.72,2019-02-07T10:14:57,100000000000.0,2019-01-28,TLE,100000000000.0,TLE28012019,70,1511938.8,0.0,2.0771,TRYTALP00028,10106174.0,30848054.52,14851503.0
40,29365246.61,2019-02-08T10:14:56,100000000000.0,2019-01-29,TLE,100000000000.0,TLE29012019,70,1580133.04,0.0,2.080466,TRYTALP00028,10131724.0,30898042.6,14851503.0
41,30318020.85,2019-02-09T10:14:55,100000000000.0,2019-01-30,TLE,100000000000.0,TLE30012019,71,2427190.59,0.0,2.097283,TRYTALP00028,10156254.0,31975322.52,15246068.0
42,29915668.37,2019-02-10T10:14:54,100000000000.0,2019-01-31,TLE,100000000000.0,TLE31012019,71,2456577.77,0.0,2.071838,TRYTALP00028,10164428.0,31606590.12,15255340.0
43,29715008.34,2019-02-11T10:14:53,100000000000.0,2019-02-01,TLE,100000000000.0,TLE01022019,71,1766045.77,0.0,2.060215,TRYTALP00028,10172604.0,31166859.03,15127963.0
44,29654215.4,2019-02-14T10:14:58,100000000000.0,2019-02-04,TLE,100000000000.0,TLE04022019,70,1758604.16,0.0,2.055602,TRYTALP00028,10244143.0,31094405.83,15126663.0
