,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,3926003.14,2018-12-13T10:14:57,100000000.0,2018-12-03,TLH,100000000.0,TLH03122018,47,858.31,0.0,1.330026,TRYTALP00010,9032361.0,3909236.6,2939219.0
1,3894776.65,2018-12-14T10:14:56,100000000.0,2018-12-04,TLH,100000000.0,TLH04122018,47,490.81,0.0,1.319166,TRYTALP00010,9057910.0,3877318.97,2939219.0
2,3822548.02,2018-12-15T10:14:55,100000000.0,2018-12-05,TLH,100000000.0,TLH05122018,47,490.81,0.0,1.294427,TRYTALP00010,9082438.0,3795802.52,2932419.0
3,3676015.71,2018-12-16T10:14:54,100000000.0,2018-12-06,TLH,100000000.0,TLH06122018,47,637.43,0.0,1.305434,TRYTALP00010,9090614.0,3827686.72,2932119.0
4,3636463.23,2018-12-17T10:14:59,100000000.0,2018-12-07,TLH,100000000.0,TLH07122018,46,249.1,0.0,1.291884,TRYTALP00010,9098790.0,3787958.83,2932119.0
5,3599921.65,2018-12-20T10:14:57,100000000.0,2018-12-10,TLH,100000000.0,TLH10122018,46,1015.33,0.0,1.303457,TRYTALP00010,9170330.0,3821889.59,2932119.0
6,3686287.07,2018-12-21T10:14:56,100000000.0,2018-12-11,TLH,100000000.0,TLH11122018,46,51.33,0.0,1.292144,TRYTALP00010,9194858.0,3788721.25,2932119.0
7,3893862.61,2018-12-22T10:14:55,100000000.0,2018-12-12,TLH,100000000.0,TLH12122018,46,1528.19,0.0,1.284432,TRYTALP00010,9219386.0,3766106.64,2932119.0
8,3364765.92,2018-12-23T10:14:54,100000000.0,2018-12-13,TLH,100000000.0,TLH13122018,46,1220.8,0.0,1.242182,TRYTALP00010,9227562.0,3635258.5,2926510.0
9,3358432.43,2018-12-24T10:14:53,100000000.0,2018-12-14,TLH,100000000.0,TLH14122018,46,1016.42,0.0,1.254782,TRYTALP00010,9235739.0,3367206.35,2683500.0
10,3127887.05,2018-12-27T10:14:57,100000000.0,2018-12-17,TLH,100000000.0,TLH17122018,46,1049.09,0.0,1.229903,TRYTALP00010,9307278.0,3072420.2,2498100.0
11,2892020.4,2018-12-28T10:14:59,100000000.0,2018-12-18,TLH,100000000.0,TLH18122018,45,1855.48,0.0,1.215441,TRYTALP00010,9332725.0,3036293.32,2498100.0
12,3062901.26,2018-12-29T10:14:58,100000000.0,2018-12-19,TLH,100000000.0,TLH19122018,45,1022.89,0.0,1.228302,TRYTALP00010,9357253.0,3068420.86,2498100.0
13,3132376.04,2018-12-30T10:14:58,100000000.0,2018-12-20,TLH,100000000.0,TLH20122018,45,1022.89,0.0,1.256006,TRYTALP00010,9365428.0,3137627.77,2498100.0
14,3148233.61,2018-12-31T10:15:00,100000000.0,2018-12-21,TLH,100000000.0,TLH21122018,45,1532.22,0.0,1.255441,TRYTALP00010,9373604.0,3136217.58,2498100.0
