,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,4435995.63,2018-12-13T10:14:57,200000000.0,2018-12-03,TMC,20000000000.0,TMC03122018,911,2926.69,602533.02,0.021031,TRYTISB00075,9032362.0,4499353.44,213938429.0
1,4336996.16,2018-12-14T10:14:56,200000000.0,2018-12-04,TMC,20000000000.0,TMC04122018,906,2098.3,602963.18,0.02104,TRYTISB00075,9057911.0,4399095.89,209078429.0
2,4393584.85,2018-12-15T10:14:55,200000000.0,2018-12-05,TMC,20000000000.0,TMC05122018,903,2733.25,603382.36,0.020963,TRYTISB00075,9082439.0,4378042.48,208844429.0
3,4406077.22,2018-12-16T10:14:54,200000000.0,2018-12-06,TMC,20000000000.0,TMC06122018,908,2883.3,603784.87,0.020878,TRYTISB00075,9090615.0,4390446.43,210286429.0
4,4367420.6,2018-12-17T10:14:59,200000000.0,2018-12-07,TMC,20000000000.0,TMC07122018,908,2844.43,604177.17,0.020793,TRYTISB00075,9098791.0,4364313.38,209888429.0
5,4382716.4,2018-12-20T10:14:57,200000000.0,2018-12-10,TMC,20000000000.0,TMC10122018,913,2253.49,754562.08,0.020819,TRYTISB00075,9170331.0,4377729.3,210280429.0
6,4367250.18,2018-12-21T10:14:56,200000000.0,2018-12-11,TMC,20000000000.0,TMC11122018,908,2191.02,755083.75,0.020754,TRYTISB00075,9194859.0,4361074.06,210130429.0
7,4374099.66,2018-12-22T10:14:55,200000000.0,2018-12-12,TMC,20000000000.0,TMC12122018,905,2748.9,755599.42,0.020733,TRYTISB00075,9219387.0,4368054.54,210685429.0
8,4390517.4,2018-12-23T10:14:54,200000000.0,2018-12-13,TMC,20000000000.0,TMC13122018,912,2217.97,553959.18,0.020572,TRYTISB00075,9227563.0,4326399.23,210300429.0
9,4406759.59,2018-12-24T10:14:53,200000000.0,2018-12-14,TMC,20000000000.0,TMC14122018,912,2005.18,554315.3,0.020653,TRYTISB00075,9235740.0,4342004.1,210236429.0
10,4025173.36,2018-12-27T10:14:57,200000000.0,2018-12-17,TMC,20000000000.0,TMC17122018,908,2937.29,555399.77,0.020562,TRYTISB00075,9307279.0,4017995.63,195405429.0
11,4017769.09,2018-12-28T10:14:59,200000000.0,2018-12-18,TMC,20000000000.0,TMC18122018,904,2027.45,203272.74,0.020551,TRYTISB00075,9332726.0,4009298.44,195088429.0
12,4029340.92,2018-12-29T10:14:58,200000000.0,2018-12-19,TMC,20000000000.0,TMC19122018,906,2415.11,203404.64,0.020646,TRYTISB00075,9357254.0,4022065.74,194809429.0
13,4074211.64,2018-12-30T10:14:58,200000000.0,2018-12-20,TMC,20000000000.0,TMC20122018,909,2132.27,203539.11,0.020817,TRYTISB00075,9365429.0,4055930.09,194838429.0
14,4031112.23,2018-12-31T10:15:00,200000000.0,2018-12-21,TMC,20000000000.0,TMC21122018,903,2987.12,203681.11,0.02092,TRYTISB00075,9373605.0,4014494.04,191895429.0
15,4039035.94,2019-01-03T10:14:57,200000000.0,2018-12-24,TMC,20000000000.0,TMC24122018,896,6266.37,204073.38,0.020969,TRYTISB00075,9425727.0,4010893.19,191279429.0
16,4362737.6,2019-01-04T10:14:57,200000000.0,2018-12-25,TMC,20000000000.0,TMC25122018,895,2177.28,404334.38,0.020947,TRYTISB00075,9450255.0,4330076.5,206717429.0
