,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,133526301.22,2018-12-13T10:14:57,120000.0,2018-12-03,TOT,12000000.0,TOT03122018,1554,13399.99,10064800.54,130.595485,TRMDPFWWWWW9,9032367.0,133317094.77,1020840
1,133818756.29,2018-12-14T10:14:56,120000.0,2018-12-04,TOT,12000000.0,TOT04122018,1553,14224.54,18281777.52,130.689857,TRMDPFWWWWW9,9057916.0,133603457.17,1022294
2,133773480.66,2018-12-15T10:14:55,120000.0,2018-12-05,TOT,12000000.0,TOT05122018,1545,9417.45,10958460.85,131.000047,TRMDPFWWWWW9,9082444.0,133546818.74,1019441
3,133742314.22,2018-12-16T10:14:54,120000.0,2018-12-06,TOT,12000000.0,TOT06122018,1544,14014.9,18366567.38,131.187782,TRMDPFWWWWW9,9090620.0,133724166.68,1019334
4,133651101.68,2018-12-17T10:14:59,120000.0,2018-12-07,TOT,12000000.0,TOT07122018,1540,11220.16,18382409.38,131.087364,TRMDPFWWWWW9,9098796.0,133607125.3,1019222
5,134254846.79,2018-12-20T10:14:57,120000.0,2018-12-10,TOT,12000000.0,TOT10122018,1539,23436.75,20300906.63,131.517836,TRMDPFWWWWW9,9170336.0,134202772.75,1020415
6,134606959.03,2018-12-21T10:14:56,120000.0,2018-12-11,TOT,12000000.0,TOT11122018,1540,8847.6,20517514.1,131.986961,TRMDPFWWWWW9,9194864.0,134533517.51,1019294
7,135787019.21,2018-12-22T10:14:55,120000.0,2018-12-12,TOT,12000000.0,TOT12122018,1538,17229.86,21879393.05,132.024009,TRMDPFWWWWW9,9219392.0,135715136.35,1027958
8,135480967.86,2018-12-23T10:14:54,120000.0,2018-12-13,TOT,12000000.0,TOT13122018,1542,13305.2,18212720.0,132.118856,TRMDPFWWWWW9,9227568.0,136210973.78,1030973
9,135076016.03,2018-12-24T10:14:53,120000.0,2018-12-14,TOT,12000000.0,TOT14122018,1539,26289.19,18541730.69,132.10031,TRMDPFWWWWW9,9235745.0,135814706.59,1028118
10,136613196.33,2018-12-27T10:14:57,120000.0,2018-12-17,TOT,12000000.0,TOT17122018,1536,14365.5,18481393.24,132.395173,TRMDPFWWWWW9,9307284.0,136507366.89,1031060
11,137179451.09,2018-12-28T10:14:59,120000.0,2018-12-18,TOT,12000000.0,TOT18122018,1539,18253.42,20976765.04,132.48857,TRMDPFWWWWW9,9332731.0,137070554.22,1034584
12,136917347.25,2018-12-29T10:14:58,120000.0,2018-12-19,TOT,12000000.0,TOT19122018,1534,16051.66,24016437.42,132.361474,TRMDPFWWWWW9,9357259.0,136799553.91,1033530
13,136360920.83,2018-12-30T10:14:58,120000.0,2018-12-20,TOT,12000000.0,TOT20122018,1532,20597.95,23369861.99,132.456414,TRMDPFWWWWW9,9365434.0,136240693.35,1028570
14,135997840.61,2018-12-31T10:15:00,120000.0,2018-12-21,TOT,12000000.0,TOT21122018,1530,30963.68,18974969.2,132.322809,TRMDPFWWWWW9,9373610.0,135881101.43,1026891
15,135648051.76,2019-01-03T10:14:57,120000.0,2018-12-24,TOT,12000000.0,TOT24122018,1527,14646.76,19275962.49,132.122729,TRMDPFWWWWW9,9425732.0,135494104.21,1025517
16,135315414.32,2019-01-04T10:14:57,120000.0,2018-12-25,TOT,12000000.0,TOT25122018,1518,23561.44,6844083.23,132.216721,TRMDPFWWWWW9,9450260.0,135163699.83,1022289
17,134584847.34,2019-01-05T10:14:56,120000.0,2018-12-26,TOT,12000000.0,TOT26122018,1515,13057.14,6127436.5,132.316276,TRMDPFWWWWW9,9473766.0,134415737.92,1015867
18,134409454.12,2019-01-06T10:14:55,120000.0,2018-12-27,TOT,12000000.0,TOT27122018,1513,22585.42,17298211.09,132.398929,TRMDPFWWWWW9,9480920.0,134242716.41,1013926
19,135075786.79,2019-01-07T10:15:00,120000.0,2018-12-28,TOT,12000000.0,TOT28122018,1510,22175.21,17309724.1,132.588271,TRMDPFWWWWW9,9488075.0,134427005.21,1013868
20,134492070.62,2019-01-10T10:14:57,120000.0,2018-12-31,TOT,12000000.0,TOT31122018,1508,26452.84,11298082.58,132.518424,TRMDPFWWWWW9,9556549.0,134301724.48,1013457
21,131853645.91,2019-01-12T10:14:58,120000.0,2019-01-02,TOT,12000000.0,TOT02012019,1505,9466.82,7071491.62,132.606903,TRMDPFWWWWW9,9604479.0,131626408.03,992606
22,131930892.98,2019-01-13T10:14:57,120000.0,2019-01-03,TOT,12000000.0,TOT03012019,1506,22381.43,14216635.04,132.693084,TRMDPFWWWWW9,9612655.0,131709695.16,992589
