,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,3775330.8,2018-12-13T10:14:57,500000000.0,2018-12-03,TPC,500000000.0,TPC03122018,22,4648.49,183350.46,1.081115,TRYTEBP00062,9032369.0,3773885.51,3490735.0
1,3780086.73,2018-12-14T10:14:56,500000000.0,2018-12-04,TPC,500000000.0,TPC04122018,22,4991.22,183116.82,1.082547,TRYTEBP00062,9057918.0,3778885.6,3490735.0
2,3777094.5,2018-12-15T10:14:55,500000000.0,2018-12-05,TPC,500000000.0,TPC05122018,22,5323.48,183117.82,1.081694,TRYTEBP00062,9082446.0,3775948.48,3490774.0
3,3783540.14,2018-12-16T10:14:54,500000000.0,2018-12-06,TPC,500000000.0,TPC06122018,22,3664.8,183116.32,1.083544,TRYTEBP00062,9090622.0,3782407.9,3490774.0
4,3768584.66,2018-12-17T10:14:59,500000000.0,2018-12-07,TPC,500000000.0,TPC07122018,21,6449.6,180113.67,1.080123,TRYTEBP00062,9098798.0,3770415.14,3490728.0
5,3779098.76,2018-12-20T10:14:57,500000000.0,2018-12-10,TPC,500000000.0,TPC10122018,21,6557.97,180348.41,1.083083,TRYTEBP00062,9170338.0,3779069.86,3489180.0
6,3764717.95,2018-12-21T10:14:56,500000000.0,2018-12-11,TPC,500000000.0,TPC11122018,20,6848.9,180115.64,1.07903,TRYTEBP00062,9194866.0,3764931.45,3489180.0
7,3768432.83,2018-12-22T10:14:55,500000000.0,2018-12-12,TPC,500000000.0,TPC12122018,19,5248.39,180115.64,1.080099,TRYTEBP00062,9219394.0,3768658.23,3489180.0
8,3760319.29,2018-12-23T10:14:54,500000000.0,2018-12-13,TPC,500000000.0,TPC13122018,19,4763.99,180114.9,1.077777,TRYTEBP00062,9227570.0,3760556.71,3489180.0
9,3773554.21,2018-12-24T10:14:53,500000000.0,2018-12-14,TPC,500000000.0,TPC14122018,20,4866.41,180113.67,1.081573,TRYTEBP00062,9235747.0,3773838.29,3489213.0
10,3767318.98,2018-12-27T10:14:57,500000000.0,2018-12-17,TPC,500000000.0,TPC17122018,20,4974.78,180339.53,1.079732,TRYTEBP00062,9307286.0,3767416.22,3489213.0
11,3764548.32,2018-12-28T10:14:59,500000000.0,2018-12-18,TPC,500000000.0,TPC18122018,20,5306.75,180114.9,1.079005,TRYTEBP00062,9332733.0,3764879.16,3489213.0
12,3769716.59,2018-12-29T10:14:58,500000000.0,2018-12-19,TPC,500000000.0,TPC19122018,20,5416.34,180115.4,1.08049,TRYTEBP00062,9357261.0,3770058.58,3489213.0
13,3781899.64,2018-12-30T10:14:58,500000000.0,2018-12-20,TPC,500000000.0,TPC20122018,20,5524.97,180113.42,1.083871,TRYTEBP00062,9365436.0,3781856.65,3489213.0
14,3775465.81,2018-12-31T10:15:00,500000000.0,2018-12-21,TPC,500000000.0,TPC21122018,20,5633.1,180115.4,1.081917,TRYTEBP00062,9373612.0,3775037.43,3489213.0
15,3776745.0,2019-01-03T10:14:57,500000000.0,2018-12-24,TPC,500000000.0,TPC24122018,20,5743.19,180345.45,1.08189,TRYTEBP00062,9425734.0,3774946.16,3489213.0
16,3775218.34,2019-01-04T10:14:57,500000000.0,2018-12-25,TPC,500000000.0,TPC25122018,20,6081.03,180114.66,1.081408,TRYTEBP00062,9450262.0,3773263.85,3489213.0
17,3772067.94,2019-01-05T10:14:56,500000000.0,2018-12-26,TPC,500000000.0,TPC26122018,20,6190.38,180117.12,1.080395,TRYTEBP00062,9473768.0,3769729.36,3489213.0
18,3770565.58,2019-01-06T10:14:55,500000000.0,2018-12-27,TPC,500000000.0,TPC27122018,20,6302.17,180117.62,1.079855,TRYTEBP00062,9480922.0,3767845.38,3489213.0
19,3771925.9,2019-01-07T10:15:00,500000000.0,2018-12-28,TPC,500000000.0,TPC28122018,20,6414.45,180111.7,1.080136,TRYTEBP00062,9488077.0,3768824.56,3489213.0
20,3771439.34,2019-01-10T10:14:57,500000000.0,2018-12-31,TPC,500000000.0,TPC31122018,20,6520.87,180346.19,1.079603,TRYTEBP00062,9556551.0,3766928.58,3489180.0
21,3783102.56,2019-01-12T10:14:58,500000000.0,2019-01-02,TPC,500000000.0,TPC02012019,21,5719.6,183241.66,1.081898,TRYTEBP00062,9604481.0,3776801.54,3490903.0
22,2293554.48,2019-01-13T10:14:57,500000000.0,2019-01-03,TPC,500000000.0,TPC03012019,20,1488952.52,183120.08,1.080117,TRYTEBP00062,9612657.0,3765619.62,3486306.0
23,2040584.69,2019-01-14T10:14:59,500000000.0,2019-01-04,TPC,500000000.0,TPC04012019,20,1749262.63,185119.11,1.082189,TRYTEBP00062,9620833.0,3772842.09,3486305.0
24,3786894.74,2019-01-17T10:14:57,500000000.0,2019-01-07,TPC,500000000.0,TPC07012019,18,7553.36,188361.58,1.08487,TRYTEBP00062,9692373.0,3782188.18,3486305.0
25,3788295.59,2019-01-18T10:14:56,500000000.0,2019-01-08,TPC,500000000.0,TPC08012019,18,6910.46,190122.33,1.085485,TRYTEBP00062,9717923.0,3784430.27,3486397.0
26,3794277.0,2019-01-19T10:14:55,500000000.0,2019-01-09,TPC,500000000.0,TPC09012019,18,4027.18,193124.79,1.086339,TRYTEBP00062,9742451.0,3787409.48,3486397.0
27,3801298.82,2019-01-20T10:14:54,500000000.0,2019-01-10,TPC,500000000.0,TPC10012019,18,4098.26,193124.52,1.088353,TRYTEBP00062,9750628.0,3794431.43,3486397.0
28,3802845.35,2019-01-21T10:14:59,500000000.0,2019-01-11,TPC,500000000.0,TPC11012019,18,4217.07,193125.32,1.088797,TRYTEBP00062,9758804.0,3795977.8,3486397.0
29,3810369.05,2019-01-24T10:14:57,500000000.0,2019-01-14,TPC,500000000.0,TPC14012019,18,4299.13,193375.95,1.090887,TRYTEBP00062,9830344.0,3803263.87,3486397.0
30,3812757.54,2019-01-25T10:14:56,500000000.0,2019-01-15,TPC,500000000.0,TPC15012019,19,4166.49,194126.5,1.091356,TRYTEBP00062,9855894.0,3805400.59,3486855.0
31,3824084.06,2019-01-26T10:14:55,500000000.0,2019-01-16,TPC,500000000.0,TPC16012019,19,4098.4,194128.36,1.094606,TRYTEBP00062,9880422.0,3815713.63,3485925.0
