,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,19762714.72,2018-12-13T10:14:57,50000000.0,2018-12-03,TPF,500000000.0,TPF03122018,130,1094.89,1325566.26,1.362554,TRYTACP00019,9032371.0,13011312.39,9549212.0
1,19747164.12,2018-12-14T10:14:56,50000000.0,2018-12-04,TPF,500000000.0,TPF04122018,128,1934.55,1304832.52,1.363112,TRYTACP00019,9057920.0,12995947.64,9534031.0
2,18622181.18,2018-12-15T10:14:55,50000000.0,2018-12-05,TPF,500000000.0,TPF05122018,128,1809.78,159094.75,1.36374,TRYTACP00019,9082448.0,13000575.33,9533031.0
3,18599555.33,2018-12-16T10:14:54,50000000.0,2018-12-06,TPF,500000000.0,TPF06122018,127,1786.12,563350.14,1.364314,TRYTACP00019,9090624.0,12977261.99,9511932.0
4,18589344.32,2018-12-17T10:14:59,50000000.0,2018-12-07,TPF,500000000.0,TPF07122018,126,1522.58,547356.67,1.364889,TRYTACP00019,9098800.0,12981368.35,9510932.0
5,19005281.29,2018-12-20T10:14:57,50000000.0,2018-12-10,TPF,500000000.0,TPF10122018,126,1033.45,539063.47,1.366638,TRYTACP00019,9170340.0,12988156.09,9503731.0
6,18723454.85,2018-12-21T10:14:56,50000000.0,2018-12-11,TPF,500000000.0,TPF11122018,126,1508.92,251164.7,1.379834,TRYTACP00019,9194868.0,13112861.24,9503218.0
7,18742052.17,2018-12-22T10:14:55,50000000.0,2018-12-12,TPF,500000000.0,TPF12122018,125,1737.4,249155.2,1.380454,TRYTACP00019,9219396.0,13116571.36,9501634.0
8,18743099.7,2018-12-23T10:14:54,50000000.0,2018-12-13,TPF,500000000.0,TPF13122018,124,1399.6,244150.75,1.381037,TRYTACP00019,9227572.0,13116943.14,9497891.0
9,18744294.35,2018-12-24T10:14:53,50000000.0,2018-12-14,TPF,500000000.0,TPF14122018,123,1498.34,244153.42,1.381105,TRYTACP00019,9235749.0,13117580.28,9497887.0
10,18755396.55,2018-12-27T10:14:57,50000000.0,2018-12-17,TPF,500000000.0,TPF17122018,122,8248.78,247483.17,1.38287,TRYTACP00019,9307288.0,13133462.38,9497252.0
11,18751244.1,2018-12-28T10:14:59,50000000.0,2018-12-18,TPF,500000000.0,TPF18122018,122,18513.88,254165.62,1.383459,TRYTACP00019,9332735.0,13138917.82,9497152.0
12,18636240.69,2018-12-29T10:14:58,50000000.0,2018-12-19,TPF,500000000.0,TPF19122018,122,782.83,119074.99,1.38409,TRYTACP00019,9357263.0,13144915.28,9497152.0
13,18641444.54,2018-12-30T10:14:58,50000000.0,2018-12-20,TPF,500000000.0,TPF20122018,122,1854.07,118075.49,1.384682,TRYTACP00019,9365438.0,13150533.26,9497152.0
14,18645682.71,2018-12-31T10:15:00,50000000.0,2018-12-21,TPF,500000000.0,TPF21122018,121,2924.46,117073.89,1.385172,TRYTACP00019,9373614.0,13155184.54,9497151.0
15,18635767.31,2019-01-03T10:14:57,50000000.0,2018-12-24,TPF,500000000.0,TPF24122018,119,1481.58,112214.49,1.384454,TRYTACP00019,9425736.0,13141855.94,9492449.0
16,18633765.35,2019-01-04T10:14:57,50000000.0,2018-12-25,TPF,500000000.0,TPF25122018,119,1247.37,104066.39,1.385039,TRYTACP00019,9450264.0,13138963.3,9486349.0
17,15649054.22,2019-01-05T10:14:56,50000000.0,2018-12-26,TPF,500000000.0,TPF26122018,118,1218.05,115077.51,1.385625,TRYTACP00019,9473770.0,13129661.86,9475621.0
18,15548215.57,2019-01-06T10:14:55,50000000.0,2018-12-27,TPF,500000000.0,TPF27122018,116,1855.16,8004.43,1.386221,TRYTACP00019,9480924.0,13028817.83,9398806.0
19,15568462.98,2019-01-07T10:15:00,50000000.0,2018-12-28,TPF,500000000.0,TPF28122018,116,1714.62,22013.41,1.386816,TRYTACP00019,9488079.0,13048277.69,9408801.0
20,15877983.11,2019-01-10T10:14:57,50000000.0,2018-12-31,TPF,500000000.0,TPF31122018,116,3226.88,308621.48,1.419663,TRYTACP00019,9556553.0,13357327.52,9408801.0
21,15873945.73,2019-01-12T10:14:58,50000000.0,2019-01-02,TPF,500000000.0,TPF02012019,116,2644.4,295400.88,1.420489,TRYTACP00019,9604483.0,13350889.73,9398801.0
22,15866966.19,2019-01-13T10:14:57,50000000.0,2019-01-03,TPF,500000000.0,TPF03012019,116,2139.35,282173.84,1.421102,TRYTACP00019,9612659.0,13342756.5,9389018.0
23,15879229.66,2019-01-14T10:14:59,50000000.0,2019-01-04,TPF,500000000.0,TPF04012019,119,2227.46,288185.82,1.421718,TRYTACP00019,9620835.0,13354458.18,9393186.0
24,15900370.57,2019-01-17T10:14:57,50000000.0,2019-01-07,TPF,500000000.0,TPF07012019,120,3406.88,290548.22,1.423566,TRYTACP00019,9692375.0,13374827.05,9395298.0
25,15893343.93,2019-01-18T10:14:56,50000000.0,2019-01-08,TPF,500000000.0,TPF08012019,120,3930.74,277179.86,1.42419,TRYTACP00019,9717925.0,13380689.25,9395298.0
26,15896249.64,2019-01-19T10:14:55,50000000.0,2019-01-09,TPF,500000000.0,TPF09012019,120,3064.62,272177.73,1.42498,TRYTACP00019,9742453.0,13386259.69,9393995.0
27,15789815.1,2019-01-20T10:14:54,50000000.0,2019-01-10,TPF,500000000.0,TPF10012019,119,1985.26,161104.32,1.42542,TRYTACP00019,9750630.0,13278102.39,9315223.0
28,18093123.17,2019-01-21T10:14:59,50000000.0,2019-01-11,TPF,500000000.0,TPF11012019,118,2054.85,28017.84,1.606161,TRYTACP00019,9758806.0,14344159.41,8930709.0
29,18045989.54,2019-01-24T10:14:57,50000000.0,2019-01-14,TPF,500000000.0,TPF14012019,117,2011.12,490972.62,1.6012,TRYTACP00019,9830346.0,14294906.89,8927619.0
30,16797654.41,2019-01-25T10:14:56,50000000.0,2019-01-15,TPF,500000000.0,TPF15012019,114,1605.74,487324.89,1.602284,TRYTACP00019,9855896.0,14283002.74,8914150.0
31,16347479.05,2019-01-26T10:14:55,50000000.0,2019-01-16,TPF,500000000.0,TPF16012019,113,2635.58,140090.71,1.586341,TRYTACP00019,9880424.0,11920809.32,7514658.0
32,16363528.75,2019-01-27T10:14:57,50000000.0,2019-01-17,TPF,500000000.0,TPF17012019,117,2383.3,149098.38,1.58721,TRYTACP00019,9888497.0,11936004.14,7520118.0
33,15766406.69,2019-01-28T10:14:59,50000000.0,2019-01-18,TPF,500000000.0,TPF18012019,114,2341.91,51032.49,1.588385,TRYTACP00019,9896673.0,11338263.27,7138235.0
34,15714753.83,2019-01-31T10:14:57,50000000.0,2019-01-21,TPF,500000000.0,TPF21012019,116,2289.72,13025.54,1.591888,TRYTACP00019,9968213.0,11284823.75,7088958.0
35,15723614.71,2019-02-01T10:14:56,50000000.0,2019-01-22,TPF,500000000.0,TPF22012019,117,2333.95,13008.6,1.593059,TRYTACP00019,9993763.0,11293149.99,7088970.0
36,16055701.96,2019-02-02T10:14:55,50000000.0,2019-01-23,TPF,500000000.0,TPF23012019,121,1990.97,319208.01,1.594322,TRYTACP00019,10018291.0,11607369.23,7280444.0
