,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,9446447.86,2018-12-13T10:14:57,500000000.0,2018-12-03,TPL,500000000.0,TPL03122018,106,569813.74,255488.34,1.579658,TRYTEBP00054,9032372.0,9993631.93,6326453.0
1,9555605.33,2018-12-14T10:14:56,500000000.0,2018-12-04,TPL,500000000.0,TPL04122018,107,574963.41,255163.13,1.597497,TRYTEBP00054,9057921.0,10107499.85,6327086.0
2,9703807.42,2018-12-15T10:14:55,500000000.0,2018-12-05,TPL,500000000.0,TPL05122018,108,584072.07,255164.18,1.622286,TRYTEBP00054,9082449.0,10264361.05,6327098.0
3,9867194.08,2018-12-16T10:14:54,500000000.0,2018-12-06,TPL,500000000.0,TPL06122018,108,594431.63,245156.06,1.651388,TRYTEBP00054,9090625.0,10448491.74,6327098.0
4,9830886.56,2018-12-17T10:14:59,500000000.0,2018-12-07,TPL,500000000.0,TPL07122018,109,592815.97,245156.06,1.645386,TRYTEBP00054,9098801.0,10410526.92,6327104.0
5,9796735.9,2018-12-20T10:14:57,500000000.0,2018-12-10,TPL,500000000.0,TPL10122018,109,589122.58,250483.9,1.638406,TRYTEBP00054,9170341.0,10371300.81,6330117.0
6,9746553.91,2018-12-21T10:14:56,500000000.0,2018-12-11,TPL,500000000.0,TPL11122018,109,585038.23,250162.33,1.6297,TRYTEBP00054,9194869.0,10302940.42,6321987.0
7,9913971.97,2018-12-22T10:14:55,500000000.0,2018-12-12,TPL,500000000.0,TPL12122018,109,592750.09,250160.27,1.65734,TRYTEBP00054,9219397.0,10476304.23,6321157.0
8,9940081.09,2018-12-23T10:14:54,500000000.0,2018-12-13,TPL,500000000.0,TPL13122018,108,593666.06,250159.59,1.661644,TRYTEBP00054,9227573.0,10503511.95,6321157.0
9,9966998.8,2018-12-24T10:14:53,500000000.0,2018-12-14,TPL,500000000.0,TPL14122018,107,588994.79,240153.86,1.667399,TRYTEBP00054,9235750.0,10538881.92,6320552.0
10,10005738.94,2018-12-27T10:14:57,500000000.0,2018-12-17,TPL,500000000.0,TPL17122018,106,593872.57,235446.18,1.674297,TRYTEBP00054,9307289.0,10582484.58,6320553.0
11,10024306.4,2018-12-28T10:14:59,500000000.0,2018-12-18,TPL,500000000.0,TPL18122018,106,594920.89,235150.66,1.677328,TRYTEBP00054,9332736.0,10601643.67,6320553.0
12,10004194.57,2018-12-29T10:14:58,500000000.0,2018-12-19,TPL,500000000.0,TPL19122018,106,589935.29,238152.25,1.67317,TRYTEBP00054,9357264.0,10576592.46,6321290.0
13,10013459.14,2018-12-30T10:14:58,500000000.0,2018-12-20,TPL,500000000.0,TPL20122018,106,586004.06,240151.56,1.673918,TRYTEBP00054,9365439.0,10581323.49,6321290.0
14,10029155.11,2018-12-31T10:15:00,500000000.0,2018-12-21,TPL,500000000.0,TPL21122018,106,580345.18,238152.25,1.675411,TRYTEBP00054,9373615.0,10590758.01,6321290.0
15,10028101.51,2019-01-03T10:14:57,500000000.0,2018-12-24,TPL,500000000.0,TPL24122018,107,581303.51,240461.59,1.674917,TRYTEBP00054,9425737.0,10589358.21,6322317.0
16,9048947.14,2019-01-04T10:14:57,500000000.0,2018-12-25,TPL,500000000.0,TPL25122018,107,582221.08,245156.06,1.68231,TRYTEBP00054,9450265.0,10639611.21,6324406.0
17,9077523.51,2019-01-05T10:14:56,500000000.0,2018-12-26,TPL,500000000.0,TPL26122018,109,585146.42,255164.53,1.685948,TRYTEBP00054,9473771.0,9929762.66,5889721.0
18,9081633.14,2019-01-06T10:14:55,500000000.0,2018-12-27,TPL,500000000.0,TPL27122018,111,582735.74,295198.42,1.678687,TRYTEBP00054,9480925.0,9813588.19,5845989.0
19,9109227.27,2019-01-07T10:15:00,500000000.0,2018-12-28,TPL,500000000.0,TPL28122018,112,1610519.48,300193.97,1.682781,TRYTEBP00054,9488080.0,9841124.64,5848132.0
20,9371059.37,2019-01-10T10:14:57,500000000.0,2018-12-31,TPL,500000000.0,TPL31122018,109,557649.01,601136.71,1.674249,TRYTEBP00054,9556554.0,9791210.19,5848122.0
21,9302632.83,2019-01-12T10:14:58,500000000.0,2019-01-02,TPL,500000000.0,TPL02012019,108,552475.6,495646.89,1.680787,TRYTEBP00054,9604484.0,9829444.59,5848122.0
22,9356556.69,2019-01-13T10:14:57,500000000.0,2019-01-03,TPL,500000000.0,TPL03012019,109,559064.36,495323.45,1.690931,TRYTEBP00054,9612660.0,9889484.25,5848545.0
23,9554413.75,2019-01-14T10:14:59,500000000.0,2019-01-04,TPL,500000000.0,TPL04012019,109,570548.94,500323.29,1.726122,TRYTEBP00054,9620836.0,10098362.26,5850318.0
