,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,2786643.08,2018-12-13T10:14:57,50000000.0,2018-12-03,TPV,50000000.0,TPV03122018,19,564.23,1863929.39,1.405552,TRYTROY00028,9032376.0,2754473.89,1959710
1,2836093.17,2018-12-14T10:14:56,50000000.0,2018-12-04,TPV,50000000.0,TPV04122018,19,1570.43,1927253.22,1.408552,TRYTROY00028,9057925.0,2760354.03,1959710
2,2730227.93,2018-12-15T10:14:55,50000000.0,2018-12-05,TPV,50000000.0,TPV05122018,19,777.66,1841144.33,1.405548,TRYTROY00028,9082453.0,2754465.98,1959710
3,3039402.6,2018-12-16T10:14:54,50000000.0,2018-12-06,TPV,50000000.0,TPV06122018,19,406.28,2105356.24,1.408088,TRYTROY00028,9090629.0,3009896.14,2137576
4,3008728.44,2018-12-17T10:14:59,50000000.0,2018-12-07,TPV,50000000.0,TPV07122018,19,785.91,2119375.04,1.40669,TRYTROY00028,9098805.0,3006906.74,2137576
5,2945374.16,2018-12-20T10:14:57,50000000.0,2018-12-10,TPV,50000000.0,TPV10122018,19,613.3,2083072.07,1.40854,TRYTROY00028,9170345.0,3010262.21,2137150
6,2978763.34,2018-12-21T10:14:56,50000000.0,2018-12-11,TPV,50000000.0,TPV11122018,19,1051.69,2123377.85,1.406163,TRYTROY00028,9194873.0,3005180.65,2137150
7,3004072.2,2018-12-22T10:14:55,50000000.0,2018-12-12,TPV,50000000.0,TPV12122018,19,1047.93,2152393.73,1.404055,TRYTROY00028,9219401.0,3000675.88,2137150
8,3078145.05,2018-12-23T10:14:54,50000000.0,2018-12-13,TPV,50000000.0,TPV13122018,19,645.4,2155400.09,1.399086,TRYTROY00028,9227577.0,2990056.58,2137150
9,3188720.86,2018-12-24T10:14:53,50000000.0,2018-12-14,TPV,50000000.0,TPV14122018,19,464.97,2305119.37,1.401786,TRYTROY00028,9235754.0,3146114.52,2244362
10,3111992.82,2018-12-27T10:14:57,50000000.0,2018-12-17,TPV,50000000.0,TPV17122018,19,510.29,2226602.19,1.39939,TRYTROY00028,9307293.0,3140738.66,2244362
11,3279150.57,2018-12-28T10:14:59,50000000.0,2018-12-18,TPV,50000000.0,TPV18122018,19,856.68,2421812.54,1.395659,TRYTROY00028,9332740.0,3281963.49,2351551
12,3299497.01,2018-12-29T10:14:58,50000000.0,2018-12-19,TPV,50000000.0,TPV19122018,19,947.7,2412542.38,1.39925,TRYTROY00028,9357268.0,3290407.83,2351551
13,3453787.68,2018-12-30T10:14:58,50000000.0,2018-12-20,TPV,50000000.0,TPV20122018,19,465.88,2432558.5,1.405575,TRYTROY00028,9365443.0,3305281.69,2351551
14,3356881.73,2018-12-31T10:15:00,50000000.0,2018-12-21,TPV,50000000.0,TPV21122018,19,581.1,2411541.74,1.404336,TRYTROY00028,9373619.0,3302366.6,2351551
15,3310846.37,2019-01-03T10:14:57,50000000.0,2018-12-24,TPV,50000000.0,TPV24122018,19,1421.66,2444682.79,1.40749,TRYTROY00028,9425741.0,3303774.57,2347281
16,3347166.23,2019-01-04T10:14:57,50000000.0,2018-12-25,TPV,50000000.0,TPV25122018,19,800.05,2512609.79,1.407883,TRYTROY00028,9450269.0,3304697.86,2347281
17,3264819.7,2019-01-05T10:14:56,50000000.0,2018-12-26,TPV,50000000.0,TPV26122018,19,1140.59,2446577.53,1.405599,TRYTROY00028,9473775.0,3299336.68,2347281
18,3153370.32,2019-01-06T10:14:55,50000000.0,2018-12-27,TPV,50000000.0,TPV27122018,19,926.13,2479683.68,1.406947,TRYTROY00028,9480929.0,3302500.32,2347281
19,3130505.84,2019-01-07T10:15:00,50000000.0,2018-12-28,TPV,50000000.0,TPV28122018,19,257.03,2491603.15,1.405562,TRYTROY00028,9488084.0,905869.15,644489
20,819725.51,2019-01-10T10:14:57,50000000.0,2018-12-31,TPV,50000000.0,TPV31122018,18,430.13,242458.47,1.406112,TRYTROY00028,9556558.0,906223.82,644489
21,838406.66,2019-01-12T10:14:58,50000000.0,2019-01-02,TPV,50000000.0,TPV02012019,18,331.27,275357.88,1.41383,TRYTROY00028,9604488.0,911197.64,644489
22,888121.09,2019-01-13T10:14:57,50000000.0,2019-01-03,TPV,50000000.0,TPV03012019,18,477.3,337219.74,1.403853,TRYTROY00028,9612664.0,904767.63,644489
23,937716.26,2019-01-14T10:14:59,50000000.0,2019-01-04,TPV,50000000.0,TPV04012019,18,732.71,356230.67,1.389311,TRYTROY00028,9620840.0,895395.55,644489
24,1948472.78,2019-01-17T10:14:57,50000000.0,2019-01-07,TPV,50000000.0,TPV07012019,19,823.51,1357622.76,1.393438,TRYTROY00028,9692380.0,1901025.26,1364270
25,2002984.77,2019-01-18T10:14:56,50000000.0,2019-01-08,TPV,50000000.0,TPV08012019,19,5053.2,1318844.96,1.401424,TRYTROY00028,9717930.0,1911920.06,1364270
26,2018976.52,2019-01-19T10:14:55,50000000.0,2019-01-09,TPV,50000000.0,TPV09012019,19,1249.58,1317849.74,1.405639,TRYTROY00028,9742458.0,1917671.22,1364270
27,1935351.01,2019-01-20T10:14:54,50000000.0,2019-01-10,TPV,50000000.0,TPV10012019,19,617.99,1080698.3,1.408151,TRYTROY00028,9750635.0,1921098.67,1364270
28,1867143.52,2019-01-21T10:14:59,50000000.0,2019-01-11,TPV,50000000.0,TPV11012019,19,425.92,380242.53,1.415458,TRYTROY00028,9758811.0,1920997.55,1357156
29,1843441.33,2019-01-24T10:14:57,50000000.0,2019-01-14,TPV,50000000.0,TPV14012019,19,1508.55,380992.61,1.41857,TRYTROY00028,9830351.0,1925220.55,1357156
30,1977759.45,2019-01-25T10:14:56,50000000.0,2019-01-15,TPV,50000000.0,TPV15012019,19,782.86,381244.58,1.429471,TRYTROY00028,9855901.0,1940014.72,1357156
31,1939939.93,2019-01-26T10:14:55,50000000.0,2019-01-16,TPV,50000000.0,TPV16012019,19,18666.7,381501.93,1.446443,TRYTROY00028,9880429.0,1963048.82,1357156
32,1937496.74,2019-01-27T10:14:57,50000000.0,2019-01-17,TPV,50000000.0,TPV17012019,19,1031.01,381749.04,1.449395,TRYTROY00028,9888502.0,1967055.37,1357156
33,2004021.92,2019-01-28T10:14:59,50000000.0,2019-01-18,TPV,50000000.0,TPV18012019,19,455.22,380239.4,1.452665,TRYTROY00028,9896678.0,1971492.96,1357156
34,2045096.77,2019-01-31T10:14:57,50000000.0,2019-01-21,TPV,50000000.0,TPV21012019,19,1186.32,358874.99,1.459931,TRYTROY00028,9968218.0,1987396.96,1361295
35,2046378.57,2019-02-01T10:14:56,50000000.0,2019-01-22,TPV,50000000.0,TPV22012019,19,787.34,359897.13,1.461569,TRYTROY00028,9993768.0,1989626.3,1361295
36,1915833.83,2019-02-02T10:14:55,50000000.0,2019-01-23,TPV,50000000.0,TPV23012019,19,696.97,271003.48,1.469002,TRYTROY00028,10018296.0,1973743.27,1343595
37,1768843.1,2019-02-03T10:14:54,50000000.0,2019-01-24,TPV,50000000.0,TPV24012019,18,1144.18,251155.48,1.468263,TRYTROY00028,10026474.0,1972750.46,1343595
38,2043026.37,2019-02-04T10:15:00,50000000.0,2019-01-25,TPV,50000000.0,TPV25012019,18,493.91,340211.45,1.483922,TRYTROY00028,10034650.0,1842266.36,1241485
39,1970347.44,2019-02-07T10:14:57,50000000.0,2019-01-28,TPV,50000000.0,TPV28012019,18,928.43,311601.98,1.486594,TRYTROY00028,10106189.0,1845583.97,1241485
40,1770528.76,2019-02-08T10:14:56,50000000.0,2019-01-29,TPV,50000000.0,TPV29012019,18,1479.95,146094.4,1.488064,TRYTROY00028,10131739.0,1847408.71,1241485
41,1829771.45,2019-02-09T10:14:55,50000000.0,2019-01-30,TPV,50000000.0,TPV30012019,18,982.69,194123.31,1.494469,TRYTROY00028,10156269.0,1855361.22,1241485
42,1869120.46,2019-02-10T10:14:54,50000000.0,2019-01-31,TPV,50000000.0,TPV31012019,18,691.4,230147.14,1.497347,TRYTROY00028,10164443.0,1858933.68,1241485
43,1806850.49,2019-02-11T10:14:53,50000000.0,2019-02-01,TPV,50000000.0,TPV01022019,18,1257.52,226144.58,1.497055,TRYTROY00028,10172619.0,1858571.39,1241485
44,1774979.83,2019-02-14T10:14:58,50000000.0,2019-02-04,TPV,50000000.0,TPV04022019,18,678.81,227435.65,1.503043,TRYTROY00028,10244158.0,1866005.7,1241485
45,1806427.09,2019-02-15T10:14:57,50000000.0,2019-02-05,TPV,50000000.0,TPV05022019,18,759.78,286182.96,1.505421,TRYTROY00028,10269708.0,1868958.15,1241485
46,1822145.18,2019-02-16T10:14:56,50000000.0,2019-02-06,TPV,50000000.0,TPV06022019,18,715.24,327206.05,1.504446,TRYTROY00028,10294236.0,1867746.68,1241485
47,1858490.56,2019-02-17T10:15:00,50000000.0,2019-02-07,TPV,50000000.0,TPV07022019,18,1119.57,352224.22,1.504965,TRYTROY00028,10302309.0,1868391.09,1241485
48,1844158.58,2019-02-18T10:14:58,50000000.0,2019-02-08,TPV,50000000.0,TPV08022019,18,441.09,327210.98,1.50459,TRYTROY00028,10310485.0,1867926.52,1241485
49,1840555.15,2019-02-21T10:14:57,50000000.0,2019-02-11,TPV,50000000.0,TPV11022019,18,918.04,316596.07,1.503827,TRYTROY00028,10382027.0,1866978.9,1241485
50,2009152.43,2019-02-22T10:14:56,50000000.0,2019-02-12,TPV,50000000.0,TPV12022019,18,607.27,356222.87,1.508448,TRYTROY00028,10407576.0,1872715.05,1241485
51,1874778.89,2019-02-23T10:14:55,50000000.0,2019-02-13,TPV,50000000.0,TPV13022019,19,1290.46,348218.33,1.50526,TRYTROY00028,10432103.0,1867099.25,1240383
52,1721518.32,2019-02-24T10:14:54,50000000.0,2019-02-14,TPV,50000000.0,TPV14022019,18,885.71,223139.91,1.505029,TRYTROY00028,10440279.0,1866812.83,1240383
53,1920623.71,2019-02-25T10:14:59,50000000.0,2019-02-15,TPV,50000000.0,TPV15022019,18,485.0,346218.5,1.505677,TRYTROY00028,10448455.0,1867167.36,1240085
54,2006782.04,2019-02-28T10:14:57,50000000.0,2019-02-18,TPV,50000000.0,TPV18022019,17,739.9,326618.95,1.508345,TRYTROY00028,10519995.0,1870475.89,1240085
55,1915373.49,2019-03-01T10:14:55,50000000.0,2019-02-19,TPV,50000000.0,TPV19022019,17,761.86,252158.79,1.510587,TRYTROY00028,10545545.0,1873256.16,1240085
56,1724889.11,2019-03-02T10:14:55,50000000.0,2019-02-20,TPV,50000000.0,TPV20022019,17,916.38,197124.68,1.512473,TRYTROY00028,10570075.0,1875594.75,1240085
57,1818052.06,2019-03-03T10:14:53,50000000.0,2019-02-21,TPV,50000000.0,TPV21022019,17,1163.24,216137.0,1.514701,TRYTROY00028,10578251.0,1878358.06,1240085
58,1996478.41,2019-03-04T10:14:52,50000000.0,2019-02-22,TPV,50000000.0,TPV22022019,17,1155.88,354223.07,1.519293,TRYTROY00028,10586411.0,1884052.37,1240085
59,1930797.23,2019-03-07T10:14:48,50000000.0,2019-02-25,TPV,50000000.0,TPV25022019,18,1151.27,353662.96,1.523575,TRYTROY00028,10657951.0,1885179.84,1237340
60,1884662.59,2019-03-08T10:15:00,50000000.0,2019-02-26,TPV,50000000.0,TPV26022019,16,564.2,315195.04,1.528123,TRYTROY00028,10658973.0,1890807.66,1237340
61,1890032.79,2019-03-08T14:39:42,50000000.0,2019-02-27,TPV,50000000.0,TPV27022019,16,800.12,315202.81,1.53019,TRYTROY00028,10659995.0,1893364.87,1237340
62,1865360.61,2019-03-08T14:40:51,50000000.0,2019-02-28,TPV,50000000.0,TPV28022019,16,302.26,329205.51,1.528962,TRYTROY00028,10661017.0,1891845.73,1237340
63,1880724.28,2019-03-08T14:41:57,50000000.0,2019-03-01,TPV,50000000.0,TPV01032019,16,699.36,326205.42,1.531981,TRYTROY00028,10662039.0,1895581.1,1237340
