,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,11642753.48,2018-12-13T10:14:57,500000000.0,2018-12-03,TPZ,500000000.0,TPZ03122018,56,1631374.65,0.0,1.734907,TRYTEBP00047,9032377.0,13011801.31,7500000.0
1,11716549.05,2018-12-14T10:14:56,500000000.0,2018-12-04,TPZ,500000000.0,TPZ04122018,52,1468058.95,0.0,1.748743,TRYTEBP00047,9057926.0,13115575.49,7500000.0
2,11907796.45,2018-12-15T10:14:55,500000000.0,2018-12-05,TPZ,500000000.0,TPZ05122018,52,1490403.41,0.0,1.777156,TRYTEBP00047,9082454.0,13328669.19,7500000.0
3,12138300.69,2018-12-16T10:14:54,500000000.0,2018-12-06,TPZ,500000000.0,TPZ06122018,51,1470882.35,0.0,1.811502,TRYTEBP00047,9090630.0,13586268.21,7500000.0
4,12115760.5,2018-12-17T10:14:59,500000000.0,2018-12-07,TPZ,500000000.0,TPZ07122018,51,1467077.55,0.0,1.807976,TRYTEBP00047,9098806.0,13559816.81,7500000.0
5,13087729.86,2018-12-20T10:14:57,500000000.0,2018-12-10,TPZ,500000000.0,TPZ10122018,52,1954706.41,0.0,1.797279,TRYTEBP00047,9170346.0,13973846.5,7775000.0
6,12982542.74,2018-12-21T10:14:56,500000000.0,2018-12-11,TPZ,500000000.0,TPZ11122018,53,918123.34,0.0,1.783493,TRYTEBP00047,9194874.0,13875575.66,7780000.0
7,13066424.22,2018-12-22T10:14:55,500000000.0,2018-12-12,TPZ,500000000.0,TPZ12122018,53,1014402.98,0.0,1.807516,TRYTEBP00047,9219402.0,13520222.74,7480000.0
8,13103666.9,2018-12-23T10:14:54,500000000.0,2018-12-13,TPZ,500000000.0,TPZ13122018,53,1015009.12,0.0,1.812592,TRYTEBP00047,9227578.0,13549122.89,7475000.0
9,13109658.54,2018-12-24T10:14:53,500000000.0,2018-12-14,TPZ,500000000.0,TPZ14122018,53,1013777.32,0.0,1.813298,TRYTEBP00047,9235755.0,13554402.15,7475000.0
10,13145219.72,2018-12-27T10:14:57,500000000.0,2018-12-17,TPZ,500000000.0,TPZ17122018,54,1023772.61,0.0,1.817973,TRYTEBP00047,9307294.0,13598436.78,7480000.0
11,13168964.67,2018-12-28T10:14:59,500000000.0,2018-12-18,TPZ,500000000.0,TPZ18122018,54,507422.21,0.0,1.821144,TRYTEBP00047,9332741.0,13640370.72,7490000.0
12,13110658.02,2018-12-29T10:14:58,500000000.0,2018-12-19,TPZ,500000000.0,TPZ19122018,53,495903.62,0.0,1.812961,TRYTEBP00047,9357269.0,13579076.37,7490000.0
13,13074886.81,2018-12-30T10:14:58,500000000.0,2018-12-20,TPZ,500000000.0,TPZ20122018,53,494196.96,0.0,1.807886,TRYTEBP00047,9365444.0,13532028.4,7485000.0
14,12931310.23,2018-12-31T10:15:00,500000000.0,2018-12-21,TPZ,500000000.0,TPZ21122018,53,487783.99,0.0,1.787781,TRYTEBP00047,9373620.0,13381538.05,7485000.0
15,12972573.63,2019-01-03T10:14:57,500000000.0,2018-12-24,TPZ,500000000.0,TPZ24122018,53,489095.33,0.0,1.793267,TRYTEBP00047,9425742.0,13422606.71,7485000.0
16,13024765.03,2019-01-04T10:14:57,500000000.0,2018-12-25,TPZ,500000000.0,TPZ25122018,55,535543.72,0.0,1.800365,TRYTEBP00047,9450270.0,13520741.59,7510000.0
17,13053749.51,2019-01-05T10:14:56,500000000.0,2018-12-26,TPZ,500000000.0,TPZ26122018,55,536527.01,0.0,1.804288,TRYTEBP00047,9473776.0,13550203.56,7510000.0
18,13005499.25,2019-01-06T10:14:55,500000000.0,2018-12-27,TPZ,500000000.0,TPZ27122018,55,552712.16,0.0,1.797568,TRYTEBP00047,9480930.0,13526698.2,7525000.0
19,13024246.91,2019-01-07T10:15:00,500000000.0,2018-12-28,TPZ,500000000.0,TPZ28122018,56,562211.97,0.0,1.800069,TRYTEBP00047,9488085.0,13500514.31,7500000.0
20,12966425.75,2019-01-10T10:14:57,500000000.0,2018-12-31,TPZ,500000000.0,TPZ31122018,57,577697.7,0.0,1.791828,TRYTEBP00047,9556559.0,13447670.3,7505000.0
21,13013908.85,2019-01-12T10:14:58,500000000.0,2019-01-02,TPZ,500000000.0,TPZ02012019,57,678053.62,0.0,1.798129,TRYTEBP00047,9604489.0,13584860.83,7555000.0
22,13159351.74,2019-01-13T10:14:57,500000000.0,2019-01-03,TPZ,500000000.0,TPZ03012019,57,682598.52,0.0,1.817914,TRYTEBP00047,9612665.0,13734340.76,7555000.0
23,13472153.76,2019-01-14T10:14:59,500000000.0,2019-01-04,TPZ,500000000.0,TPZ04012019,57,649186.15,0.0,1.860733,TRYTEBP00047,9620841.0,14067139.67,7560000.0
24,13364111.66,2019-01-17T10:14:57,500000000.0,2019-01-07,TPZ,500000000.0,TPZ07012019,57,635259.34,0.0,1.845643,TRYTEBP00047,9692381.0,13953063.42,7560000.0
25,13253059.95,2019-01-18T10:14:56,500000000.0,2019-01-08,TPZ,500000000.0,TPZ08012019,57,692869.42,0.0,1.830393,TRYTEBP00047,9717931.0,13920142.18,7605000.0
26,13412131.35,2019-01-19T10:14:55,500000000.0,2019-01-09,TPZ,500000000.0,TPZ09012019,58,708012.38,0.0,1.852016,TRYTEBP00047,9742459.0,14093838.05,7610000.0
