,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,46910621.86,2018-12-13T10:14:57,300000000.0,2018-12-03,TTA,30000000000.0,TTA03122018,3117,37483.94,0.0,0.023004,TRYTISB00422,9032380.0,46857204.28,2036932595.0
1,47192814.54,2018-12-14T10:14:56,300000000.0,2018-12-04,TTA,30000000000.0,TTA04122018,3111,33759.62,0.0,0.02313,TRYTISB00422,9057929.0,47133138.63,2037711595.0
2,48638304.59,2018-12-15T10:14:55,300000000.0,2018-12-05,TTA,30000000000.0,TTA05122018,3115,33891.32,0.0,0.023743,TRYTISB00422,9082457.0,48576149.25,2045923595.0
3,49633415.12,2018-12-16T10:14:54,300000000.0,2018-12-06,TTA,30000000000.0,TTA06122018,3112,34921.1,0.0,0.024124,TRYTISB00422,9090633.0,49571836.8,2054872595.0
4,49649326.67,2018-12-17T10:14:59,300000000.0,2018-12-07,TTA,30000000000.0,TTA07122018,3110,34883.81,0.0,0.024187,TRYTISB00422,9098809.0,49669916.56,2053570595.0
5,49405613.92,2018-12-20T10:14:57,300000000.0,2018-12-10,TTA,30000000000.0,TTA10122018,3109,34393.47,0.0,0.024071,TRYTISB00422,9170349.0,49417745.48,2053013595.0
6,49158440.64,2018-12-21T10:14:56,300000000.0,2018-12-11,TTA,30000000000.0,TTA11122018,3109,33843.86,0.0,0.023946,TRYTISB00422,9194877.0,49167379.97,2053268595.0
7,50901512.74,2018-12-22T10:14:55,300000000.0,2018-12-12,TTA,30000000000.0,TTA12122018,3110,34791.95,0.0,0.024253,TRYTISB00422,9219405.0,50908664.49,2099052285.0
8,51349208.79,2018-12-23T10:14:54,300000000.0,2018-12-13,TTA,30000000000.0,TTA13122018,3108,37428.5,0.0,0.024269,TRYTISB00422,9227581.0,51356237.5,2116168090.0
9,51465941.78,2018-12-24T10:14:53,300000000.0,2018-12-14,TTA,30000000000.0,TTA14122018,3106,34276.81,0.0,0.02432,TRYTISB00422,9235758.0,51467053.27,2116282090.0
10,51354509.43,2018-12-27T10:14:57,300000000.0,2018-12-17,TTA,30000000000.0,TTA17122018,3105,34637.37,0.0,0.024232,TRYTISB00422,9307297.0,51347704.01,2119047090.0
11,51342882.84,2018-12-28T10:14:59,300000000.0,2018-12-18,TTA,30000000000.0,TTA18122018,3101,34716.76,0.0,0.02424,TRYTISB00422,9332744.0,51333398.41,2117712090.0
12,51213588.28,2018-12-29T10:14:58,300000000.0,2018-12-19,TTA,30000000000.0,TTA19122018,3092,28811.76,0.0,0.024288,TRYTISB00422,9357272.0,51195447.82,2107858090.0
13,50910011.16,2018-12-30T10:14:58,300000000.0,2018-12-20,TTA,30000000000.0,TTA20122018,3091,108433.4,0.0,0.024233,TRYTISB00422,9365447.0,50968753.52,2103284090.0
14,50304148.59,2018-12-31T10:15:00,300000000.0,2018-12-21,TTA,30000000000.0,TTA21122018,3088,109020.53,0.0,0.023991,TRYTISB00422,9373623.0,50360771.75,2099165090.0
15,50662252.52,2019-01-03T10:14:57,300000000.0,2018-12-24,TTA,30000000000.0,TTA24122018,3086,108205.78,0.0,0.024173,TRYTISB00422,9425745.0,50709885.95,2097824090.0
16,50927679.03,2019-01-04T10:14:57,300000000.0,2018-12-25,TTA,30000000000.0,TTA25122018,3087,108350.88,0.0,0.02422,TRYTISB00422,9450273.0,50972718.52,2104553090.0
17,51286823.75,2019-01-05T10:14:56,300000000.0,2018-12-26,TTA,30000000000.0,TTA26122018,3086,108479.93,0.0,0.024475,TRYTISB00422,9473779.0,51329234.19,2097236090.0
18,51781311.34,2019-01-06T10:14:55,300000000.0,2018-12-27,TTA,30000000000.0,TTA27122018,3093,107874.58,0.0,0.02439,TRYTISB00422,9480933.0,51820332.08,2124642090.0
19,51910474.62,2019-01-07T10:15:00,300000000.0,2018-12-28,TTA,30000000000.0,TTA28122018,3097,108444.08,0.0,0.024452,TRYTISB00422,9488088.0,51947273.72,2124479090.0
20,51830931.79,2019-01-10T10:14:57,300000000.0,2018-12-31,TTA,30000000000.0,TTA31122018,3096,108952.91,0.0,0.024411,TRYTISB00422,9556562.0,51859880.3,2124474090.0
