,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,42839596.79,2018-12-13T10:14:57,35000000.0,2018-12-03,TTE,3500000000.0,TTE03122018,1684,2127.33,0.0,0.03882,TRMTTEWWWWW0,9032381.0,43621440.13,1123675000.0
1,43038042.02,2018-12-14T10:14:56,35000000.0,2018-12-04,TTE,3500000000.0,TTE04122018,1684,2071.87,0.0,0.038776,TRMTTEWWWWW0,9057930.0,42801788.88,1103820000.0
2,43017285.77,2018-12-15T10:14:55,35000000.0,2018-12-05,TTE,3500000000.0,TTE05122018,1684,2959.08,0.0,0.038028,TRMTTEWWWWW0,9082458.0,42727141.74,1123570000.0
3,43167933.74,2018-12-16T10:14:54,35000000.0,2018-12-06,TTE,3500000000.0,TTE06122018,1682,2792.43,0.0,0.038139,TRMTTEWWWWW0,9090634.0,42899185.13,1124810000.0
4,41945785.31,2018-12-17T10:14:59,35000000.0,2018-12-07,TTE,3500000000.0,TTE07122018,1678,2926.85,0.0,0.03776,TRMTTEWWWWW0,9098810.0,42287171.1,1119885000.0
5,42066175.23,2018-12-20T10:14:57,35000000.0,2018-12-10,TTE,3500000000.0,TTE10122018,1674,2127.76,0.0,0.038028,TRMTTEWWWWW0,9170350.0,41630463.38,1094735000.0
6,41437257.47,2018-12-21T10:14:56,35000000.0,2018-12-11,TTE,3500000000.0,TTE11122018,1672,2431.34,0.0,0.037809,TRMTTEWWWWW0,9194878.0,41372375.31,1094240000.0
7,41280046.93,2018-12-22T10:14:55,35000000.0,2018-12-12,TTE,3500000000.0,TTE12122018,1672,2352.13,0.0,0.037672,TRMTTEWWWWW0,9219406.0,41123922.5,1091620000.0
8,39347732.93,2018-12-23T10:14:54,35000000.0,2018-12-13,TTE,3500000000.0,TTE13122018,1665,2399.9,0.0,0.035989,TRMTTEWWWWW0,9227582.0,39265823.53,1091055000.0
9,39450978.15,2018-12-24T10:14:53,35000000.0,2018-12-14,TTE,3500000000.0,TTE14122018,1665,2430.68,0.0,0.036099,TRMTTEWWWWW0,9235759.0,39372015.08,1090670000.0
10,38613083.58,2018-12-27T10:14:57,35000000.0,2018-12-17,TTE,3500000000.0,TTE17122018,1663,2792.72,0.0,0.035345,TRMTTEWWWWW0,9307298.0,38552098.41,1090735000.0
11,38122100.8,2018-12-28T10:14:59,35000000.0,2018-12-18,TTE,3500000000.0,TTE18122018,1662,10658.57,0.0,0.034893,TRMTTEWWWWW0,9332745.0,37994144.91,1088870000.0
12,38482054.61,2018-12-29T10:14:58,35000000.0,2018-12-19,TTE,3500000000.0,TTE19122018,1657,2655.93,0.0,0.03524,TRMTTEWWWWW0,9357273.0,38353525.62,1088340000.0
13,39115915.96,2018-12-30T10:14:58,35000000.0,2018-12-20,TTE,3500000000.0,TTE20122018,1653,2558.18,0.0,0.035849,TRMTTEWWWWW0,9365448.0,39037901.22,1088955000.0
14,39916510.21,2018-12-31T10:15:00,35000000.0,2018-12-21,TTE,3500000000.0,TTE21122018,1653,2161.97,0.0,0.03576,TRMTTEWWWWW0,9373624.0,39836065.94,1113970000.0
15,40234683.83,2019-01-03T10:14:57,35000000.0,2018-12-24,TTE,3500000000.0,TTE24122018,1651,2865.82,0.0,0.036042,TRMTTEWWWWW0,9425746.0,40085328.95,1112185000.0
16,40385847.5,2019-01-04T10:14:57,35000000.0,2018-12-25,TTE,3500000000.0,TTE25122018,1650,2657.57,0.0,0.036209,TRMTTEWWWWW0,9450274.0,40221785.9,1110830000.0
17,39791676.48,2019-01-05T10:14:56,35000000.0,2018-12-26,TTE,3500000000.0,TTE26122018,1644,2006.95,0.0,0.035747,TRMTTEWWWWW0,9473780.0,39690480.03,1110320000.0
18,39753384.15,2019-01-06T10:14:55,35000000.0,2018-12-27,TTE,3500000000.0,TTE27122018,1641,2962.95,0.0,0.035722,TRMTTEWWWWW0,9480934.0,39492751.47,1105570000.0
19,39419665.24,2019-01-07T10:15:00,35000000.0,2018-12-28,TTE,3500000000.0,TTE28122018,1632,2685.68,0.0,0.035538,TRMTTEWWWWW0,9488089.0,39319995.58,1106430000.0
20,39705250.79,2019-01-10T10:14:57,35000000.0,2018-12-31,TTE,3500000000.0,TTE31122018,1628,2292.75,0.0,0.035812,TRMTTEWWWWW0,9556563.0,38704652.63,1080770000.0
21,39622811.61,2019-01-12T10:14:58,35000000.0,2019-01-02,TTE,3500000000.0,TTE02012019,1623,2854.52,0.0,0.036571,TRMTTEWWWWW0,9604493.0,39522846.22,1080705000.0
22,38758051.68,2019-01-13T10:14:57,35000000.0,2019-01-03,TTE,3500000000.0,TTE03012019,1622,2984.61,0.0,0.03573,TRMTTEWWWWW0,9612669.0,38635348.59,1081325000.0
23,38543657.27,2019-01-14T10:14:59,35000000.0,2019-01-04,TTE,3500000000.0,TTE04012019,1624,2623.26,0.0,0.034718,TRMTTEWWWWW0,9620845.0,38441143.15,1107255000.0
24,38977448.94,2019-01-17T10:14:57,35000000.0,2019-01-07,TTE,3500000000.0,TTE07012019,1624,2794.57,0.0,0.035101,TRMTTEWWWWW0,9692385.0,38845580.0,1106695000.0
25,39213926.1,2019-01-18T10:14:56,35000000.0,2019-01-08,TTE,3500000000.0,TTE08012019,1620,2292.76,0.0,0.035329,TRMTTEWWWWW0,9717935.0,39158207.86,1108380000.0
26,39808586.9,2019-01-19T10:14:55,35000000.0,2019-01-09,TTE,3500000000.0,TTE09012019,1618,2420.57,0.0,0.035864,TRMTTEWWWWW0,9742463.0,39740318.26,1108075000.0
27,39747601.43,2019-01-20T10:14:54,35000000.0,2019-01-10,TTE,3500000000.0,TTE10012019,1614,2964.86,0.0,0.035818,TRMTTEWWWWW0,9750640.0,39530689.03,1103645000.0
28,40317228.95,2019-01-21T10:14:59,35000000.0,2019-01-11,TTE,3500000000.0,TTE11012019,1610,2941.66,0.0,0.036471,TRMTTEWWWWW0,9758816.0,40150064.31,1100880000.0
29,40416591.14,2019-01-24T10:14:57,35000000.0,2019-01-14,TTE,3500000000.0,TTE14012019,1607,2465.46,0.0,0.036475,TRMTTEWWWWW0,9830356.0,40294524.98,1104705000.0
30,40332366.45,2019-01-25T10:14:56,35000000.0,2019-01-15,TTE,3500000000.0,TTE15012019,1606,2711.32,0.0,0.036444,TRMTTEWWWWW0,9855906.0,40228028.51,1103825000.0
31,40857222.31,2019-01-26T10:14:55,35000000.0,2019-01-16,TTE,3500000000.0,TTE16012019,1605,2689.42,0.0,0.036925,TRMTTEWWWWW0,9880434.0,40764303.47,1103970000.0
32,41564291.69,2019-01-27T10:14:57,35000000.0,2019-01-17,TTE,3500000000.0,TTE17012019,1604,2593.97,0.0,0.037584,TRMTTEWWWWW0,9888507.0,41474469.28,1103510000.0
33,41685577.66,2019-01-28T10:14:59,35000000.0,2019-01-18,TTE,3500000000.0,TTE18012019,1601,2859.0,0.0,0.03767,TRMTTEWWWWW0,9896683.0,41604514.1,1104460000.0
34,42096042.16,2019-01-31T10:14:57,35000000.0,2019-01-21,TTE,3500000000.0,TTE21012019,1602,2473.02,0.0,0.038039,TRMTTEWWWWW0,9968223.0,42011789.82,1104445000.0
35,41835248.22,2019-02-01T10:14:56,35000000.0,2019-01-22,TTE,3500000000.0,TTE22012019,1600,2223.12,0.0,0.037803,TRMTTEWWWWW0,9993773.0,41678530.66,1102520000.0
36,40132429.37,2019-02-02T10:14:55,35000000.0,2019-01-23,TTE,3500000000.0,TTE23012019,1596,2550.08,0.0,0.037851,TRMTTEWWWWW0,10018301.0,41149957.84,1087170000.0
37,39868007.29,2019-02-03T10:14:54,35000000.0,2019-01-24,TTE,3500000000.0,TTE24012019,1587,2110.67,0.0,0.038145,TRMTTEWWWWW0,10026479.0,40501919.19,1061790000.0
38,41376304.78,2019-02-04T10:15:00,35000000.0,2019-01-25,TTE,3500000000.0,TTE25012019,1582,2750.62,0.0,0.038894,TRMTTEWWWWW0,10034655.0,41191597.31,1059085000.0
39,42381374.75,2019-02-07T10:14:57,35000000.0,2019-01-28,TTE,3500000000.0,TTE28012019,1583,2774.22,0.0,0.039414,TRMTTEWWWWW0,10106194.0,42278498.84,1072670000.0
40,42569807.25,2019-02-08T10:14:56,35000000.0,2019-01-29,TTE,3500000000.0,TTE29012019,1586,2730.86,0.0,0.039499,TRMTTEWWWWW0,10131744.0,42417839.55,1073895000.0
41,43604067.0,2019-02-09T10:14:55,35000000.0,2019-01-30,TTE,3500000000.0,TTE30012019,1588,2015.1,0.0,0.039973,TRMTTEWWWWW0,10156274.0,43441759.3,1086765000.0
42,43985688.37,2019-02-10T10:14:54,35000000.0,2019-01-31,TTE,3500000000.0,TTE31012019,1585,2063.84,3168018.63,0.040361,TRMTTEWWWWW0,10164448.0,43810126.44,1085470000.0
43,45615117.3,2019-02-11T10:14:53,35000000.0,2019-02-01,TTE,3500000000.0,TTE01022019,1579,1621.1,3128991.85,0.040537,TRMTTEWWWWW0,10172624.0,42654391.28,1052240000.0
44,45281809.69,2019-02-14T10:14:58,35000000.0,2019-02-04,TTE,3500000000.0,TTE04022019,1580,2779.42,3624943.59,0.039781,TRMTTEWWWWW0,10244163.0,43661954.48,1097560000.0
45,43380583.65,2019-02-15T10:14:57,35000000.0,2019-02-05,TTE,3500000000.0,TTE05022019,1578,1506.2,2131356.78,0.039404,TRMTTEWWWWW0,10269713.0,42744086.02,1084760000.0
46,41709894.98,2019-02-16T10:14:56,35000000.0,2019-02-06,TTE,3500000000.0,TTE06022019,1575,1580.57,1728092.98,0.038771,TRMTTEWWWWW0,10294241.0,42086949.48,1085515000.0
47,41178395.69,2019-02-17T10:15:00,35000000.0,2019-02-07,TTE,3500000000.0,TTE07022019,1570,1923.61,1576020.51,0.03842,TRMTTEWWWWW0,10302314.0,41646131.41,1083965000.0
48,41801963.07,2019-02-18T10:14:58,35000000.0,2019-02-08,TTE,3500000000.0,TTE08022019,1567,2289.54,2123258.67,0.03849,TRMTTEWWWWW0,10310490.0,41293409.16,1072825000.0
49,41320180.69,2019-02-21T10:14:57,35000000.0,2019-02-11,TTE,3500000000.0,TTE11022019,1559,3197.31,1666191.59,0.038464,TRMTTEWWWWW0,10382032.0,41205603.91,1071280000.0
50,42560428.59,2019-02-22T10:14:56,35000000.0,2019-02-12,TTE,3500000000.0,TTE12022019,1553,3536.66,1611003.49,0.039672,TRMTTEWWWWW0,10407581.0,42492756.39,1071100000.0
51,42726154.06,2019-02-23T10:14:55,35000000.0,2019-02-13,TTE,3500000000.0,TTE13022019,1553,3929.05,1647032.7,0.039792,TRMTTEWWWWW0,10432108.0,42585272.89,1070205000.0
52,42035111.78,2019-02-24T10:14:54,35000000.0,2019-02-14,TTE,3500000000.0,TTE14022019,1550,4833.77,1791137.75,0.039014,TRMTTEWWWWW0,10440284.0,41946492.29,1075170000.0
53,42411262.04,2019-02-25T10:14:59,35000000.0,2019-02-15,TTE,3500000000.0,TTE15022019,1549,4972.61,1763110.3,0.039302,TRMTTEWWWWW0,10448460.0,42170528.13,1072985000.0
54,43240338.77,2019-02-28T10:14:57,35000000.0,2019-02-18,TTE,3500000000.0,TTE18022019,1544,4691.67,1701279.7,0.040128,TRMTTEWWWWW0,10520000.0,43075256.32,1073435000.0
55,44677878.71,2019-03-01T10:14:55,35000000.0,2019-02-19,TTE,3500000000.0,TTE19022019,1546,5292.9,1682073.08,0.041482,TRMTTEWWWWW0,10545550.0,44596230.45,1075070000.0
56,45643116.65,2019-03-02T10:14:55,35000000.0,2019-02-20,TTE,3500000000.0,TTE20022019,1548,5515.68,1977255.98,0.042101,TRMTTEWWWWW0,10570080.0,45483020.57,1080325000.0
57,46113330.54,2019-03-03T10:14:53,35000000.0,2019-02-21,TTE,3500000000.0,TTE21022019,1547,5485.67,2168326.92,0.042358,TRMTTEWWWWW0,10578256.0,45848527.82,1082405000.0
58,47552867.89,2019-03-04T10:14:52,35000000.0,2019-02-22,TTE,3500000000.0,TTE22022019,1549,6289.85,2413348.08,0.043452,TRMTTEWWWWW0,10586416.0,47402661.27,1090925000.0
59,48784448.68,2019-03-07T10:14:48,35000000.0,2019-02-25,TTE,3500000000.0,TTE25022019,1550,6782.79,2346350.35,0.044484,TRMTTEWWWWW0,10657956.0,48330170.36,1086455000.0
60,49042262.0,2019-03-08T10:15:00,35000000.0,2019-02-26,TTE,3500000000.0,TTE26022019,1552,6824.92,2217378.17,0.044918,TRMTTEWWWWW0,10658978.0,48496189.91,1079655000.0
61,49262999.73,2019-03-08T14:39:42,35000000.0,2019-02-27,TTE,3500000000.0,TTE27022019,1557,7177.64,2418546.21,0.044935,TRMTTEWWWWW0,10660000.0,49100773.85,1092705000.0
62,49362483.73,2019-03-08T14:40:51,35000000.0,2019-02-28,TTE,3500000000.0,TTE28022019,1555,2589.8,2655671.02,0.044808,TRMTTEWWWWW0,10661022.0,48905703.55,1091450000.0
63,50059165.95,2019-03-08T14:41:57,35000000.0,2019-03-01,TTE,3500000000.0,TTE01032019,1562,2603.67,2462604.71,0.04563,TRMTTEWWWWW0,10662044.0,49300548.28,1080430000.0
64,49372945.73,2019-03-08T14:43:06,35000000.0,2019-03-04,TTE,3500000000.0,TTE04032019,1561,1670.71,2241182.88,0.045228,TRMTTEWWWWW0,10663066.0,48941006.37,1082100000.0
65,49567431.22,2019-03-08T14:44:12,35000000.0,2019-03-05,TTE,3500000000.0,TTE05032019,1566,1987.31,2240346.46,0.045405,TRMTTEWWWWW0,10664089.0,49056697.36,1080430000.0
66,49476285.53,2019-03-08T14:45:23,35000000.0,2019-03-06,TTE,3500000000.0,TTE06032019,1567,2175.71,2295410.97,0.045265,TRMTTEWWWWW0,10665111.0,48574564.96,1073120000.0
67,48819666.27,2019-03-07T13:50:07,35000000.0,2019-03-07,TTE,3500000000.0,TTE07032019,1568,2005.74,1877130.74,0.04504,TRMTTEWWWWW0,10667155.0,48693605.36,1081110000.0
68,47705482.08,2019-03-08T10:50:00,35000000.0,2019-03-08,TTE,3500000000.0,TTE08032019,1575,2017.53,1980192.82,0.043913,TRMTTEWWWWW0,10668177.0,47596500.03,1083870000.0
69,43665240.03,2019-03-11T10:50:00,35000000.0,2019-03-11,TTE,3500000000.0,TTE11032019,1577,2322.05,1993698.05,0.043626,TRMTTEWWWWW0,10669021.0,44327306.71,1016065000.0
70,40534934.55,2019-03-12T10:22:47,35000000.0,2019-03-12,TTE,3500000000.0,TTE12032019,1566,4586.75,0.0,0.043486,TRMTTEWWWWW0,10670668.0,43921202.74,1010005000.0
71,45528218.45,2019-03-13T12:50:00,35000000.0,2019-03-13,TTE,3500000000.0,TTE13032019,1553,2815.8,2476517.29,0.044985,TRMTTEWWWWW0,10674349.0,45377668.68,1008725000.0
72,46509612.24,2019-03-14T10:50:00,35000000.0,2019-03-14,TTE,3500000000.0,TTE14032019,1543,2928.62,2505562.26,0.045927,TRMTTEWWWWW0,10677126.0,46278367.14,1007660000.0
73,48253973.9,2019-03-15T10:50:00,35000000.0,2019-03-15,TTE,3500000000.0,TTE15032019,1540,3300.0,2621676.08,0.045841,TRMTTEWWWWW0,10679862.0,46094542.41,1005525000.0
74,50039915.88,2019-03-18T10:30:32,35000000.0,2019-03-18,TTE,3500000000.0,TTE18032019,1540,1931.63,4256079.75,0.045778,TRMTTEWWWWW0,10680948.0,47630977.84,1040470000.0
75,48158978.4,2019-03-19T10:50:00,35000000.0,2019-03-19,TTE,3500000000.0,TTE19032019,1530,2161.84,2142346.19,0.045806,TRMTTEWWWWW0,10684713.0,47603844.56,1039245000.0
76,45954493.25,2019-03-20T10:24:48,35000000.0,2019-03-20,TTE,3500000000.0,TTE20032019,1531,1103.93,1917191.59,0.046134,TRMTTEWWWWW0,10686244.0,47921618.1,1038755000.0
77,45678165.68,2019-03-21T10:50:00,35000000.0,2019-03-21,TTE,3500000000.0,TTE20032019,1531,2672.6,1649018.15,0.046124,TRMTTEWWWWW0,10690298.0,45803409.37,993050000.0
78,45704920.22,2019-03-22T09:50:00,35000000.0,2019-03-22,TTE,3500000000.0,TTE21032019,1537,1178.88,2074277.88,0.045723,TRMTTEWWWWW0,10692970.0,45564178.33,996530000.0
79,46672909.46,2019-03-25T09:50:00,35000000.0,2019-03-25,TTE,3500000000.0,TTE24032019,1533,2597.0,2360453.81,0.04449,TRMTTEWWWWW0,10696111.0,44470553.2,999565000.0
80,48177309.97,2019-03-26T09:50:00,35000000.0,2019-03-26,TTE,3500000000.0,TTE25032019,1537,2254.29,4244824.13,0.044224,TRMTTEWWWWW0,11878352.0,46043580.91,1041135000.0
81,45775725.49,2019-03-27T09:50:00,35000000.0,2019-03-27,TTE,3500000000.0,TTE26032019,1528,1721.52,2581714.11,0.043512,TRMTTEWWWWW0,11881122.0,45129108.68,1037175000.0
82,39402599.36,2019-03-28T09:50:00,35000000.0,2019-03-28,TTE,3500000000.0,TTE27032019,1509,2557.45,2015434.63,0.041007,TRMTTEWWWWW0,11883778.0,42420571.77,1034480000.0
83,40328602.9,2019-03-29T10:50:01,35000000.0,2019-03-29,TTE,3500000000.0,TTE28032019,1501,2221.04,1912298.43,0.042063,TRMTTEWWWWW0,11886795.0,40941907.5,973350000.0
84,41276771.16,2019-04-01T09:50:00,35000000.0,2019-04-01,TTE,3500000000.0,TTE01042019,1495,2060.7,2630447.77,0.042296,TRMTTEWWWWW0,11890453.0,41029111.14,970040000.0
85,41775554.36,2019-04-02T09:50:00,35000000.0,2019-04-02,TTE,3500000000.0,TTE02042019,1496,2751.18,2620811.77,0.042818,TRMTTEWWWWW0,11891626.0,41680959.34,973445000.0
86,42736538.09,2019-04-03T09:50:00,35000000.0,2019-04-03,TTE,3500000000.0,TTE03042019,1502,2676.93,2695811.99,0.042885,TRMTTEWWWWW0,11892404.0,41680601.8,971910000.0
