,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,17149284.4,2018-12-13T10:14:57,200000000.0,2018-12-03,TUA,20000000000.0,TUA03122018,2070,97668.89,0.0,0.050018,TRYTEBK00030,9032382.0,17217737.13,344228744.0
1,17244646.87,2018-12-14T10:14:56,200000000.0,2018-12-04,TUA,20000000000.0,TUA04122018,2070,97531.64,0.0,0.050292,TRYTEBK00030,9057931.0,17311794.56,344226000.0
2,17912887.5,2018-12-15T10:14:55,200000000.0,2018-12-05,TUA,20000000000.0,TUA05122018,2070,49701.14,0.0,0.051611,TRYTEBK00030,9082459.0,17930983.28,347427702.0
3,18203856.84,2018-12-16T10:14:54,200000000.0,2018-12-06,TUA,20000000000.0,TUA06122018,2071,170000.07,0.0,0.052438,TRYTEBK00030,9090635.0,18365787.35,350238271.0
4,18040559.05,2018-12-17T10:14:59,200000000.0,2018-12-07,TUA,20000000000.0,TUA07122018,2066,178305.19,0.0,0.052575,TRYTEBK00030,9098811.0,18210498.56,346371044.0
5,17110906.86,2018-12-20T10:14:57,200000000.0,2018-12-10,TUA,20000000000.0,TUA10122018,2064,99703.11,0.0,0.052313,TRYTEBK00030,9170351.0,17198669.4,328766744.0
6,17022300.49,2018-12-21T10:14:56,200000000.0,2018-12-11,TUA,20000000000.0,TUA11122018,2062,67726.84,0.0,0.052039,TRYTEBK00030,9194879.0,17076930.96,328155495.0
7,17247984.24,2018-12-22T10:14:55,200000000.0,2018-12-12,TUA,20000000000.0,TUA12122018,2063,66985.1,0.0,0.052722,TRYTEBK00030,9219407.0,17300440.44,328141987.0
8,17264509.35,2018-12-23T10:14:54,200000000.0,2018-12-13,TUA,20000000000.0,TUA13122018,2063,59153.29,0.0,0.052768,TRYTEBK00030,9227583.0,17308256.72,328004718.0
9,17301880.73,2018-12-24T10:14:53,200000000.0,2018-12-14,TUA,20000000000.0,TUA14122018,2062,49968.6,0.0,0.052878,TRYTEBK00030,9235760.0,17336731.39,327864036.0
10,17241559.45,2018-12-27T10:14:57,200000000.0,2018-12-17,TUA,20000000000.0,TUA17122018,2064,22432.59,0.0,0.05268,TRYTEBK00030,9307299.0,17244468.52,327343290.0
11,16609695.57,2018-12-28T10:14:59,200000000.0,2018-12-18,TUA,20000000000.0,TUA18122018,2063,35448.27,0.0,0.052702,TRYTEBK00030,9332746.0,16624116.29,315439008.0
