,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,2912859.45,2018-12-13T10:14:57,100000000.0,2018-12-03,TZD,5250000000.0,TZD03122018,743,558.59,0.0,0.137039,TRMTZDWWWWW9,9032388.0,3180572.83,23209300.0
1,2726192.41,2018-12-14T10:14:56,100000000.0,2018-12-04,TZD,5250000000.0,TZD04122018,742,839.27,0.0,0.136713,TRMTZDWWWWW9,9057937.0,2893369.44,21163800.0
2,2876761.73,2018-12-15T10:14:55,100000000.0,2018-12-05,TZD,5250000000.0,TZD05122018,742,311.41,0.0,0.134877,TRMTZDWWWWW9,9082465.0,2761558.1,20474700.0
3,3130423.89,2018-12-16T10:14:54,100000000.0,2018-12-06,TZD,5250000000.0,TZD06122018,743,340.3,0.0,0.134717,TRMTZDWWWWW9,9090641.0,2849284.48,21150100.0
4,3133222.14,2018-12-17T10:14:59,100000000.0,2018-12-07,TZD,5250000000.0,TZD07122018,742,395.98,0.0,0.132906,TRMTZDWWWWW9,9098817.0,2954247.41,22228100.0
5,2876947.16,2018-12-20T10:14:57,100000000.0,2018-12-10,TZD,5250000000.0,TZD10122018,739,530.13,0.0,0.134288,TRMTZDWWWWW9,9170357.0,3005851.65,22383600.0
6,2736046.04,2018-12-21T10:14:56,100000000.0,2018-12-11,TZD,5250000000.0,TZD11122018,738,93.43,0.0,0.132238,TRMTZDWWWWW9,9194885.0,2768199.62,20933500.0
7,2684094.14,2018-12-22T10:14:55,100000000.0,2018-12-12,TZD,5250000000.0,TZD12122018,740,513.85,0.0,0.131783,TRMTZDWWWWW9,9219413.0,2657306.86,20164200.0
8,2488963.41,2018-12-23T10:14:54,100000000.0,2018-12-13,TZD,5250000000.0,TZD13122018,741,783.44,0.0,0.129173,TRMTZDWWWWW9,9227589.0,2470405.38,19124800.0
9,2558585.9,2018-12-24T10:14:53,100000000.0,2018-12-14,TZD,5250000000.0,TZD14122018,742,575.66,0.0,0.130894,TRMTZDWWWWW9,9235766.0,2554770.06,19517900.0
10,2424908.26,2018-12-27T10:14:57,100000000.0,2018-12-17,TZD,5250000000.0,TZD17122018,740,796.11,0.0,0.129735,TRMTZDWWWWW9,9307305.0,2541181.88,19587500.0
11,2419514.83,2018-12-28T10:14:59,100000000.0,2018-12-18,TZD,5250000000.0,TZD18122018,741,636.77,0.0,0.129009,TRMTZDWWWWW9,9332752.0,2339650.38,18135600.0
12,2374122.38,2018-12-29T10:14:58,100000000.0,2018-12-19,TZD,5250000000.0,TZD19122018,738,561.72,0.0,0.130486,TRMTZDWWWWW9,9357280.0,2367001.18,18139900.0
13,2603681.62,2018-12-30T10:14:58,100000000.0,2018-12-20,TZD,5250000000.0,TZD20122018,734,581.06,0.0,0.132567,TRMTZDWWWWW9,9365455.0,2393370.45,18054000.0
14,2847019.65,2018-12-31T10:15:00,100000000.0,2018-12-21,TZD,5250000000.0,TZD21122018,736,760.04,200127.95,0.131856,TRMTZDWWWWW9,9373631.0,2635004.09,19984000.0
15,2690765.03,2019-01-03T10:14:57,100000000.0,2018-12-24,TZD,5250000000.0,TZD24122018,738,48.99,0.0,0.131777,TRMTZDWWWWW9,9425753.0,2673260.51,20286300.0
16,2681744.62,2019-01-04T10:14:57,100000000.0,2018-12-25,TZD,5250000000.0,TZD25122018,739,381.35,0.0,0.131241,TRMTZDWWWWW9,9450281.0,2675777.57,20388300.0
17,2461725.34,2019-01-05T10:14:56,100000000.0,2018-12-26,TZD,5250000000.0,TZD26122018,741,91.75,0.0,0.130217,TRMTZDWWWWW9,9473787.0,2657615.49,20409100.0
18,2469608.67,2019-01-06T10:14:55,100000000.0,2018-12-27,TZD,5250000000.0,TZD27122018,741,545.2,0.0,0.130319,TRMTZDWWWWW9,9480941.0,2411837.58,18507200.0
19,2411092.9,2019-01-07T10:15:00,100000000.0,2018-12-28,TZD,5250000000.0,TZD28122018,737,800.92,0.0,0.130173,TRMTZDWWWWW9,9488096.0,2402480.25,18456100.0
20,2400146.82,2019-01-10T10:14:57,100000000.0,2018-12-31,TZD,5250000000.0,TZD31122018,736,664.37,0.0,0.129612,TRMTZDWWWWW9,9556570.0,2393555.9,18467100.0
21,2424895.34,2019-01-12T10:14:58,100000000.0,2019-01-02,TZD,5250000000.0,TZD02012019,736,906.06,0.0,0.130948,TRMTZDWWWWW9,9604500.0,2417266.62,18459700.0
22,2362504.92,2019-01-13T10:14:57,100000000.0,2019-01-03,TZD,5250000000.0,TZD03012019,736,160.98,0.0,0.127411,TRMTZDWWWWW9,9612676.0,2354931.83,18483000.0
23,2328261.02,2019-01-14T10:14:59,100000000.0,2019-01-04,TZD,5250000000.0,TZD04012019,737,83.9,0.0,0.125443,TRMTZDWWWWW9,9620852.0,2315451.85,18458200.0
24,2399371.52,2019-01-17T10:14:57,100000000.0,2019-01-07,TZD,5250000000.0,TZD07012019,739,911.73,0.0,0.127547,TRMTZDWWWWW9,9692392.0,2391779.53,18752100.0
25,2422572.7,2019-01-18T10:14:56,100000000.0,2019-01-08,TZD,5250000000.0,TZD08012019,741,430.47,0.0,0.128861,TRMTZDWWWWW9,9717941.0,2379717.74,18467300.0
26,2402772.45,2019-01-19T10:14:55,100000000.0,2019-01-09,TZD,5250000000.0,TZD09012019,738,35.21,0.0,0.129897,TRMTZDWWWWW9,9742469.0,2398866.27,18467400.0
27,2496162.87,2019-01-20T10:14:54,100000000.0,2019-01-10,TZD,5250000000.0,TZD10012019,741,275.49,0.0,0.129986,TRMTZDWWWWW9,9750646.0,2373733.69,18261400.0
28,2614002.31,2019-01-21T10:14:59,100000000.0,2019-01-11,TZD,5250000000.0,TZD11012019,739,233.9,0.0,0.129986,TRMTZDWWWWW9,9758822.0,2468524.09,18990700.0
29,2373224.17,2019-01-24T10:14:57,100000000.0,2019-01-14,TZD,5250000000.0,TZD14012019,739,451.92,0.0,0.130493,TRMTZDWWWWW9,9830362.0,2482951.79,19027500.0
30,2361802.8,2019-01-25T10:14:56,100000000.0,2019-01-15,TZD,5250000000.0,TZD15012019,738,806.53,0.0,0.130736,TRMTZDWWWWW9,9855912.0,2312694.23,17689800.0
31,2377943.55,2019-01-26T10:14:55,100000000.0,2019-01-16,TZD,5250000000.0,TZD16012019,736,356.64,0.0,0.132185,TRMTZDWWWWW9,9880440.0,2369329.19,17924300.0
32,2440992.45,2019-01-27T10:14:57,100000000.0,2019-01-17,TZD,5250000000.0,TZD17012019,738,618.6,0.0,0.13525,TRMTZDWWWWW9,9888513.0,2425713.8,17935100.0
33,2381407.24,2019-01-28T10:14:59,100000000.0,2019-01-18,TZD,5250000000.0,TZD18012019,737,185.68,0.0,0.137304,TRMTZDWWWWW9,9896689.0,2411394.48,17562400.0
34,2353334.2,2019-01-31T10:14:57,100000000.0,2019-01-21,TZD,5250000000.0,TZD21012019,737,312.74,0.0,0.139392,TRMTZDWWWWW9,9968229.0,2358524.37,16920100.0
35,2348569.18,2019-02-01T10:14:56,100000000.0,2019-01-22,TZD,5250000000.0,TZD22012019,732,42.32,0.0,0.13875,TRMTZDWWWWW9,9993779.0,2335203.02,16830300.0
36,2392419.54,2019-02-02T10:14:55,100000000.0,2019-01-23,TZD,5250000000.0,TZD23012019,730,526.66,0.0,0.141294,TRMTZDWWWWW9,10018307.0,2373754.48,16800100.0
37,2421039.95,2019-02-03T10:14:54,100000000.0,2019-01-24,TZD,5250000000.0,TZD24012019,728,453.06,0.0,0.142284,TRMTZDWWWWW9,10026485.0,2373494.69,16681400.0
38,2426142.28,2019-02-04T10:15:00,100000000.0,2019-01-25,TZD,5250000000.0,TZD25012019,724,920.23,0.0,0.144518,TRMTZDWWWWW9,10034661.0,2393405.78,16561300.0
39,2412158.87,2019-02-07T10:14:57,100000000.0,2019-01-28,TZD,5250000000.0,TZD28012019,724,881.97,0.0,0.145035,TRMTZDWWWWW9,10106199.0,2404742.21,16580400.0
40,2335627.68,2019-02-08T10:14:56,100000000.0,2019-01-29,TZD,5250000000.0,TZD29012019,724,753.51,0.0,0.144121,TRMTZDWWWWW9,10131749.0,2387296.89,16564500.0
41,2384289.01,2019-02-09T10:14:55,100000000.0,2019-01-30,TZD,5250000000.0,TZD30012019,722,935.5,0.0,0.147476,TRMTZDWWWWW9,10156279.0,2397512.93,16257000.0
42,2409091.33,2019-02-10T10:14:54,100000000.0,2019-01-31,TZD,5250000000.0,TZD31012019,719,290.61,0.0,0.147703,TRMTZDWWWWW9,10164453.0,2399984.6,16248700.0
43,2419836.73,2019-02-11T10:14:53,100000000.0,2019-02-01,TZD,5250000000.0,TZD01022019,720,979.89,0.0,0.147804,TRMTZDWWWWW9,10172629.0,2384946.84,16135900.0
44,2446491.48,2019-02-14T10:14:58,100000000.0,2019-02-04,TZD,5250000000.0,TZD04022019,720,444.5,0.0,0.14631,TRMTZDWWWWW9,10244168.0,2427894.09,16594200.0
45,2435994.74,2019-02-15T10:14:57,100000000.0,2019-02-05,TZD,5250000000.0,TZD05022019,722,872.72,0.0,0.145443,TRMTZDWWWWW9,10269718.0,2423833.44,16665200.0
46,2619377.06,2019-02-16T10:14:56,100000000.0,2019-02-06,TZD,5250000000.0,TZD06022019,725,294.49,0.0,0.145657,TRMTZDWWWWW9,10294246.0,2413617.44,16570500.0
47,2659279.21,2019-02-17T10:15:00,100000000.0,2019-02-07,TZD,5250000000.0,TZD07022019,726,817.69,0.0,0.145532,TRMTZDWWWWW9,10302319.0,2527258.62,17365600.0
48,2425483.37,2019-02-18T10:14:58,100000000.0,2019-02-08,TZD,5250000000.0,TZD08022019,721,584.63,0.0,0.145901,TRMTZDWWWWW9,10310495.0,2535436.9,17377800.0
49,2414812.03,2019-02-21T10:14:57,100000000.0,2019-02-11,TZD,5250000000.0,TZD11022019,723,253.17,0.0,0.14541,TRMTZDWWWWW9,10382036.0,2400070.79,16505500.0
50,2475150.84,2019-02-22T10:14:56,100000000.0,2019-02-12,TZD,5250000000.0,TZD12022019,728,51.6,0.0,0.148131,TRMTZDWWWWW9,10407585.0,2412521.2,16286400.0
51,2449270.45,2019-02-23T10:14:55,100000000.0,2019-02-13,TZD,5250000000.0,TZD13022019,732,622.13,0.0,0.147409,TRMTZDWWWWW9,10432112.0,2444833.15,16585400.0
