,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,13037534.37,2018-12-13T10:14:57,120000000.0,2018-12-03,TZT,17000000000.0,TZT03122018,908,265.63,350680.34,0.022641,TRYTCZB00040,9032393.0,13010789.14,574643959.0
1,13045250.48,2018-12-14T10:14:56,120000000.0,2018-12-04,TZT,17000000000.0,TZT04122018,908,984.01,350228.7,0.022655,TRYTCZB00040,9057942.0,13018447.12,574644959.0
2,12967504.45,2018-12-15T10:14:55,120000000.0,2018-12-05,TZT,17000000000.0,TZT05122018,908,416.71,180114.66,0.022667,TRYTCZB00040,9082470.0,12939365.06,570846959.0
3,12983333.03,2018-12-16T10:14:54,120000000.0,2018-12-06,TZT,17000000000.0,TZT06122018,910,136.71,200125.75,0.02267,TRYTCZB00040,9090646.0,12954143.45,571425459.0
4,12970595.29,2018-12-17T10:14:59,120000000.0,2018-12-07,TZT,17000000000.0,TZT07122018,911,979.15,140088.22,0.022687,TRYTCZB00040,9098822.0,12963992.33,571429459.0
5,12992927.77,2018-12-20T10:14:57,120000000.0,2018-12-10,TZT,17000000000.0,TZT10122018,911,140.75,140269.26,0.022717,TRYTCZB00040,9170362.0,12983198.18,571520959.0
6,12911943.09,2018-12-21T10:14:56,120000000.0,2018-12-11,TZT,17000000000.0,TZT11122018,913,89052.09,160104.99,0.022726,TRYTCZB00040,9194890.0,12990357.72,571599974.0
7,12996736.81,2018-12-22T10:14:55,120000000.0,2018-12-12,TZT,17000000000.0,TZT12122018,915,883.95,240153.21,0.022735,TRYTCZB00040,9219418.0,12986219.54,571192474.0
8,13023381.87,2018-12-23T10:14:54,120000000.0,2018-12-13,TZT,17000000000.0,TZT13122018,916,133.75,250156.85,0.022753,TRYTCZB00040,9227594.0,13011656.63,571870974.0
9,13028998.4,2018-12-24T10:14:53,120000000.0,2018-12-14,TZT,17000000000.0,TZT14122018,915,833.92,260164.19,0.022765,TRYTCZB00040,9235771.0,13017210.49,571807974.0
10,13052156.0,2018-12-27T10:14:57,120000000.0,2018-12-17,TZT,17000000000.0,TZT17122018,914,466.62,450854.38,0.022807,TRYTCZB00040,9307310.0,13037712.57,571657474.0
11,13191943.49,2018-12-28T10:14:59,120000000.0,2018-12-18,TZT,17000000000.0,TZT18122018,915,911.97,550357.12,0.022876,TRYTCZB00040,9332757.0,13177173.73,576024974.0
12,13223963.53,2018-12-29T10:14:58,120000000.0,2018-12-19,TZT,17000000000.0,TZT19122018,916,954.35,600382.19,0.022889,TRYTCZB00040,9357285.0,13208634.02,577067974.0
13,13278677.05,2018-12-30T10:14:58,120000000.0,2018-12-20,TZT,17000000000.0,TZT20122018,917,426.0,350223.42,0.022905,TRYTCZB00040,9365460.0,13262042.65,579007974.0
14,13195655.22,2018-12-31T10:15:00,120000000.0,2018-12-21,TZT,17000000000.0,TZT21122018,917,108.47,250157.88,0.022933,TRYTCZB00040,9373636.0,13177964.61,574619974.0
15,13204391.9,2019-01-03T10:14:57,120000000.0,2018-12-24,TZT,17000000000.0,TZT24122018,915,523.03,250480.82,0.022954,TRYTCZB00040,9425758.0,13184801.21,574396474.0
16,13208535.57,2019-01-04T10:14:57,120000000.0,2018-12-25,TZT,17000000000.0,TZT25122018,914,578.97,380242.58,0.022953,TRYTCZB00040,9450286.0,13188226.1,574568974.0
17,13115321.31,2019-01-05T10:14:56,120000000.0,2018-12-26,TZT,17000000000.0,TZT26122018,914,814.43,340228.22,0.022944,TRYTCZB00040,9473792.0,13094480.84,570712474.0
18,13119785.64,2019-01-06T10:14:55,120000000.0,2018-12-27,TZT,17000000000.0,TZT27122018,912,531.59,300183.29,0.02296,TRYTCZB00040,9480946.0,13097895.29,570472474.0
19,13150318.15,2019-01-07T10:15:00,120000000.0,2018-12-28,TZT,17000000000.0,TZT28122018,912,833.99,360199.23,0.02297,TRYTCZB00040,9488101.0,13127961.57,571522474.0
20,13185087.8,2019-01-10T10:14:57,120000000.0,2018-12-31,TZT,17000000000.0,TZT31122018,913,361.17,370716.18,0.023005,TRYTCZB00040,9556575.0,13159955.0,572059474.0
21,13151966.97,2019-01-12T10:14:58,120000000.0,2019-01-02,TZT,17000000000.0,TZT02012019,910,17.46,300407.67,0.02304,TRYTCZB00040,9604505.0,13124965.58,569665974.0
22,13160856.81,2019-01-13T10:14:57,120000000.0,2019-01-03,TZT,17000000000.0,TZT03012019,912,682.42,300188.22,0.023054,TRYTCZB00040,9612681.0,13133758.45,569688974.0
23,13115145.72,2019-01-14T10:14:59,120000000.0,2019-01-04,TZT,17000000000.0,TZT04012019,911,99.87,300193.15,0.023054,TRYTCZB00040,9620857.0,13086875.83,567666974.0
24,13152234.89,2019-01-17T10:14:57,120000000.0,2019-01-07,TZT,17000000000.0,TZT07012019,913,724.1,300575.75,0.023094,TRYTCZB00040,9692397.0,13122305.19,568206474.0
25,13197290.92,2019-01-18T10:14:56,120000000.0,2019-01-08,TZT,17000000000.0,TZT08012019,912,801.21,350225.34,0.023105,TRYTCZB00040,9717946.0,13187461.27,570773474.0
26,13233519.31,2019-01-19T10:14:55,120000000.0,2019-01-09,TZT,17000000000.0,TZT09012019,908,950.26,650423.84,0.023118,TRYTCZB00040,9742474.0,13223069.21,571983974.0
27,13311535.07,2019-01-20T10:14:54,120000000.0,2019-01-10,TZT,17000000000.0,TZT10012019,909,678.8,700450.68,0.023131,TRYTCZB00040,9750651.0,13300039.53,574981974.0
28,13295183.0,2019-01-21T10:14:59,120000000.0,2019-01-11,TZT,17000000000.0,TZT11012019,910,910.72,540351.37,0.023142,TRYTCZB00040,9758827.0,13283334.26,573988474.0
29,13199521.37,2019-01-24T10:14:57,120000000.0,2019-01-14,TZT,17000000000.0,TZT14012019,909,195.73,400782.47,0.023182,TRYTCZB00040,9830367.0,13184668.7,568757540.0
30,13206538.24,2019-01-25T10:14:56,120000000.0,2019-01-15,TZT,17000000000.0,TZT15012019,908,931.75,400261.37,0.023197,TRYTCZB00040,9855917.0,13191657.42,568668540.0
31,13216901.67,2019-01-26T10:14:55,120000000.0,2019-01-16,TZT,17000000000.0,TZT16012019,909,329.56,450283.56,0.023215,TRYTCZB00040,9880445.0,13201307.65,568653040.0
32,13510023.96,2019-01-27T10:14:57,120000000.0,2019-01-17,TZT,17000000000.0,TZT17012019,911,10.91,380248.82,0.02371,TRYTCZB00040,9888518.0,13493327.04,569090540.0
33,13530572.25,2019-01-28T10:14:59,120000000.0,2019-01-18,TZT,17000000000.0,TZT18012019,913,845.57,1000643.84,0.02373,TRYTCZB00040,9896694.0,13513924.35,569490040.0
34,13565745.57,2019-01-31T10:14:57,120000000.0,2019-01-21,TZT,17000000000.0,TZT21012019,912,789.5,701380.82,0.023772,TRYTCZB00040,9968234.0,13546692.75,569860040.0
35,13634125.47,2019-02-01T10:14:56,120000000.0,2019-01-22,TZT,17000000000.0,TZT22012019,913,970.96,770509.47,0.023777,TRYTCZB00040,9993784.0,13614462.71,572581040.0
36,13744442.32,2019-02-02T10:14:55,120000000.0,2019-01-23,TZT,17000000000.0,TZT23012019,913,899.26,1000657.53,0.023794,TRYTCZB00040,10018312.0,13723908.87,576773540.0
37,13801489.06,2019-02-03T10:14:54,120000000.0,2019-01-24,TZT,17000000000.0,TZT24012019,918,982.5,1000641.1,0.023789,TRYTCZB00040,10026490.0,13780236.09,579271540.0
38,13715729.18,2019-02-04T10:15:00,120000000.0,2019-01-25,TZT,17000000000.0,TZT25012019,916,539.4,0.0,0.023805,TRYTCZB00040,10034666.0,13693230.24,575231040.0
39,13513418.74,2019-02-07T10:14:57,120000000.0,2019-01-28,TZT,17000000000.0,TZT28012019,914,804.89,771496.75,0.023842,TRYTCZB00040,10106204.0,13488830.94,565763540.0
40,13524779.94,2019-02-08T10:14:56,120000000.0,2019-01-29,TZT,17000000000.0,TZT29012019,915,968.97,150095.55,0.02386,TRYTCZB00040,10131754.0,13499566.88,565792040.0
41,13528591.27,2019-02-09T10:14:55,120000000.0,2019-01-30,TZT,17000000000.0,TZT30012019,916,685.06,650414.04,0.023866,TRYTCZB00040,10156284.0,13502307.04,565745540.0
42,13539434.34,2019-02-10T10:14:54,120000000.0,2019-01-31,TZT,17000000000.0,TZT31012019,915,891.06,700446.85,0.023887,TRYTCZB00040,10164458.0,13512568.83,565694540.0
43,13560783.01,2019-02-11T10:14:53,120000000.0,2019-02-01,TZT,17000000000.0,TZT01022019,915,954.04,700451.64,0.023905,TRYTCZB00040,10172634.0,13533189.42,566113540.0
44,13581559.7,2019-02-14T10:14:58,120000000.0,2019-02-04,TZT,17000000000.0,TZT04022019,912,241.97,751442.47,0.023944,TRYTCZB00040,10244173.0,13550879.76,565937040.0
45,13581306.24,2019-02-15T10:14:57,120000000.0,2019-02-05,TZT,17000000000.0,TZT05022019,911,465.02,250157.53,0.02395,TRYTCZB00040,10269723.0,13550055.03,565759040.0
46,13601857.89,2019-02-16T10:14:56,120000000.0,2019-02-06,TZT,17000000000.0,TZT06022019,915,227.05,300189.04,0.023965,TRYTCZB00040,10294251.0,13569572.64,566235540.0
47,13610096.5,2019-02-17T10:15:00,120000000.0,2019-02-07,TZT,17000000000.0,TZT07022019,918,706.88,300192.33,0.023976,TRYTCZB00040,10302324.0,13600214.6,567245040.0
48,13606726.74,2019-02-18T10:14:58,120000000.0,2019-02-08,TZT,17000000000.0,TZT08022019,917,596.14,800438.36,0.023989,TRYTCZB00040,10310500.0,13595939.44,566759540.0
49,13634282.91,2019-02-21T10:14:57,120000000.0,2019-02-11,TZT,17000000000.0,TZT11022019,915,277.7,601136.71,0.024037,TRYTCZB00040,10382041.0,13620793.78,566653540.0
50,13644281.9,2019-02-22T10:14:56,120000000.0,2019-02-12,TZT,17000000000.0,TZT12022019,916,529.15,600375.62,0.024054,TRYTCZB00040,10407590.0,13630252.72,566654540.0
51,13662838.13,2019-02-23T10:14:55,120000000.0,2019-02-13,TZT,17000000000.0,TZT13022019,918,43.17,650405.14,0.024072,TRYTCZB00040,10432117.0,13647790.07,566962040.0
52,13922050.03,2019-02-24T10:14:54,120000000.0,2019-02-14,TZT,17000000000.0,TZT14022019,920,47.63,900568.36,0.024089,TRYTCZB00040,10440293.0,13906217.55,577289540.0
53,13914863.09,2019-02-25T10:14:59,120000000.0,2019-02-15,TZT,17000000000.0,TZT15022019,917,9.32,900567.12,0.024085,TRYTCZB00040,10448469.0,13898201.23,577057040.0
54,13984393.33,2019-02-28T10:14:57,120000000.0,2019-02-18,TZT,17000000000.0,TZT18022019,916,410.02,0.0,0.024129,TRYTCZB00040,10520009.0,13967042.29,578850540.0
55,13746140.04,2019-03-01T10:14:55,120000000.0,2019-02-19,TZT,17000000000.0,TZT19022019,917,518.47,350222.95,0.024122,TRYTCZB00040,10545559.0,13728285.03,569119540.0
56,13757266.18,2019-03-02T10:14:55,120000000.0,2019-02-20,TZT,17000000000.0,TZT20022019,920,164.57,350224.38,0.024141,TRYTCZB00040,10570089.0,13738273.19,569095540.0
57,13774092.47,2019-03-03T10:14:53,120000000.0,2019-02-21,TZT,17000000000.0,TZT21022019,920,603.08,0.0,0.02416,TRYTCZB00040,10578265.0,13754750.59,569318040.0
58,13740476.87,2019-03-04T10:14:52,120000000.0,2019-02-22,TZT,17000000000.0,TZT22022019,919,787.56,0.0,0.024178,TRYTCZB00040,10586425.0,13720531.85,567488540.0
59,13768682.81,2019-03-07T10:14:48,120000000.0,2019-02-25,TZT,17000000000.0,TZT25022019,918,680.58,250467.47,0.024225,TRYTCZB00040,10657965.0,13746274.4,567448040.0
60,13784596.06,2019-03-08T10:15:00,120000000.0,2019-02-26,TZT,17000000000.0,TZT26022019,920,3252.41,350218.15,0.024227,TRYTCZB00040,10658987.0,13761560.27,568036040.0
