,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,1617148.42,2018-12-13T10:14:57,0.0,2018-12-03,UPH,1500000000.0,UPH03122018,7,649.32,98190.5,1.044174,TRYUNPO00114,9032397.0,1698400.9,1626550.0
1,1623867.6,2018-12-14T10:14:56,0.0,2018-12-04,UPH,1500000000.0,UPH04122018,7,395.26,130084.23,1.040681,TRYUNPO00114,9057946.0,1692719.64,1626550.0
2,1609140.64,2018-12-15T10:14:55,0.0,2018-12-05,UPH,1500000000.0,UPH05122018,6,732.65,184118.47,1.027992,TRYUNPO00114,9082474.0,1671822.86,1626300.0
3,1794682.47,2018-12-16T10:14:54,0.0,2018-12-06,UPH,1500000000.0,UPH06122018,6,364.87,204126.59,1.025971,TRYUNPO00114,9090650.0,1668536.76,1626300.0
4,1800599.25,2018-12-17T10:14:59,0.0,2018-12-07,UPH,1500000000.0,UPH07122018,6,379.81,247156.66,1.016648,TRYUNPO00114,9098826.0,1653374.79,1626300.0
5,1670872.96,2018-12-20T10:14:57,0.0,2018-12-10,UPH,1500000000.0,UPH10122018,6,583.36,78150.66,1.02347,TRYUNPO00114,9170366.0,1664469.76,1626300.0
6,1642230.49,2018-12-21T10:14:56,0.0,2018-12-11,UPH,1500000000.0,UPH11122018,6,643.23,100064.66,1.010875,TRYUNPO00114,9194894.0,1643985.45,1626300.0
7,1580690.96,2018-12-22T10:14:55,0.0,2018-12-12,UPH,1500000000.0,UPH12122018,6,703.96,72046.16,1.007829,TRYUNPO00114,9219422.0,1639032.31,1626300.0
8,1580885.33,2018-12-23T10:14:54,0.0,2018-12-13,UPH,1500000000.0,UPH13122018,6,872.47,102064.98,0.990128,TRYUNPO00114,9227598.0,1610244.62,1626300.0
9,1612728.24,2018-12-24T10:14:53,0.0,2018-12-14,UPH,1500000000.0,UPH14122018,6,558.04,131082.73,1.005793,TRYUNPO00114,9235775.0,1635721.47,1626300.0
10,1587190.12,2018-12-27T10:14:57,0.0,2018-12-17,UPH,1500000000.0,UPH17122018,7,809.26,132251.7,0.997885,TRYUNPO00114,9307314.0,1622977.82,1626418.0
11,1603625.45,2018-12-28T10:14:59,0.0,2018-12-18,UPH,1500000000.0,UPH18122018,7,727.71,155099.37,0.99501,TRYUNPO00114,9332761.0,1618302.19,1626418.0
12,1633545.99,2018-12-29T10:14:58,0.0,2018-12-19,UPH,1500000000.0,UPH19122018,7,888.2,169107.88,1.005962,TRYUNPO00114,9357289.0,1636115.29,1626418.0
13,1683103.02,2018-12-30T10:14:58,0.0,2018-12-20,UPH,1500000000.0,UPH20122018,7,760.75,171108.22,1.017728,TRYUNPO00114,9365464.0,1655251.79,1626418.0
