,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,128902633.98,2018-12-13T10:14:57,50000000000.0,2018-12-03,YAC,50000000000.0,YAC03122018,493,2535.51,6269265.43,1.115561,TRYYAPO00071,9032412.0,128799646.87,115457330.0
1,129573485.22,2018-12-14T10:14:56,50000000000.0,2018-12-04,YAC,50000000000.0,YAC04122018,492,2643.86,6267066.67,1.121408,TRYYAPO00071,9057961.0,129348044.92,115344312.0
2,129434815.23,2018-12-15T10:14:55,50000000000.0,2018-12-05,YAC,50000000000.0,YAC05122018,491,1273.37,6254023.97,1.120331,TRYYAPO00071,9082489.0,129216501.59,115337745.0
3,130250809.36,2018-12-16T10:14:54,50000000000.0,2018-12-06,YAC,50000000000.0,YAC06122018,490,2721.0,6066911.88,1.129046,TRYYAPO00071,9090665.0,130136172.94,115262073.0
4,130151828.62,2018-12-17T10:14:59,50000000000.0,2018-12-07,YAC,50000000000.0,YAC07122018,488,2025.85,6063868.97,1.12822,TRYYAPO00071,9098841.0,129222043.44,114536204.0
5,129413143.59,2018-12-20T10:14:57,50000000000.0,2018-12-10,YAC,50000000000.0,YAC10122018,487,877.51,5991525.84,1.122441,TRYYAPO00071,9170381.0,128560081.03,114536204.0
6,128898668.99,2018-12-21T10:14:56,50000000000.0,2018-12-11,YAC,50000000000.0,YAC11122018,490,2553.02,5823763.06,1.119438,TRYYAPO00071,9194909.0,128864491.54,115115299.0
7,129673445.48,2018-12-22T10:14:55,50000000000.0,2018-12-12,YAC,50000000000.0,YAC12122018,490,1825.33,5825764.36,1.12618,TRYYAPO00071,9219437.0,129328520.88,114838278.0
8,129922308.75,2018-12-23T10:14:54,50000000000.0,2018-12-13,YAC,50000000000.0,YAC13122018,493,1910.86,6229965.88,1.124838,TRYYAPO00071,9227613.0,129030279.33,114710077.0
9,130056909.79,2018-12-24T10:14:53,50000000000.0,2018-12-14,YAC,50000000000.0,YAC14122018,493,1883.38,5926813.44,1.128681,TRYYAPO00071,9235790.0,128939298.24,114238877.0
10,129055931.71,2018-12-27T10:14:57,50000000000.0,2018-12-17,YAC,50000000000.0,YAC17122018,493,2552.13,5490562.14,1.123768,TRYYAPO00071,9307329.0,128370320.56,114232090.0
11,128306289.23,2018-12-28T10:14:59,50000000000.0,2018-12-18,YAC,50000000000.0,YAC18122018,493,2579.61,5248376.92,1.119342,TRYYAPO00071,9332776.0,128141479.94,114479333.0
12,128473431.78,2018-12-29T10:14:58,50000000000.0,2018-12-19,YAC,50000000000.0,YAC19122018,493,2941.84,5143316.36,1.121727,TRYYAPO00071,9357304.0,128394548.02,114461536.0
13,129382224.43,2018-12-30T10:14:58,50000000000.0,2018-12-20,YAC,50000000000.0,YAC20122018,495,1796.05,6167960.16,1.120703,TRYYAPO00071,9365479.0,128967513.68,115077358.0
