,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,663814500.48,2018-12-13T10:14:57,0.0,2018-12-03,YAN,50000000000.0,YAN03122018,2375,8751.57,13119863.28,1.295901,TRYYAPO00063,9032414.0,661515994.79,510467854.0
1,665152875.36,2018-12-14T10:14:56,0.0,2018-12-04,YAN,50000000000.0,YAN04122018,2366,7733.49,11600471.92,1.301496,TRYYAPO00063,9057963.0,663731354.66,509975906.0
2,663214460.05,2018-12-15T10:14:55,0.0,2018-12-05,YAN,50000000000.0,YAN05122018,2360,5971.64,11321547.08,1.298228,TRYYAPO00063,9082491.0,661290937.02,509379718.0
3,666940069.52,2018-12-16T10:14:54,0.0,2018-12-06,YAN,50000000000.0,YAN06122018,2362,10406.66,11082656.34,1.307379,TRYYAPO00063,9090667.0,665643918.63,509143757.0
4,665664925.74,2018-12-17T10:14:59,0.0,2018-12-07,YAN,50000000000.0,YAN07122018,2354,9953.16,11089928.42,1.30645,TRYYAPO00063,9098843.0,664733193.95,508808696.0
5,661995804.66,2018-12-20T10:14:57,0.0,2018-12-10,YAN,50000000000.0,YAN10122018,2348,9192.24,11112753.3,1.299875,TRYYAPO00063,9170383.0,660668644.05,508255527.0
6,660303290.65,2018-12-21T10:14:56,0.0,2018-12-11,YAN,50000000000.0,YAN11122018,2341,9515.07,11119947.06,1.297422,TRYYAPO00063,9194911.0,658418552.68,507482381.0
7,663332640.66,2018-12-22T10:14:55,0.0,2018-12-12,YAN,50000000000.0,YAN12122018,2337,9545.71,11127145.48,1.304564,TRYYAPO00063,9219439.0,661509370.19,507073015.0
8,660416360.01,2018-12-23T10:14:54,0.0,2018-12-13,YAN,50000000000.0,YAN13122018,2328,6780.48,11134075.82,1.300774,TRYYAPO00063,9227615.0,659545135.94,507040460.0
9,661508521.1,2018-12-24T10:14:53,0.0,2018-12-14,YAN,50000000000.0,YAN14122018,2320,9384.57,11141417.63,1.304174,TRYYAPO00063,9235792.0,660824780.41,506700043.0
10,658956302.58,2018-12-27T10:14:57,0.0,2018-12-17,YAN,50000000000.0,YAN17122018,2320,6935.21,12127968.8,1.299134,TRYYAPO00063,9307331.0,658243944.19,506679124.0
11,656064095.29,2018-12-28T10:14:59,0.0,2018-12-18,YAN,50000000000.0,YAN18122018,2320,7200.08,11696709.36,1.294262,TRYYAPO00063,9332778.0,655129877.14,506180376.0
12,656636981.1,2018-12-29T10:14:58,0.0,2018-12-19,YAN,50000000000.0,YAN19122018,2320,6026.44,11677906.11,1.295422,TRYYAPO00063,9357306.0,654934253.34,505576085.0
13,655234207.93,2018-12-30T10:14:58,0.0,2018-12-20,YAN,50000000000.0,YAN20122018,2314,8234.3,11241937.44,1.293466,TRYYAPO00063,9365481.0,654046378.88,505653988.0
14,652438349.34,2018-12-31T10:15:00,0.0,2018-12-21,YAN,50000000000.0,YAN21122018,2310,5345.31,26564621.89,1.289362,TRYYAPO00063,9373657.0,651158941.35,505023957.0
15,649675560.6,2019-01-03T10:14:57,0.0,2018-12-24,YAN,50000000000.0,YAN24122018,2306,6560.13,26490004.5,1.283956,TRYYAPO00063,9425779.0,647988156.14,504680828.0
16,652938977.42,2019-01-04T10:14:57,0.0,2018-12-25,YAN,50000000000.0,YAN25122018,2299,7001.26,27683679.33,1.280136,TRYYAPO00063,9450307.0,650779251.47,508367093.0
17,652698146.29,2019-01-05T10:14:56,0.0,2018-12-26,YAN,50000000000.0,YAN26122018,2294,8313.51,27255330.13,1.280484,TRYYAPO00063,9473813.0,647240538.17,505465662.0
18,653319698.9,2019-01-06T10:14:55,0.0,2018-12-27,YAN,50000000000.0,YAN27122018,2280,6992.15,25988217.52,1.291975,TRYYAPO00063,9480967.0,652168051.5,504783782.0
19,654421648.8,2019-01-07T10:15:00,0.0,2018-12-28,YAN,50000000000.0,YAN28122018,2275,6799.7,26233588.74,1.293648,TRYYAPO00063,9488122.0,652733724.48,504568257.0
20,653312210.9,2019-01-10T10:14:57,0.0,2018-12-31,YAN,50000000000.0,YAN31122018,2271,6289.48,25436011.11,1.292954,TRYYAPO00063,9556596.0,652246582.83,504462457.0
21,655949914.62,2019-01-12T10:14:58,0.0,2019-01-02,YAN,50000000000.0,YAN02012019,2267,7887.27,25165626.92,1.298688,TRYYAPO00063,9604526.0,653300969.71,503046862.0
22,655680806.94,2019-01-13T10:14:57,0.0,2019-01-03,YAN,50000000000.0,YAN03012019,2265,6814.99,25088695.11,1.298418,TRYYAPO00063,9612702.0,652689779.27,502680712.0
23,652325516.16,2019-01-14T10:14:59,0.0,2019-01-04,YAN,50000000000.0,YAN04012019,2261,5604.74,23301836.9,1.295255,TRYYAPO00063,9620878.0,648985801.24,501048494.0
24,655700273.15,2019-01-17T10:14:57,0.0,2019-01-07,YAN,50000000000.0,YAN07012019,2262,4471.36,22328254.16,1.303849,TRYYAPO00063,9692418.0,653090519.75,500894374.0
25,654597128.9,2019-01-18T10:14:56,0.0,2019-01-08,YAN,50000000000.0,YAN08012019,2258,5346.72,20256516.31,1.305751,TRYYAPO00063,9717967.0,653377816.4,500384710.0
26,657908322.07,2019-01-19T10:14:55,0.0,2019-01-09,YAN,50000000000.0,YAN09012019,2251,6733.05,20036793.84,1.312798,TRYYAPO00063,9742495.0,654811837.51,498791051.0
27,662800915.29,2019-01-20T10:14:54,0.0,2019-01-10,YAN,50000000000.0,YAN10012019,2247,5155.58,19319912.84,1.324076,TRYYAPO00063,9750672.0,656561617.98,495864010.0
28,661497995.67,2019-01-21T10:14:59,0.0,2019-01-11,YAN,50000000000.0,YAN11012019,2248,5414.63,19268280.39,1.325532,TRYYAPO00063,9758848.0,655903170.78,494822741.0
