,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,419582775.18,2018-12-13T10:14:57,50000000.0,2018-12-03,YAY,50000000000.0,YAY03122018,3197,13789.5,10866259.17,57.566044,TRMYK9WWWWW2,9032418.0,417805771.76,7257851.0
1,429081277.52,2018-12-14T10:14:56,50000000.0,2018-12-04,YAY,50000000000.0,YAY04122018,3194,14187.2,11104175.05,58.832103,TRMYK9WWWWW2,9057967.0,427025521.87,7258376.0
2,419058366.73,2018-12-15T10:14:55,50000000.0,2018-12-05,YAY,50000000000.0,YAY05122018,3198,10867.99,10932018.94,57.469841,TRMYK9WWWWW2,9082495.0,417287710.38,7260986.0
3,425296327.27,2018-12-16T10:14:54,50000000.0,2018-12-06,YAY,50000000000.0,YAY06122018,3197,16801.68,9681189.35,58.501615,TRMYK9WWWWW2,9090671.0,424921158.79,7263409.0
4,428369169.54,2018-12-17T10:14:59,50000000.0,2018-12-07,YAY,50000000000.0,YAY07122018,3196,37527.26,9694177.05,58.922169,TRMYK9WWWWW2,9098847.0,427638248.76,7257680.0
5,413183329.23,2018-12-20T10:14:57,50000000.0,2018-12-10,YAY,50000000000.0,YAY10122018,3193,72239.27,9620490.38,56.830539,TRMYK9WWWWW2,9170387.0,412186617.46,7252907.0
6,414063757.26,2018-12-21T10:14:56,50000000.0,2018-12-11,YAY,50000000000.0,YAY11122018,3191,9096.29,9508144.17,56.968059,TRMYK9WWWWW2,9194915.0,413333007.65,7255522.0
7,420019763.16,2018-12-22T10:14:55,50000000.0,2018-12-12,YAY,50000000000.0,YAY12122018,3189,9425.48,9308006.32,57.813827,TRMYK9WWWWW2,9219443.0,418860543.64,7244989.0
8,425631080.25,2018-12-23T10:14:54,50000000.0,2018-12-13,YAY,50000000000.0,YAY13122018,3189,8586.76,9851262.39,58.509041,TRMYK9WWWWW2,9227619.0,424054982.59,7247683.0
9,425823853.31,2018-12-24T10:14:53,50000000.0,2018-12-14,YAY,50000000000.0,YAY14122018,3185,218786.32,9205923.29,58.64845,TRMYK9WWWWW2,9235796.0,424989538.57,7246390.0
10,415875679.24,2018-12-27T10:14:57,50000000.0,2018-12-17,YAY,50000000000.0,YAY17122018,3175,219929.89,9027352.04,57.287265,TRMYK9WWWWW2,9307335.0,415131878.14,7246495.0
11,396457550.38,2018-12-28T10:14:59,50000000.0,2018-12-18,YAY,50000000000.0,YAY18122018,3170,8648.1,9421061.71,55.952286,TRMYK9WWWWW2,9332782.0,405854380.65,7253580.0
12,402863745.51,2018-12-29T10:14:58,50000000.0,2018-12-19,YAY,50000000000.0,YAY19122018,3172,8894.24,9698253.33,56.081267,TRMYK9WWWWW2,9357310.0,406772737.74,7253273.0
13,408700788.05,2018-12-30T10:14:58,50000000.0,2018-12-20,YAY,50000000000.0,YAY20122018,3174,10534.35,10469722.12,54.639131,TRMYK9WWWWW2,9365485.0,396675668.16,7259919.0
14,392009310.84,2018-12-31T10:15:00,50000000.0,2018-12-21,YAY,50000000000.0,YAY21122018,3159,10773.18,9984410.52,53.112737,TRMYK9WWWWW2,9373661.0,385385385.57,7255988.0
15,376505625.74,2019-01-03T10:14:57,50000000.0,2018-12-24,YAY,50000000000.0,YAY24122018,3151,14000.73,10032175.58,51.665708,TRMYK9WWWWW2,9425783.0,374553187.13,7249551.0
16,371862396.88,2019-01-04T10:14:57,50000000.0,2018-12-25,YAY,50000000000.0,YAY25122018,3144,12803.0,12996308.76,50.619808,TRMYK9WWWWW2,9450311.0,369433987.17,7298210.0
17,372589240.56,2019-01-05T10:14:56,50000000.0,2018-12-26,YAY,50000000000.0,YAY26122018,3144,11601.09,13005314.52,50.715543,TRMYK9WWWWW2,9473817.0,366808533.33,7232665.0
18,394093489.48,2019-01-06T10:14:55,50000000.0,2018-12-27,YAY,50000000000.0,YAY27122018,3131,11112.56,12167945.72,53.800566,TRMYK9WWWWW2,9480971.0,389136478.47,7232944.0
19,398156225.55,2019-01-07T10:15:00,50000000.0,2018-12-28,YAY,50000000000.0,YAY28122018,3121,27136.33,14772522.66,54.014125,TRMYK9WWWWW2,9488126.0,392180464.9,7260702.0
20,393789074.86,2019-01-10T10:14:57,50000000.0,2018-12-31,YAY,50000000000.0,YAY31122018,3102,26425.28,11648407.92,53.831568,TRMYK9WWWWW2,9556600.0,388321765.5,7213644.0
21,396258207.67,2019-01-12T10:14:58,50000000.0,2019-01-02,YAY,50000000000.0,YAY02012019,3076,24603.4,10104699.41,54.390732,TRMYK9WWWWW2,9604530.0,392368812.9,7213891.0
22,398775587.41,2019-01-13T10:14:57,50000000.0,2019-01-03,YAY,50000000000.0,YAY03012019,3075,22145.25,7613940.64,55.081207,TRMYK9WWWWW2,9612706.0,397495844.97,7216542.0
23,394060286.3,2019-01-14T10:14:59,50000000.0,2019-01-04,YAY,50000000000.0,YAY04012019,3079,49729.87,8849681.97,54.256135,TRMYK9WWWWW2,9620882.0,392403424.92,7232425.0
24,406149191.17,2019-01-17T10:14:57,50000000.0,2019-01-07,YAY,50000000000.0,YAY07012019,3077,153571.49,7757987.48,56.073469,TRMYK9WWWWW2,9692422.0,403881719.52,7202724.0
25,407891607.73,2019-01-18T10:14:56,50000000.0,2019-01-08,YAY,50000000000.0,YAY08012019,3073,13853.94,8092206.7,56.222652,TRMYK9WWWWW2,9717971.0,404720896.97,7198538.0
26,415990214.37,2019-01-19T10:14:55,50000000.0,2019-01-09,YAY,50000000000.0,YAY09012019,3070,16227.16,6801376.15,57.535122,TRMYK9WWWWW2,9742499.0,414468406.97,7203746.0
27,422988758.89,2019-01-20T10:14:54,50000000.0,2019-01-10,YAY,50000000000.0,YAY10012019,3059,11608.83,5903811.06,58.650847,TRMYK9WWWWW2,9750676.0,421679240.0,7189653.0
28,422797975.16,2019-01-21T10:14:59,50000000.0,2019-01-11,YAY,50000000000.0,YAY11012019,3065,12318.74,6411142.61,58.547746,TRMYK9WWWWW2,9758852.0,420936809.33,7189633.0
29,418191404.81,2019-01-24T10:14:57,50000000.0,2019-01-14,YAY,50000000000.0,YAY14012019,3061,12437.92,5744096.89,57.983435,TRMYK9WWWWW2,9830392.0,415839683.16,7171698.0
30,419968867.73,2019-01-25T10:14:56,50000000.0,2019-01-15,YAY,50000000000.0,YAY15012019,3060,11244.91,5266410.14,58.292902,TRMYK9WWWWW2,9855942.0,417650340.88,7164686.0
31,421054418.87,2019-01-26T10:14:55,50000000.0,2019-01-16,YAY,50000000000.0,YAY16012019,3059,10703.46,4172722.96,58.593205,TRMYK9WWWWW2,9880470.0,419604166.38,7161311.0
32,417499610.43,2019-01-27T10:14:57,50000000.0,2019-01-17,YAY,50000000000.0,YAY17012019,3055,13153.96,3752429.79,58.152437,TRMYK9WWWWW2,9888543.0,416483275.42,7161923.0
