,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,1122551578.39,2018-12-13T10:14:57,1000000000.0,2018-12-03,YBE,50000000000.0,YBE03122018,3615,1698844.17,5482726.62,0.126379,TRMKHYWWWWW2,9032419.0,1126006877.01,8909777335.0
1,1143154135.26,2018-12-14T10:14:56,1000000000.0,2018-12-04,YBE,50000000000.0,YBE04122018,3613,4976.36,12797298.2,0.127897,TRMKHYWWWWW2,9057968.0,1139293874.85,8907925769.0
2,1143833619.48,2018-12-15T10:14:55,1000000000.0,2018-12-05,YBE,50000000000.0,YBE05122018,3611,5849.93,12813244.32,0.129446,TRMKHYWWWWW2,9082496.0,1136267718.7,8777913592.0
3,1156745413.21,2018-12-16T10:14:54,1000000000.0,2018-12-06,YBE,50000000000.0,YBE06122018,3612,10450.57,11439374.58,0.131846,TRMKHYWWWWW2,9090672.0,1156701699.2,8773147602.0
4,1147641871.47,2018-12-17T10:14:59,1000000000.0,2018-12-07,YBE,50000000000.0,YBE07122018,3613,12667.73,7654883.42,0.131243,TRMKHYWWWWW2,9098848.0,1151134997.1,8771013288.0
5,1151986859.63,2018-12-20T10:14:57,1000000000.0,2018-12-10,YBE,50000000000.0,YBE10122018,3614,6951.56,5936419.83,0.131008,TRMKHYWWWWW2,9170388.0,1147980347.58,8762643316.0
6,1136394192.97,2018-12-21T10:14:56,1000000000.0,2018-12-11,YBE,50000000000.0,YBE11122018,3608,642118.92,5835764.92,0.130438,TRMKHYWWWWW2,9194916.0,1142974937.0,8762580709.0
7,1144878238.58,2018-12-22T10:14:55,1000000000.0,2018-12-12,YBE,50000000000.0,YBE12122018,3607,32305.95,5358462.41,0.132599,TRMKHYWWWWW2,9219444.0,1158324579.72,8735524364.0
8,1158092955.37,2018-12-23T10:14:54,1000000000.0,2018-12-13,YBE,50000000000.0,YBE13122018,3602,278075.38,15573914.06,0.132977,TRMKHYWWWWW2,9227620.0,1161518402.49,8734720959.0
9,1169214200.66,2018-12-24T10:14:53,1000000000.0,2018-12-14,YBE,50000000000.0,YBE14122018,3601,541524.71,22026195.12,0.13354,TRMKHYWWWWW2,9235797.0,1166470411.46,8734987459.0
10,1173260520.03,2018-12-27T10:14:57,1000000000.0,2018-12-17,YBE,50000000000.0,YBE17122018,3600,541871.53,21416198.11,0.134061,TRMKHYWWWWW2,9307336.0,1170690392.45,8732523464.0
11,1178265511.59,2018-12-28T10:14:59,1000000000.0,2018-12-18,YBE,50000000000.0,YBE18122018,3604,543460.56,22254309.73,0.134534,TRMKHYWWWWW2,9332783.0,1175651767.45,8738716987.0
12,1176173854.02,2018-12-29T10:14:58,1000000000.0,2018-12-19,YBE,50000000000.0,YBE19122018,3603,541130.76,22092244.85,0.134308,TRMKHYWWWWW2,9357311.0,1172336848.09,8728707037.0
