,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,342087025.52,2018-12-13T10:14:57,600000000.0,2018-12-03,YBS,100000000000.0,YBS03122018,3862,4430.47,46585807.34,0.019401,TRYYKBK00409,9032421.0,337296736.72,17385094779.0
1,344303940.93,2018-12-14T10:14:56,600000000.0,2018-12-04,YBS,100000000000.0,YBS04122018,3864,3937.77,135087.1,0.01941,TRYYKBK00409,9057970.0,339495794.01,17490759950.0
2,344400765.08,2018-12-15T10:14:55,600000000.0,2018-12-05,YBS,100000000000.0,YBS05122018,3860,5456.89,83053.44,0.019423,TRYYKBK00409,9082498.0,339574880.9,17483350795.0
3,344193176.04,2018-12-16T10:14:54,600000000.0,2018-12-06,YBS,100000000000.0,YBS06122018,3865,4227.25,214134.26,0.019432,TRYYKBK00409,9090674.0,339850858.62,17489421357.0
4,344693619.52,2018-12-17T10:14:59,600000000.0,2018-12-07,YBS,100000000000.0,YBS07122018,3870,4456.1,206130.09,0.019446,TRYYKBK00409,9098850.0,340334097.3,17501660383.0
5,345858308.01,2018-12-20T10:14:57,600000000.0,2018-12-10,YBS,100000000000.0,YBS10122018,3869,3570.69,43004964.36,0.019481,TRYYKBK00409,9170390.0,341445233.69,17527127367.0
6,345853207.6,2018-12-21T10:14:56,600000000.0,2018-12-11,YBS,100000000000.0,YBS11122018,3869,685875.52,456294.84,0.019532,TRYYKBK00409,9194918.0,342288474.18,17524727711.0
7,351450076.07,2018-12-22T10:14:55,600000000.0,2018-12-12,YBS,100000000000.0,YBS12122018,3868,3484.12,48382023.56,0.019544,TRYYKBK00409,9219446.0,347187626.29,17764820355.0
8,351776704.23,2018-12-23T10:14:54,600000000.0,2018-12-13,YBS,100000000000.0,YBS13122018,3865,3897.18,48498939.84,0.019556,TRYYKBK00409,9227622.0,347504596.65,17769724436.0
9,353681750.69,2018-12-24T10:14:53,600000000.0,2018-12-14,YBS,100000000000.0,YBS14122018,3859,4514.66,471296.79,0.019566,TRYYKBK00409,9235799.0,349392371.42,17856892113.0
10,354178636.58,2018-12-27T10:14:57,600000000.0,2018-12-17,YBS,100000000000.0,YBS17122018,3855,3876.11,64120.99,0.019602,TRYYKBK00409,9307338.0,349835089.36,17846455512.0
11,360031262.28,2018-12-28T10:14:59,600000000.0,2018-12-18,YBS,100000000000.0,YBS18122018,3859,4174.28,466296.84,0.019613,TRYYKBK00409,9332785.0,350751605.33,17883221336.0
12,354156006.32,2018-12-29T10:14:58,600000000.0,2018-12-19,YBS,100000000000.0,YBS19122018,3853,4202.68,95060.64,0.019625,TRYYKBK00409,9357313.0,349776128.23,17823161545.0
13,354680796.3,2018-12-30T10:14:58,600000000.0,2018-12-20,YBS,100000000000.0,YBS20122018,3853,4267.64,212133.88,0.019637,TRYYKBK00409,9365488.0,350283016.61,17838013768.0
14,337281869.94,2018-12-31T10:15:00,600000000.0,2018-12-21,YBS,100000000000.0,YBS21122018,3847,5067.03,0.0,0.019655,TRYYKBK00409,9373664.0,332869261.91,16935352618.0
15,337206447.75,2019-01-03T10:14:57,600000000.0,2018-12-24,YBS,100000000000.0,YBS24122018,3848,3988.56,447857.87,0.019656,TRYYKBK00409,9425786.0,332728864.0,16927226631.0
16,337145078.61,2019-01-04T10:14:57,600000000.0,2018-12-25,YBS,100000000000.0,YBS25122018,3844,4926.67,329209.12,0.019661,TRYYKBK00409,9450314.0,334774220.78,17026994503.0
17,337686233.31,2019-01-05T10:14:56,600000000.0,2018-12-26,YBS,100000000000.0,YBS26122018,3840,4719.5,646440.7,0.019657,TRYYKBK00409,9473820.0,333185290.14,16950291323.0
18,337588019.53,2019-01-06T10:14:55,600000000.0,2018-12-27,YBS,100000000000.0,YBS27122018,3841,8086.28,2416441.81,0.019668,TRYYKBK00409,9480974.0,333098922.05,16936218608.0
19,351277977.92,2019-01-07T10:15:00,600000000.0,2018-12-28,YBS,200000000000.0,YBS28122018,3893,15975.34,11414941.56,0.019696,TRYYKBK00409,9488129.0,345398445.14,17536323327.58
20,351901233.02,2019-01-10T10:14:57,600000000.0,2018-12-31,YBS,100000000000.0,YBS31122018,3893,7364.5,408788.21,0.019722,TRYYKBK00409,9556603.0,345959303.46,17541661204.0
21,352429189.4,2019-01-12T10:14:58,600000000.0,2019-01-02,YBS,100000000000.0,YBS02012019,3891,6127.49,1472990.89,0.019752,TRYYKBK00409,9604533.0,346449268.57,17539827799.0
22,353045759.58,2019-01-13T10:14:57,600000000.0,2019-01-03,YBS,100000000000.0,YBS03012019,3893,4675.88,35022.82,0.019762,TRYYKBK00409,9612709.0,346987336.61,17557869721.0
23,340615385.45,2019-01-14T10:14:59,600000000.0,2019-01-04,YBS,100000000000.0,YBS04012019,3837,3837.39,251159.54,0.019771,TRYYKBK00409,9620885.0,334708577.04,16929237132.0
24,341332148.32,2019-01-17T10:14:57,600000000.0,2019-01-07,YBS,100000000000.0,YBS07012019,3833,5483.86,1072018.34,0.019802,TRYYKBK00409,9692425.0,335690029.41,16952096519.0
25,341529701.04,2019-01-18T10:14:56,600000000.0,2019-01-08,YBS,100000000000.0,YBS08012019,3836,4396.2,352227.59,0.019814,TRYYKBK00409,9717974.0,335921499.82,16953522564.0
