,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,6154411.83,2018-12-13T10:14:57,100000000.0,2018-12-03,YDI,50000000000.0,YDI03122018,190,7306.75,64124.41,0.017075,TRYYKBK00458,9032429.0,6152648.0,360333513.0
1,6095471.17,2018-12-14T10:14:56,100000000.0,2018-12-04,YDI,50000000000.0,YDI04122018,189,6393.56,66042.58,0.016907,TRYYKBK00458,9057978.0,6092292.74,360337978.0
2,6079845.75,2018-12-15T10:14:55,100000000.0,2018-12-05,YDI,50000000000.0,YDI05122018,190,7135.92,80051.29,0.016824,TRYYKBK00458,9082506.0,6062846.12,360366375.0
3,5935331.26,2018-12-16T10:14:54,100000000.0,2018-12-06,YDI,50000000000.0,YDI06122018,189,6898.36,63039.87,0.016854,TRYYKBK00458,9090682.0,6073564.08,360371467.0
4,5839891.3,2018-12-17T10:14:59,100000000.0,2018-12-07,YDI,50000000000.0,YDI07122018,191,6946.99,65041.72,0.016755,TRYYKBK00458,9098858.0,6039342.74,360460248.0
5,6008341.54,2018-12-20T10:14:57,100000000.0,2018-12-10,YDI,50000000000.0,YDI10122018,191,6476.08,204436.59,0.016832,TRYYKBK00458,9170398.0,6067284.85,360460248.0
6,6006993.17,2018-12-21T10:14:56,100000000.0,2018-12-11,YDI,50000000000.0,YDI11122018,193,6486.66,769496.85,0.01665,TRYYKBK00458,9194926.0,6001724.4,360461317.0
7,6005756.27,2018-12-22T10:14:55,100000000.0,2018-12-12,YDI,50000000000.0,YDI12122018,193,7045.95,271176.34,0.016641,TRYYKBK00458,9219454.0,6004225.27,360806523.0
8,6058992.12,2018-12-23T10:14:54,100000000.0,2018-12-13,YDI,50000000000.0,YDI13122018,193,7411.76,272175.87,0.016364,TRYYKBK00458,9227630.0,5905058.68,360866656.0
9,6105146.6,2018-12-24T10:14:53,100000000.0,2018-12-14,YDI,50000000000.0,YDI14122018,193,6868.48,774497.27,0.016624,TRYYKBK00458,9235807.0,5999987.19,360927765.0
10,5906442.9,2018-12-27T10:14:57,100000000.0,2018-12-17,YDI,50000000000.0,YDI17122018,194,6643.15,122234.64,0.016488,TRYYKBK00458,9307346.0,5951328.28,360939777.0
11,5909200.93,2018-12-28T10:14:59,100000000.0,2018-12-18,YDI,50000000000.0,YDI18122018,194,7165.69,173111.38,0.01644,TRYYKBK00458,9332793.0,5912204.71,359633229.0
12,6031267.12,2018-12-29T10:14:58,100000000.0,2018-12-19,YDI,50000000000.0,YDI19122018,194,7191.66,153098.3,0.016627,TRYYKBK00458,9357321.0,5980292.22,359673519.0
