,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,17148702.79,2018-12-13T10:14:57,51200000.0,2018-12-03,YEF,50000000000.0,YEF03122018,1306,8111.52,1031000.21,0.060155,TRMYEFWWWWW9,9032432.0,17069972.48,283764773.0
1,17074697.2,2018-12-14T10:14:56,51200000.0,2018-12-04,YEF,50000000000.0,YEF04122018,1306,8501.29,1024656.48,0.059914,TRMYEFWWWWW9,9057981.0,16800947.32,280418787.0
2,16638791.07,2018-12-15T10:14:55,51200000.0,2018-12-05,YEF,50000000000.0,YEF05122018,1302,8145.29,820527.95,0.059081,TRMYEFWWWWW9,9082509.0,16480992.58,278954865.0
3,16532469.28,2018-12-16T10:14:54,51200000.0,2018-12-06,YEF,50000000000.0,YEF06122018,1299,8916.08,713455.15,0.059082,TRMYEFWWWWW9,9090685.0,16379221.65,277228873.0
4,16368857.26,2018-12-17T10:14:59,51200000.0,2018-12-07,YEF,50000000000.0,YEF07122018,1295,8425.77,748476.47,0.05837,TRMYEFWWWWW9,9098861.0,16324832.49,279679251.0
5,16607297.09,2018-12-20T10:14:57,51200000.0,2018-12-10,YEF,50000000000.0,YEF10122018,1296,8696.8,822585.77,0.058948,TRMYEFWWWWW9,9170401.0,16560129.99,280926269.0
6,16452661.71,2018-12-21T10:14:56,51200000.0,2018-12-11,YEF,50000000000.0,YEF11122018,1294,8077.14,922596.14,0.058046,TRMYEFWWWWW9,9194929.0,16390996.66,282378459.0
7,16421123.33,2018-12-22T10:14:55,51200000.0,2018-12-12,YEF,50000000000.0,YEF12122018,1294,8789.16,955612.25,0.057817,TRMYEFWWWWW9,9219457.0,16375445.87,283227048.0
8,16140153.73,2018-12-23T10:14:54,51200000.0,2018-12-13,YEF,50000000000.0,YEF13122018,1293,8407.51,961620.04,0.056802,TRMYEFWWWWW9,9227633.0,16084630.35,283168262.0
9,16422301.73,2018-12-24T10:14:53,51200000.0,2018-12-14,YEF,50000000000.0,YEF14122018,1294,8862.03,0.0,0.057621,TRMYEFWWWWW9,9235810.0,16370473.1,284108334.0
10,16282571.96,2018-12-27T10:14:57,51200000.0,2018-12-17,YEF,50000000000.0,YEF17122018,1293,8893.0,1009951.1,0.057124,TRMYEFWWWWW9,9307349.0,16124181.62,282265516.0
11,16105849.78,2018-12-28T10:14:59,51200000.0,2018-12-18,YEF,50000000000.0,YEF18122018,1293,9381.69,917587.88,0.056923,TRMYEFWWWWW9,9332796.0,15968714.6,280531792.0
12,16218428.12,2018-12-29T10:14:58,51200000.0,2018-12-19,YEF,50000000000.0,YEF19122018,1294,8815.07,812522.79,0.057699,TRMYEFWWWWW9,9357324.0,16154026.76,279971581.0
13,16489984.91,2018-12-30T10:14:58,51200000.0,2018-12-20,YEF,50000000000.0,YEF20122018,1288,8205.14,814526.31,0.058662,TRMYEFWWWWW9,9365499.0,16390764.22,279411441.0
14,16351494.91,2018-12-31T10:15:00,51200000.0,2018-12-21,YEF,50000000000.0,YEF21122018,1287,8539.15,801514.62,0.058211,TRMYEFWWWWW9,9373675.0,16283989.01,279739965.0
15,16359075.87,2019-01-03T10:14:57,51200000.0,2018-12-24,YEF,50000000000.0,YEF24122018,1287,8609.18,800530.14,0.058236,TRMYEFWWWWW9,9425797.0,16295443.53,279819107.0
16,16300522.68,2019-01-04T10:14:57,51200000.0,2018-12-25,YEF,50000000000.0,YEF25122018,1288,8698.69,799510.05,0.058029,TRMYEFWWWWW9,9450325.0,16239509.37,279849278.0
17,16173638.39,2019-01-05T10:14:56,51200000.0,2018-12-26,YEF,50000000000.0,YEF26122018,1287,8922.44,801511.32,0.057565,TRMYEFWWWWW9,9473831.0,16025862.32,278396620.0
18,16126725.12,2019-01-06T10:14:55,51200000.0,2018-12-27,YEF,50000000000.0,YEF27122018,1284,8388.87,721489.88,0.057682,TRMYEFWWWWW9,9480985.0,16059851.84,278420528.0
19,16135458.14,2019-01-07T10:15:00,51200000.0,2018-12-28,YEF,50000000000.0,YEF28122018,1285,8416.58,720464.55,0.057715,TRMYEFWWWWW9,9488140.0,16020749.62,277582487.0
20,15990889.36,2019-01-10T10:14:57,51200000.0,2018-12-31,YEF,50000000000.0,YEF31122018,1283,8959.18,667289.12,0.057378,TRMYEFWWWWW9,9556615.0,15908046.91,277247743.0
21,16121091.69,2019-01-12T10:14:58,51200000.0,2019-01-02,YEF,50000000000.0,YEF02012019,1281,8896.98,664867.75,0.057854,TRMYEFWWWWW9,9604545.0,16047246.51,277375128.0
22,15691498.92,2019-01-13T10:14:57,51200000.0,2019-01-03,YEF,50000000000.0,YEF03012019,1281,8939.35,660428.55,0.056319,TRMYEFWWWWW9,9612721.0,15622854.92,277398075.0
23,15629460.83,2019-01-14T10:14:59,51200000.0,2019-01-04,YEF,50000000000.0,YEF04012019,1283,8333.36,705452.94,0.055454,TRMYEFWWWWW9,9620897.0,15402647.99,277754944.0
24,14934975.8,2019-01-17T10:14:57,51200000.0,2019-01-07,YEF,50000000000.0,YEF07012019,1286,8428.93,718387.84,0.056371,TRMYEFWWWWW9,9692437.0,15716557.67,278806638.0
25,15067046.17,2019-01-18T10:14:56,51200000.0,2019-01-08,YEF,50000000000.0,YEF08012019,1286,8846.42,668430.08,0.057021,TRMYEFWWWWW9,9717986.0,15978741.49,280226561.0
26,15845929.95,2019-01-19T10:14:55,51200000.0,2019-01-09,YEF,50000000000.0,YEF09012019,1288,8077.46,1665073.62,0.057537,TRMYEFWWWWW9,9742514.0,16139666.33,280508496.0
27,15901428.48,2019-01-20T10:14:54,51200000.0,2019-01-10,YEF,50000000000.0,YEF10012019,1287,8204.99,1663001.75,0.057752,TRMYEFWWWWW9,9750691.0,15582407.8,269814485.0
28,15647069.83,2019-01-21T10:14:59,51200000.0,2019-01-11,YEF,50000000000.0,YEF11012019,1282,8763.34,1413923.29,0.057732,TRMYEFWWWWW9,9758867.0,15363900.84,266122853.0
29,15562387.67,2019-01-24T10:14:57,51200000.0,2019-01-14,YEF,50000000000.0,YEF14012019,1279,9186.78,1245411.08,0.058043,TRMYEFWWWWW9,9830407.0,15498257.28,267011223.0
30,15647575.77,2019-01-25T10:14:56,51200000.0,2019-01-15,YEF,50000000000.0,YEF15012019,1278,8111.38,1245810.1,0.058362,TRMYEFWWWWW9,9855957.0,15555403.12,266532074.0
31,15819434.58,2019-01-26T10:14:55,51200000.0,2019-01-16,YEF,50000000000.0,YEF16012019,1276,8410.5,1225798.77,0.059082,TRMYEFWWWWW9,9880485.0,15733587.75,266301010.0
32,16210621.04,2019-01-27T10:14:57,51200000.0,2019-01-17,YEF,50000000000.0,YEF17012019,1273,8985.59,1207782.07,0.060634,TRMYEFWWWWW9,9888558.0,15984466.14,263623835.0
33,16287227.91,2019-01-28T10:14:59,51200000.0,2019-01-18,YEF,50000000000.0,YEF18012019,1273,8538.24,1046683.48,0.061535,TRMYEFWWWWW9,9896734.0,16200413.8,263269968.0
34,16531332.19,2019-01-31T10:14:57,51200000.0,2019-01-21,YEF,50000000000.0,YEF21012019,1270,8776.94,1026019.95,0.062545,TRMYEFWWWWW9,9968274.0,16322350.45,260969983.0
35,16302738.2,2019-02-01T10:14:56,51200000.0,2019-01-22,YEF,50000000000.0,YEF22012019,1267,9208.44,894587.84,0.062168,TRMYEFWWWWW9,9993824.0,16043548.9,258068875.0
36,16416474.39,2019-02-02T10:14:55,51200000.0,2019-01-23,YEF,50000000000.0,YEF23012019,1259,8488.56,712469.14,0.063314,TRMYEFWWWWW9,10018352.0,16321621.88,257789726.0
37,16095293.11,2019-02-03T10:14:54,51200000.0,2019-01-24,YEF,50000000000.0,YEF24012019,1258,8214.87,688448.61,0.063533,TRMYEFWWWWW9,10026530.0,16338833.82,257170035.0
38,16315325.29,2019-02-04T10:15:00,51200000.0,2019-01-25,YEF,50000000000.0,YEF25012019,1258,8522.27,653413.27,0.064544,TRMYEFWWWWW9,10034706.0,16261075.26,251938313.0
39,16322473.98,2019-02-07T10:14:57,51200000.0,2019-01-28,YEF,50000000000.0,YEF28012019,1255,8040.81,689224.26,0.064421,TRMYEFWWWWW9,10106244.0,16173043.95,251050721.0
40,16183104.09,2019-02-08T10:14:56,51200000.0,2019-01-29,YEF,50000000000.0,YEF29012019,1250,8162.95,639408.78,0.064063,TRMYEFWWWWW9,10131794.0,16076299.18,250943421.0
41,16675700.1,2019-02-09T10:14:55,51200000.0,2019-01-30,YEF,50000000000.0,YEF30012019,1254,9296.97,683437.87,0.065843,TRMYEFWWWWW9,10156324.0,16572662.22,251698467.0
42,16666624.62,2019-02-10T10:14:54,51200000.0,2019-01-31,YEF,50000000000.0,YEF31012019,1256,8975.59,657420.3,0.065908,TRMYEFWWWWW9,10164498.0,16573686.37,251465839.0
43,16663288.34,2019-02-11T10:14:53,51200000.0,2019-02-01,YEF,50000000000.0,YEF01022019,1257,9023.98,651416.46,0.065917,TRMYEFWWWWW9,10172674.0,16559121.14,251213581.0
