,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,31707725.98,2018-12-13T10:14:57,1800000.0,2018-12-03,YHS,50000000000.0,YHS03122018,1598,8714.13,1083101.29,1.185285,TRMKC5WWWWW6,9032435.0,31609832.99,26668553.0
1,31542952.22,2018-12-14T10:14:56,1800000.0,2018-12-04,YHS,50000000000.0,YHS04122018,1598,7960.04,1084694.95,1.178937,TRMKC5WWWWW6,9057984.0,31353503.7,26594725.0
2,31143145.46,2018-12-15T10:14:55,1800000.0,2018-12-05,YHS,50000000000.0,YHS05122018,1597,8229.25,997641.9,1.167062,TRMKC5WWWWW6,9082512.0,30977346.45,26543027.0
3,33380150.77,2018-12-16T10:14:54,1800000.0,2018-12-06,YHS,50000000000.0,YHS06122018,1599,8653.77,848542.49,1.167422,TRMKC5WWWWW6,9090688.0,30987327.06,26543372.0
4,38015076.68,2018-12-17T10:14:59,1800000.0,2018-12-07,YHS,50000000000.0,YHS07122018,1598,8143.11,5851733.11,1.155477,TRMKC5WWWWW6,9098864.0,35618798.52,30826059.0
5,35933178.22,2018-12-20T10:14:57,1800000.0,2018-12-10,YHS,50000000000.0,YHS10122018,1597,8008.68,3485734.01,1.164562,TRMKC5WWWWW6,9170404.0,35899234.51,30826378.0
6,35445844.1,2018-12-21T10:14:56,1800000.0,2018-12-11,YHS,50000000000.0,YHS11122018,1597,7872.22,3490255.25,1.148562,TRMKC5WWWWW6,9194932.0,35409467.98,30829391.0
7,35312633.98,2018-12-22T10:14:55,1800000.0,2018-12-12,YHS,50000000000.0,YHS12122018,1597,8239.66,3490242.2,1.144201,TRMKC5WWWWW6,9219460.0,35275274.27,30829605.0
8,34751863.06,2018-12-23T10:14:54,1800000.0,2018-12-13,YHS,50000000000.0,YHS13122018,1599,8503.68,3492256.55,1.126052,TRMKC5WWWWW6,9227636.0,34716091.68,30829916.0
9,35363421.18,2018-12-24T10:14:53,1800000.0,2018-12-14,YHS,50000000000.0,YHS14122018,1599,7897.68,0.0,1.141512,TRMKC5WWWWW6,9235813.0,35324525.49,30945390.0
10,35112207.53,2018-12-27T10:14:57,1800000.0,2018-12-17,YHS,50000000000.0,YHS17122018,1597,7823.61,3636024.43,1.13291,TRMKC5WWWWW6,9307352.0,35057610.88,30944732.0
11,34891287.17,2018-12-28T10:14:59,1800000.0,2018-12-18,YHS,50000000000.0,YHS18122018,1598,9028.45,3637330.38,1.126718,TRMKC5WWWWW6,9332799.0,34801207.38,30887230.0
12,35236673.71,2018-12-29T10:14:58,1800000.0,2018-12-19,YHS,50000000000.0,YHS19122018,1598,8465.89,3575300.42,1.139878,TRMKC5WWWWW6,9357327.0,35176011.2,30859449.0
13,35809542.3,2018-12-30T10:14:58,1800000.0,2018-12-20,YHS,50000000000.0,YHS20122018,1593,9102.82,3613334.78,1.157202,TRMKC5WWWWW6,9365502.0,35747034.83,30890915.0
14,35549929.84,2018-12-31T10:15:00,1800000.0,2018-12-21,YHS,50000000000.0,YHS21122018,1590,8095.2,3616321.87,1.14862,TRMKC5WWWWW6,9373678.0,35334052.0,30762175.0
15,35471834.63,2019-01-03T10:14:57,1800000.0,2018-12-24,YHS,50000000000.0,YHS24122018,1587,9574.71,3474641.46,1.150558,TRMKC5WWWWW6,9425800.0,35394514.57,30762919.0
16,35444179.42,2019-01-04T10:14:57,1800000.0,2018-12-25,YHS,50000000000.0,YHS25122018,1588,8074.44,3553266.8,1.147044,TRMKC5WWWWW6,9450328.0,35150099.51,30644064.0
17,35017398.71,2019-01-05T10:14:56,1800000.0,2018-12-26,YHS,50000000000.0,YHS26122018,1584,8033.26,3344133.39,1.139895,TRMKC5WWWWW6,9473834.0,34930382.7,30643521.0
18,35129911.14,2019-01-06T10:14:55,1800000.0,2018-12-27,YHS,50000000000.0,YHS27122018,1583,7983.38,3345271.41,1.143486,TRMKC5WWWWW6,9480988.0,35040617.13,30643677.0
19,35190291.61,2019-01-07T10:15:00,1800000.0,2018-12-28,YHS,50000000000.0,YHS28122018,1580,8142.61,3347158.21,1.145351,TRMKC5WWWWW6,9488143.0,35038054.92,30591535.0
20,34960627.68,2019-01-10T10:14:57,1800000.0,2018-12-31,YHS,50000000000.0,YHS31122018,1581,7731.86,3294364.31,1.139436,TRMKC5WWWWW6,9556618.0,34857327.52,30591732.0
21,35296800.51,2019-01-12T10:14:58,1800000.0,2019-01-02,YHS,50000000000.0,YHS02012019,1584,7963.13,3421474.87,1.146158,TRMKC5WWWWW6,9604548.0,35186720.5,30699720.0
22,34367970.16,2019-01-13T10:14:57,1800000.0,2019-01-03,YHS,50000000000.0,YHS03012019,1586,8128.72,3424221.96,1.11575,TRMKC5WWWWW6,9612724.0,34231134.09,30679921.0
