,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,174678359.99,2018-12-13T10:14:57,200000000.0,2018-12-03,YKT,50000000000.0,YKT03122018,5601,10115.12,460901.73,0.029719,TRYYKBK00110,9032437.0,174330562.03,5866025779.0
1,175641142.17,2018-12-14T10:14:56,200000000.0,2018-12-04,YKT,50000000000.0,YKT04122018,5595,8651.92,420272.71,0.029888,TRYYKBK00110,9057986.0,175280959.95,5864599782.0
2,182118977.56,2018-12-15T10:14:55,200000000.0,2018-12-05,YKT,50000000000.0,YKT05122018,5592,10204.59,1748124.78,0.030688,TRYYKBK00110,9082514.0,181749753.84,5922424007.0
3,184695525.37,2018-12-16T10:14:54,200000000.0,2018-12-06,YKT,50000000000.0,YKT06122018,5586,9607.41,1877207.84,0.031168,TRYYKBK00110,9090690.0,184616590.31,5923355150.0
4,185095820.26,2018-12-17T10:14:59,200000000.0,2018-12-07,YKT,50000000000.0,YKT07122018,5584,4178.44,1763124.78,0.031253,TRYYKBK00110,9098866.0,185000300.23,5919487985.0
5,184495645.21,2018-12-20T10:14:57,200000000.0,2018-12-10,YKT,50000000000.0,YKT10122018,5593,4115.97,2057950.43,0.031097,TRYYKBK00110,9170406.0,184367123.71,5928795795.0
6,183488152.12,2018-12-21T10:14:56,200000000.0,2018-12-11,YKT,50000000000.0,YKT11122018,5597,3277.79,1968269.12,0.03094,TRYYKBK00110,9194934.0,183347895.31,5925847666.0
7,187808931.66,2018-12-22T10:14:55,200000000.0,2018-12-12,YKT,50000000000.0,YKT12122018,5596,4417.98,1954262.76,0.031345,TRYYKBK00110,9219462.0,185734090.28,5925479907.0
8,186222961.81,2018-12-23T10:14:54,200000000.0,2018-12-13,YKT,50000000000.0,YKT13122018,5593,6369.46,201128.03,0.031372,TRYYKBK00110,9227638.0,186085882.38,5931685286.0
9,187540969.43,2018-12-24T10:14:53,200000000.0,2018-12-14,YKT,50000000000.0,YKT14122018,5597,7691.02,1128726.25,0.031435,TRYYKBK00110,9235815.0,187394130.29,5961274127.0
10,187491036.14,2018-12-27T10:14:57,200000000.0,2018-12-17,YKT,50000000000.0,YKT17122018,5594,7550.7,1728324.76,0.031321,TRYYKBK00110,9307354.0,187310409.07,5980264741.0
11,188509139.12,2018-12-28T10:14:59,200000000.0,2018-12-18,YKT,50000000000.0,YKT18122018,5602,6917.91,2661712.6,0.031334,TRYYKBK00110,9332801.0,188316614.27,6009994348.0
12,189281404.78,2018-12-29T10:14:58,200000000.0,2018-12-19,YKT,50000000000.0,YKT19122018,5607,6514.19,3071980.78,0.031393,TRYYKBK00110,9357329.0,189077696.58,6023016080.0
13,188923575.19,2018-12-30T10:14:58,200000000.0,2018-12-20,YKT,50000000000.0,YKT20122018,5605,7293.57,3154025.05,0.031318,TRYYKBK00110,9365504.0,188709131.59,6025594301.0
14,187593709.56,2018-12-31T10:15:00,200000000.0,2018-12-21,YKT,50000000000.0,YKT21122018,5613,7449.91,3657348.21,0.031013,TRYYKBK00110,9373680.0,187368302.12,6041605054.0
15,189463541.57,2019-01-03T10:14:57,200000000.0,2018-12-24,YKT,50000000000.0,YKT24122018,5615,8956.1,4064769.43,0.03125,TRYYKBK00110,9425802.0,189205362.08,6054545021.0
16,191308629.92,2019-01-04T10:14:57,200000000.0,2018-12-25,YKT,50000000000.0,YKT25122018,5621,8680.54,5003198.63,0.031314,TRYYKBK00110,9450330.0,191039033.4,6100791026.0
17,194257062.67,2019-01-05T10:14:56,200000000.0,2018-12-26,YKT,50000000000.0,YKT26122018,5616,6974.48,5966814.69,0.031636,TRYYKBK00110,9473836.0,193973752.33,6131394584.0
18,195033195.18,2019-01-06T10:14:55,200000000.0,2018-12-27,YKT,50000000000.0,YKT27122018,5622,7825.51,7386817.57,0.031531,TRYYKBK00110,9480990.0,194740188.17,6176164377.0
19,202331629.41,2019-01-07T10:15:00,200000000.0,2018-12-28,YKT,50000000000.0,YKT28122018,5625,8185.49,7830097.12,0.031596,TRYYKBK00110,9488145.0,195580963.01,6190082406.0
