,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,139769543.95,2018-12-13T10:14:57,9487209.0,2018-12-03,YOT,50000000000.0,YOT03122018,10179,6821.52,2572981.22,5.895875,TRMKC4WWWWW9,9032441.0,139501692.88,23660896.007
1,139916087.15,2018-12-14T10:14:56,9487209.0,2018-12-04,YOT,50000000000.0,YOT04122018,10173,7238.99,22731501.54,5.900083,TRMKC4WWWWW9,9057990.0,139640758.56,23667594.007
2,139841962.39,2018-12-15T10:14:55,9487209.0,2018-12-05,YOT,50000000000.0,YOT05122018,10170,5879.34,22756579.8,5.896794,TRMKC4WWWWW9,9082518.0,139557388.7,23666653.007
3,147987494.34,2018-12-16T10:14:54,9487209.0,2018-12-06,YOT,50000000000.0,YOT06122018,10171,6471.13,2366490.28,5.894868,TRMKC4WWWWW9,9090694.0,139347316.97,23638753.007
4,139304973.84,2018-12-17T10:14:59,9487209.0,2018-12-07,YOT,50000000000.0,YOT07122018,10165,5961.26,14776609.35,5.894204,TRMKC4WWWWW9,9098870.0,139236601.8,23622632.007
5,139205534.28,2018-12-20T10:14:57,9487209.0,2018-12-10,YOT,50000000000.0,YOT10122018,10160,6810.25,13827358.93,5.887551,TRMKC4WWWWW9,9170410.0,139114289.24,23628549.007
6,138884765.46,2018-12-21T10:14:56,9487209.0,2018-12-11,YOT,50000000000.0,YOT11122018,10150,7867.46,13750847.59,5.886522,TRMKC4WWWWW9,9194938.0,139006566.35,23614380.007
7,138534910.18,2018-12-22T10:14:55,9487209.0,2018-12-12,YOT,50000000000.0,YOT12122018,10147,6378.35,13393691.08,5.877508,TRMKC4WWWWW9,9219466.0,138430386.17,23552566.007
8,138023515.11,2018-12-23T10:14:54,9487209.0,2018-12-13,YOT,50000000000.0,YOT13122018,10146,7426.47,13382906.72,5.865578,TRMKC4WWWWW9,9227642.0,137914748.65,23512559.007
9,137893503.12,2018-12-24T10:14:53,9487209.0,2018-12-14,YOT,50000000000.0,YOT14122018,10140,8169.33,13353427.46,5.861306,TRMKC4WWWWW9,9235819.0,137777698.65,23506313.007
10,137916260.32,2018-12-27T10:14:57,9487209.0,2018-12-17,YOT,50000000000.0,YOT17122018,10139,5160.04,3296506.07,5.863932,TRMKC4WWWWW9,9307358.0,137774332.04,23495214.007
11,137646325.0,2018-12-28T10:14:59,9487209.0,2018-12-18,YOT,50000000000.0,YOT18122018,10131,7486.59,3110022.33,5.866581,TRMKC4WWWWW9,9332805.0,137498940.72,23437662.007
12,137705461.57,2018-12-29T10:14:58,9487209.0,2018-12-19,YOT,50000000000.0,YOT19122018,10122,6865.31,13043303.12,5.872228,TRMKC4WWWWW9,9357333.0,137549687.83,23423765.007
13,137542419.6,2018-12-30T10:14:58,9487209.0,2018-12-20,YOT,50000000000.0,YOT20122018,10118,6206.08,367242.32,5.883132,TRMKC4WWWWW9,9365508.0,137374354.55,23350547.007
14,138338002.01,2018-12-31T10:15:00,9487209.0,2018-12-21,YOT,50000000000.0,YOT21122018,10114,6128.98,14212911.55,5.918264,TRMKC4WWWWW9,9373684.0,138159110.43,23344532.007
15,138508994.6,2019-01-03T10:14:57,9487209.0,2018-12-24,YOT,50000000000.0,YOT24122018,10111,4775.76,181346.63,5.92521,TRMKC4WWWWW9,9425806.0,138288400.88,23338987.007
16,137623119.7,2019-01-04T10:14:57,9487209.0,2018-12-25,YOT,50000000000.0,YOT25122018,10100,5441.58,595380.57,5.919654,TRMKC4WWWWW9,9450334.0,137399484.5,23210729.007
17,137403707.03,2019-01-05T10:14:56,9487209.0,2018-12-26,YOT,50000000000.0,YOT26122018,10098,5242.72,13436196.57,5.917159,TRMKC4WWWWW9,9473840.0,137165097.69,23180905.007
18,137293720.04,2019-01-06T10:14:55,9487209.0,2018-12-27,YOT,50000000000.0,YOT27122018,10094,5400.35,4217459.71,5.921917,TRMKC4WWWWW9,9480994.0,137055147.24,23143713.007
19,137610024.19,2019-01-07T10:15:00,9487209.0,2018-12-28,YOT,50000000000.0,YOT28122018,10088,5494.95,14145658.77,5.938884,TRMKC4WWWWW9,9488149.0,137361528.93,23129181.007
20,137804530.25,2019-01-10T10:14:57,9487209.0,2018-12-31,YOT,50000000000.0,YOT31122018,10083,6214.86,137266.31,5.946139,TRMKC4WWWWW9,9556624.0,137521825.56,23127919.007
21,138079832.6,2019-01-12T10:14:58,9487209.0,2019-01-02,YOT,50000000000.0,YOT02012019,10085,6503.25,153193.66,5.957509,TRMKC4WWWWW9,9604554.0,137773594.15,23126039.007
22,138039229.53,2019-01-13T10:14:57,9487209.0,2019-01-03,YOT,50000000000.0,YOT03012019,10080,4658.02,146095.2,5.95525,TRMKC4WWWWW9,9612730.0,137692909.21,23121263.007
23,137723693.0,2019-01-14T10:14:59,9487209.0,2019-01-04,YOT,50000000000.0,YOT04012019,10077,5142.46,460291.75,5.949313,TRMKC4WWWWW9,9620906.0,137321843.46,23081966.007
24,137446313.22,2019-01-17T10:14:57,9487209.0,2019-01-07,YOT,50000000000.0,YOT07012019,10070,4593.63,467880.9,5.958923,TRMKC4WWWWW9,9692446.0,137311923.77,23043079.007
25,137537687.44,2019-01-18T10:14:56,9487209.0,2019-01-08,YOT,50000000000.0,YOT08012019,10063,4951.77,494319.41,5.963351,TRMKC4WWWWW9,9717995.0,137415634.32,23043358.007
