,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,6236052.53,2018-12-13T10:14:57,100000000.0,2018-12-03,ZBD,5010842000.0,ZBD03122018,511,912.26,601156.44,65.787915,TRMKN3WWWWW8,9032446.0,6180867.42,93951.411
1,6234184.74,2018-12-14T10:14:56,100000000.0,2018-12-04,ZBD,5010842000.0,ZBD04122018,512,396.73,600386.3,65.855473,TRMKN3WWWWW8,9057995.0,6209341.97,94287.411
2,6249942.68,2018-12-15T10:14:55,100000000.0,2018-12-05,ZBD,5010842000.0,ZBD05122018,511,81.3,600386.3,65.725662,TRMKN3WWWWW8,9082523.0,6216360.1,94580.411
3,6244938.65,2018-12-16T10:14:54,100000000.0,2018-12-06,ZBD,5010842000.0,ZBD06122018,514,787.7,1000641.1,65.715963,TRMKN3WWWWW8,9090699.0,6219582.79,94643.411
4,6210676.0,2018-12-17T10:14:59,100000000.0,2018-12-07,ZBD,5010842000.0,ZBD07122018,514,927.77,1000642.47,65.642567,TRMKN3WWWWW8,9098875.0,6206466.0,94549.411
5,6229714.9,2018-12-20T10:14:57,100000000.0,2018-12-10,ZBD,5010842000.0,ZBD10122018,516,636.43,1001939.73,65.818607,TRMKN3WWWWW8,9170415.0,6224163.59,94565.411
6,6220507.52,2018-12-21T10:14:56,100000000.0,2018-12-11,ZBD,5010842000.0,ZBD11122018,515,486.06,800518.36,65.71801,TRMKN3WWWWW8,9194943.0,6214453.4,94562.411
7,6211290.59,2018-12-22T10:14:55,100000000.0,2018-12-12,ZBD,5010842000.0,ZBD12122018,515,53.56,900583.15,65.708149,TRMKN3WWWWW8,9219471.0,6204453.22,94424.411
8,6180982.58,2018-12-23T10:14:54,100000000.0,2018-12-13,ZBD,5010842000.0,ZBD13122018,513,514.15,600387.37,65.484057,TRMKN3WWWWW8,9227647.0,6174322.17,94287.411
9,6191151.53,2018-12-24T10:14:53,100000000.0,2018-12-14,ZBD,5010842000.0,ZBD14122018,513,958.39,600386.3,65.594303,TRMKN3WWWWW8,9235824.0,6184651.39,94286.411
10,6196635.03,2018-12-27T10:14:57,100000000.0,2018-12-17,ZBD,5010842000.0,ZBD17122018,513,101.16,601156.44,65.614831,TRMKN3WWWWW8,9307363.0,6188227.23,94311.411
