,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,2421827.29,2018-12-13T10:14:57,3000000000.0,2018-12-03,ZPC,6000000000.0,ZPC03122018,320,626.94,0.0,1.420858,TRYZIPO00071,9032449.0,2411325.68,1697091.0
1,2420125.26,2018-12-14T10:14:56,3000000000.0,2018-12-04,ZPC,6000000000.0,ZPC04122018,320,946.47,0.0,1.422328,TRYZIPO00071,9057998.0,2345550.5,1649092.0
2,2187251.59,2018-12-15T10:14:55,3000000000.0,2018-12-05,ZPC,6000000000.0,ZPC05122018,320,560.3,0.0,1.42561,TRYZIPO00071,9082526.0,2341365.39,1642360.0
3,2302434.05,2018-12-16T10:14:54,3000000000.0,2018-12-06,ZPC,6000000000.0,ZPC06122018,318,15.65,0.0,1.428752,TRYZIPO00071,9090702.0,2352413.15,1646481.0
4,2410995.82,2018-12-17T10:14:59,3000000000.0,2018-12-07,ZPC,6000000000.0,ZPC07122018,322,141.76,0.0,1.424957,TRYZIPO00071,9098878.0,2402196.84,1685803.0
5,2413648.26,2018-12-20T10:14:57,3000000000.0,2018-12-10,ZPC,6000000000.0,ZPC10122018,319,242.3,0.0,1.428364,TRYZIPO00071,9170418.0,2387527.63,1671512.0
6,2408127.96,2018-12-21T10:14:56,3000000000.0,2018-12-11,ZPC,6000000000.0,ZPC11122018,316,176.42,0.0,1.422755,TRYZIPO00071,9194946.0,2330720.66,1638174.0
7,2338009.59,2018-12-22T10:14:55,3000000000.0,2018-12-12,ZPC,6000000000.0,ZPC12122018,321,861.1,0.0,1.425245,TRYZIPO00071,9219474.0,2277667.91,1598089.0
8,2281049.79,2018-12-23T10:14:54,3000000000.0,2018-12-13,ZPC,6000000000.0,ZPC13122018,317,530.91,0.0,1.419064,TRYZIPO00071,9227650.0,2277072.82,1604630.0
9,2352798.47,2018-12-24T10:14:53,3000000000.0,2018-12-14,ZPC,6000000000.0,ZPC14122018,322,666.05,0.0,1.42443,TRYZIPO00071,9235827.0,2332692.46,1637632.0
10,2344403.22,2018-12-27T10:14:57,3000000000.0,2018-12-17,ZPC,6000000000.0,ZPC17122018,321,237.73,0.0,1.422378,TRYZIPO00071,9307366.0,2341196.04,1645973.0
11,2353062.63,2018-12-28T10:14:59,3000000000.0,2018-12-18,ZPC,6000000000.0,ZPC18122018,321,454.45,0.0,1.421696,TRYZIPO00071,9332813.0,2348469.38,1651879.0
12,2459423.34,2018-12-29T10:14:58,3000000000.0,2018-12-19,ZPC,6000000000.0,ZPC19122018,327,626.6,0.0,1.426117,TRYZIPO00071,9357341.0,2396531.61,1680459.0
13,2424328.21,2018-12-30T10:14:58,3000000000.0,2018-12-20,ZPC,6000000000.0,ZPC20122018,325,892.17,0.0,1.430852,TRYZIPO00071,9365516.0,2414296.87,1687314.0
14,2416744.77,2018-12-31T10:15:00,3000000000.0,2018-12-21,ZPC,6000000000.0,ZPC21122018,324,146.77,0.0,1.427332,TRYZIPO00071,9373692.0,2238444.56,1568272.0
15,2248643.92,2019-01-03T10:14:57,3000000000.0,2018-12-24,ZPC,6000000000.0,ZPC24122018,322,910.16,0.0,1.430485,TRYZIPO00071,9425814.0,2232992.32,1561004.0
16,2234923.02,2019-01-04T10:14:57,3000000000.0,2018-12-25,ZPC,6000000000.0,ZPC25122018,320,832.6,0.0,1.430022,TRYZIPO00071,9450342.0,2232372.78,1561076.0
17,2270308.47,2019-01-05T10:14:56,3000000000.0,2018-12-26,ZPC,6000000000.0,ZPC26122018,323,594.34,0.0,1.429619,TRYZIPO00071,9473848.0,2259863.39,1580745.0
18,2287288.47,2019-01-06T10:14:55,3000000000.0,2018-12-27,ZPC,6000000000.0,ZPC27122018,320,602.44,0.0,1.429603,TRYZIPO00071,9481002.0,2275953.82,1592018.0
19,2285420.65,2019-01-07T10:15:00,3000000000.0,2018-12-28,ZPC,6000000000.0,ZPC28122018,316,356.47,0.0,1.43096,TRYZIPO00071,9488157.0,2251536.61,1573445.0
20,2261930.08,2019-01-10T10:14:57,3000000000.0,2018-12-31,ZPC,6000000000.0,ZPC31122018,314,863.2,0.0,1.430625,TRYZIPO00071,9556630.0,2254083.63,1575594.0
21,2304436.24,2019-01-12T10:14:58,3000000000.0,2019-01-02,ZPC,6000000000.0,ZPC02012019,317,845.28,0.0,1.436565,TRYZIPO00071,9604560.0,2297334.82,1599186.0
22,2626699.68,2019-01-13T10:14:57,3000000000.0,2019-01-03,ZPC,6000000000.0,ZPC03012019,316,611.13,0.0,1.431813,TRYZIPO00071,9612736.0,2621558.44,1830936.0
23,2631658.27,2019-01-14T10:14:59,3000000000.0,2019-01-04,ZPC,6000000000.0,ZPC04012019,317,168.71,0.0,1.432923,TRYZIPO00071,9620912.0,2627974.56,1833996.0
24,2724209.35,2019-01-17T10:14:57,3000000000.0,2019-01-07,ZPC,6000000000.0,ZPC07012019,319,530.88,200387.12,1.43862,TRYZIPO00071,9692452.0,2387062.25,1659272.0
25,2395906.14,2019-01-18T10:14:56,3000000000.0,2019-01-08,ZPC,6000000000.0,ZPC08012019,319,189.67,0.0,1.440021,TRYZIPO00071,9718001.0,2343304.61,1627271.0
26,2365190.82,2019-01-19T10:14:55,3000000000.0,2019-01-09,ZPC,6000000000.0,ZPC09012019,321,984.93,0.0,1.445591,TRYZIPO00071,9742529.0,2355601.51,1629508.0
27,2367488.5,2019-01-20T10:14:54,3000000000.0,2019-01-10,ZPC,6000000000.0,ZPC10012019,322,589.47,0.0,1.449618,TRYZIPO00071,9750706.0,2283913.53,1575528.0
28,2293849.16,2019-01-21T10:14:59,3000000000.0,2019-01-11,ZPC,6000000000.0,ZPC11012019,324,252.06,0.0,1.449868,TRYZIPO00071,9758882.0,2283191.22,1574758.0
29,2287618.29,2019-01-24T10:14:57,3000000000.0,2019-01-14,ZPC,6000000000.0,ZPC14012019,322,798.01,0.0,1.451032,TRYZIPO00071,9830422.0,2168400.8,1494385.0
30,2209920.89,2019-01-25T10:14:56,3000000000.0,2019-01-15,ZPC,6000000000.0,ZPC15012019,322,291.04,0.0,1.456335,TRYZIPO00071,9855972.0,2198054.31,1509305.0
31,2403412.15,2019-01-26T10:14:55,3000000000.0,2019-01-16,ZPC,6000000000.0,ZPC16012019,325,367.38,0.0,1.457215,TRYZIPO00071,9880500.0,2400363.95,1647227.0
32,2435758.83,2019-01-27T10:14:57,3000000000.0,2019-01-17,ZPC,6000000000.0,ZPC17012019,329,638.04,0.0,1.468356,TRYZIPO00071,9888573.0,2431798.58,1656137.0
33,2536109.78,2019-01-28T10:14:59,3000000000.0,2019-01-18,ZPC,6000000000.0,ZPC18012019,334,492.11,0.0,1.472658,TRYZIPO00071,9896749.0,2531599.21,1719068.0
34,2574755.56,2019-01-31T10:14:57,3000000000.0,2019-01-21,ZPC,6000000000.0,ZPC21012019,338,532.82,0.0,1.47765,TRYZIPO00071,9968289.0,2571392.7,1740191.0
35,2572539.88,2019-02-01T10:14:56,3000000000.0,2019-01-22,ZPC,6000000000.0,ZPC22012019,339,570.22,0.0,1.474806,TRYZIPO00071,9993839.0,2512120.41,1703356.0
36,2535018.14,2019-02-02T10:14:55,3000000000.0,2019-01-23,ZPC,6000000000.0,ZPC23012019,343,451.41,0.0,1.482229,TRYZIPO00071,10018367.0,2513461.73,1695731.0
37,2525672.2,2019-02-03T10:14:54,3000000000.0,2019-01-24,ZPC,6000000000.0,ZPC24012019,344,78.04,0.0,1.483986,TRYZIPO00071,10026545.0,2309816.02,1556494.0
38,2359638.29,2019-02-04T10:15:00,3000000000.0,2019-01-25,ZPC,6000000000.0,ZPC25012019,344,158.8,0.0,1.487835,TRYZIPO00071,10034721.0,2336889.36,1570664.0
39,2976339.25,2019-02-07T10:14:57,3000000000.0,2019-01-28,ZPC,6000000000.0,ZPC28012019,345,973.76,0.0,1.490662,TRYZIPO00071,10106259.0,2972163.96,1993855.0
40,2990543.73,2019-02-08T10:14:56,3000000000.0,2019-01-29,ZPC,6000000000.0,ZPC29012019,351,473.08,0.0,1.490996,TRYZIPO00071,10131809.0,2984604.15,2001752.0
41,3012261.18,2019-02-09T10:14:55,3000000000.0,2019-01-30,ZPC,6000000000.0,ZPC30012019,354,514.77,0.0,1.503067,TRYZIPO00071,10156339.0,2722044.24,1810993.0
42,2724644.92,2019-02-10T10:14:54,3000000000.0,2019-01-31,ZPC,6000000000.0,ZPC31012019,350,915.89,0.0,1.502725,TRYZIPO00071,10164513.0,2721822.3,1811258.0
43,2735322.35,2019-02-11T10:14:53,3000000000.0,2019-02-01,ZPC,6000000000.0,ZPC01022019,355,606.48,0.0,1.500942,TRYZIPO00071,10172689.0,2703349.76,1801102.0
44,3344568.84,2019-02-14T10:14:58,3000000000.0,2019-02-04,ZPC,6000000000.0,ZPC04022019,362,98.2,300575.75,1.499669,TRYZIPO00071,10244228.0,3274727.28,2183634.0
45,3298461.33,2019-02-15T10:14:57,3000000000.0,2019-02-05,ZPC,6000000000.0,ZPC05022019,364,715.76,200127.95,1.498146,TRYZIPO00071,10269778.0,3223615.2,2151737.0
46,3418566.51,2019-02-16T10:14:56,3000000000.0,2019-02-06,ZPC,6000000000.0,ZPC06022019,368,842.76,200126.58,1.498678,TRYZIPO00071,10294306.0,3309705.49,2208416.0
47,3389908.77,2019-02-17T10:15:00,3000000000.0,2019-02-07,ZPC,6000000000.0,ZPC07022019,366,598.63,200126.85,1.499522,TRYZIPO00071,10302379.0,2879365.13,1920189.0
48,2827960.46,2019-02-18T10:14:58,3000000000.0,2019-02-08,ZPC,6000000000.0,ZPC08022019,362,474.81,300192.74,1.501666,TRYZIPO00071,10310554.0,2544448.92,1694417.0
49,2803091.47,2019-02-21T10:14:57,3000000000.0,2019-02-11,ZPC,6000000000.0,ZPC11022019,368,279.5,150283.56,1.502984,TRYZIPO00071,10382095.0,2731640.32,1817478.0
50,2695995.55,2019-02-22T10:14:56,3000000000.0,2019-02-12,ZPC,6000000000.0,ZPC12022019,366,515.01,0.0,1.509798,TRYZIPO00071,10407644.0,2749396.21,1821036.0
51,2789788.43,2019-02-23T10:14:55,3000000000.0,2019-02-13,ZPC,6000000000.0,ZPC13022019,375,228.26,0.0,1.509709,TRYZIPO00071,10432171.0,2733912.44,1810887.0
52,3000406.46,2019-02-24T10:14:54,3000000000.0,2019-02-14,ZPC,6000000000.0,ZPC14022019,377,389.61,0.0,1.505049,TRYZIPO00071,10440347.0,2989147.06,1986079.0
53,3034146.83,2019-02-25T10:14:59,3000000000.0,2019-02-15,ZPC,6000000000.0,ZPC15022019,374,55.2,0.0,1.50852,TRYZIPO00071,10448523.0,2979728.49,1975266.0
54,2993402.56,2019-02-28T10:14:57,3000000000.0,2019-02-18,ZPC,6000000000.0,ZPC18022019,372,811.1,0.0,1.512713,TRYZIPO00071,10520063.0,2989210.59,1976059.0
