,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,4320186.02,2018-12-13T10:14:57,3000000000.0,2018-12-03,ZPE,6000000000.0,ZPE03122018,184,10706.05,0.0,1.211856,TRYZIPO00055,9032450.0,4282405.8,3533757.0
1,4265317.51,2018-12-14T10:14:56,3000000000.0,2018-12-04,ZPE,6000000000.0,ZPE04122018,182,5953.43,0.0,1.206234,TRYZIPO00055,9057999.0,4246921.98,3520811.0
2,4240421.54,2018-12-15T10:14:55,3000000000.0,2018-12-05,ZPE,6000000000.0,ZPE05122018,181,5320.46,0.0,1.203358,TRYZIPO00055,9082527.0,4202378.9,3492209.0
3,4244039.86,2018-12-16T10:14:54,3000000000.0,2018-12-06,ZPE,6000000000.0,ZPE06122018,181,5942.0,0.0,1.214461,TRYZIPO00055,9090703.0,4207266.23,3464308.0
4,4172437.86,2018-12-17T10:14:59,3000000000.0,2018-12-07,ZPE,6000000000.0,ZPE07122018,181,2521.57,0.0,1.200995,TRYZIPO00055,9098879.0,4172140.65,3473903.0
5,4206728.11,2018-12-20T10:14:57,3000000000.0,2018-12-10,ZPE,6000000000.0,ZPE10122018,181,2502.94,0.0,1.202037,TRYZIPO00055,9170419.0,4205184.44,3498381.0
6,4153311.65,2018-12-21T10:14:56,3000000000.0,2018-12-11,ZPE,6000000000.0,ZPE11122018,181,2152.24,0.0,1.186747,TRYZIPO00055,9194947.0,4151485.17,3498205.0
7,4132890.94,2018-12-22T10:14:55,3000000000.0,2018-12-12,ZPE,6000000000.0,ZPE12122018,180,6898.44,0.0,1.182258,TRYZIPO00055,9219475.0,4105328.96,3472449.0
8,4044511.84,2018-12-23T10:14:54,3000000000.0,2018-12-13,ZPE,6000000000.0,ZPE13122018,177,4193.2,0.0,1.161134,TRYZIPO00055,9227651.0,4044682.53,3483391.0
9,4088084.74,2018-12-24T10:14:53,3000000000.0,2018-12-14,ZPE,6000000000.0,ZPE14122018,178,4251.91,0.0,1.173759,TRYZIPO00055,9235828.0,4077710.43,3474062.0
10,4007479.64,2018-12-27T10:14:57,3000000000.0,2018-12-17,ZPE,6000000000.0,ZPE17122018,175,3436.6,0.0,1.15326,TRYZIPO00055,9307367.0,4006310.84,3473902.0
11,3979841.75,2018-12-28T10:14:59,3000000000.0,2018-12-18,ZPE,6000000000.0,ZPE18122018,175,5767.78,0.0,1.14377,TRYZIPO00055,9332814.0,3953640.82,3456676.0
12,3982803.63,2018-12-29T10:14:58,3000000000.0,2018-12-19,ZPE,6000000000.0,ZPE19122018,175,5854.6,0.0,1.1489,TRYZIPO00055,9357342.0,3982275.9,3466164.0
13,4049189.25,2018-12-30T10:14:58,3000000000.0,2018-12-20,ZPE,6000000000.0,ZPE20122018,176,4297.65,0.0,1.163615,TRYZIPO00055,9365517.0,4048129.59,3478924.0
14,4024698.58,2018-12-31T10:15:00,3000000000.0,2018-12-21,ZPE,6000000000.0,ZPE21122018,177,6419.83,0.0,1.156509,TRYZIPO00055,9373693.0,4015290.85,3471905.0
15,4047762.81,2019-01-03T10:14:57,3000000000.0,2018-12-24,ZPE,6000000000.0,ZPE24122018,177,5207.6,0.0,1.162961,TRYZIPO00055,9425815.0,4046455.26,3479442.0
16,4034958.08,2019-01-04T10:14:57,3000000000.0,2018-12-25,ZPE,6000000000.0,ZPE25122018,176,5419.03,0.0,1.159238,TRYZIPO00055,9450343.0,4021418.51,3469020.0
