,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,7175545.53,2018-12-13T10:14:57,3000000000.0,2018-12-03,ZPF,6000000000.0,ZPF03122018,383,5191.37,0.0,1.81532,TRYZIPO00030,9032451.0,7126421.5,3925711.0
1,7205151.99,2018-12-14T10:14:56,3000000000.0,2018-12-04,ZPF,6000000000.0,ZPF04122018,383,5617.38,0.0,1.830598,TRYZIPO00030,9058000.0,7152451.92,3907166.0
2,7317959.02,2018-12-15T10:14:55,3000000000.0,2018-12-05,ZPF,6000000000.0,ZPF05122018,382,2278.42,0.0,1.862324,TRYZIPO00030,9082528.0,7201195.91,3866780.0
3,7422892.55,2018-12-16T10:14:54,3000000000.0,2018-12-06,ZPF,6000000000.0,ZPF06122018,381,1111.31,0.0,1.897182,TRYZIPO00030,9090704.0,7336009.02,3866792.0
4,7338297.06,2018-12-17T10:14:59,3000000000.0,2018-12-07,ZPF,6000000000.0,ZPF07122018,377,506.58,0.0,1.893629,TRYZIPO00030,9098880.0,7332067.98,3871966.0
5,7404735.16,2018-12-20T10:14:57,3000000000.0,2018-12-10,ZPF,6000000000.0,ZPF10122018,376,1752.33,0.0,1.865839,TRYZIPO00030,9170420.0,7399600.84,3965830.0
6,7423951.78,2018-12-21T10:14:56,3000000000.0,2018-12-11,ZPF,6000000000.0,ZPF11122018,375,6765.38,0.0,1.872193,TRYZIPO00030,9194948.0,7422983.51,3964860.0
7,7526852.87,2018-12-22T10:14:55,3000000000.0,2018-12-12,ZPF,6000000000.0,ZPF12122018,377,5453.16,0.0,1.896968,TRYZIPO00030,9219476.0,7491491.91,3949192.0
8,7553906.85,2018-12-23T10:14:54,3000000000.0,2018-12-13,ZPF,6000000000.0,ZPF13122018,380,3369.28,0.0,1.901259,TRYZIPO00030,9227652.0,7518283.82,3954372.0
9,7550055.89,2018-12-24T10:14:53,3000000000.0,2018-12-14,ZPF,6000000000.0,ZPF14122018,378,5787.66,0.0,1.902795,TRYZIPO00030,9235829.0,7550107.33,3967903.0
10,7695561.03,2018-12-27T10:14:57,3000000000.0,2018-12-17,ZPF,6000000000.0,ZPF17122018,381,1272.71,0.0,1.90651,TRYZIPO00030,9307368.0,7690090.8,4033595.0
11,7712961.24,2018-12-28T10:14:59,3000000000.0,2018-12-18,ZPF,6000000000.0,ZPF18122018,380,2725.91,0.0,1.910968,TRYZIPO00030,9332815.0,7665529.83,4011334.0
12,7715729.99,2018-12-29T10:14:58,3000000000.0,2018-12-19,ZPF,6000000000.0,ZPF19122018,385,946.01,0.0,1.904208,TRYZIPO00030,9357343.0,7665298.28,4025452.0
13,7691874.68,2018-12-30T10:14:58,3000000000.0,2018-12-20,ZPF,6000000000.0,ZPF20122018,394,1370.98,0.0,1.899556,TRYZIPO00030,9365518.0,7682901.85,4044578.0
14,7657767.95,2018-12-31T10:15:00,3000000000.0,2018-12-21,ZPF,6000000000.0,ZPF21122018,392,3186.02,0.0,1.883605,TRYZIPO00030,9373694.0,7629555.15,4050507.0
15,7991291.58,2019-01-03T10:14:57,3000000000.0,2018-12-24,ZPF,6000000000.0,ZPF24122018,394,4612.73,0.0,1.89012,TRYZIPO00030,9425816.0,7661169.23,4053271.0
16,7696952.01,2019-01-04T10:14:57,3000000000.0,2018-12-25,ZPF,6000000000.0,ZPF25122018,390,3961.91,0.0,1.896903,TRYZIPO00030,9450344.0,7689975.55,4053964.0
17,7721365.72,2019-01-05T10:14:56,3000000000.0,2018-12-26,ZPF,6000000000.0,ZPF26122018,388,1968.03,0.0,1.902199,TRYZIPO00030,9473850.0,7640223.11,4016522.0
18,7703849.97,2019-01-06T10:14:55,3000000000.0,2018-12-27,ZPF,6000000000.0,ZPF27122018,390,1742.1,0.0,1.894826,TRYZIPO00030,9481004.0,7621627.0,4022336.0
