,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,126176965.46,2018-12-13T10:14:57,3000000000.0,2018-12-03,ZPG,6000000000.0,ZPG03122018,1585,694.35,0.0,1.446004,TRYZIPO00048,9032452.0,126022108.42,87151976.0
1,126603694.56,2018-12-14T10:14:56,3000000000.0,2018-12-04,ZPG,6000000000.0,ZPG04122018,1595,856.33,0.0,1.446792,TRYZIPO00048,9058001.0,126443639.89,87395848.0
2,129810293.81,2018-12-15T10:14:55,3000000000.0,2018-12-05,ZPG,6000000000.0,ZPG05122018,1612,637.37,0.0,1.447751,TRYZIPO00048,9082529.0,129644551.54,89548917.0
3,129425426.38,2018-12-16T10:14:54,3000000000.0,2018-12-06,ZPG,6000000000.0,ZPG06122018,1631,455.28,0.0,1.448885,TRYZIPO00048,9090705.0,129254050.07,89209338.0
4,130045285.78,2018-12-17T10:14:59,3000000000.0,2018-12-07,ZPG,6000000000.0,ZPG07122018,1644,906.53,0.0,1.449742,TRYZIPO00048,9098881.0,130017693.26,89683329.0
5,131638407.91,2018-12-20T10:14:57,3000000000.0,2018-12-10,ZPG,6000000000.0,ZPG10122018,1657,415.61,0.0,1.452532,TRYZIPO00048,9170421.0,131593668.87,90596072.0
6,131881327.58,2018-12-21T10:14:56,3000000000.0,2018-12-11,ZPG,6000000000.0,ZPG11122018,1659,656.67,0.0,1.452969,TRYZIPO00048,9194949.0,131831267.42,90732338.0
7,157511297.8,2018-12-22T10:14:55,3000000000.0,2018-12-12,ZPG,6000000000.0,ZPG12122018,1673,610.83,0.0,1.453757,TRYZIPO00048,9219477.0,157454435.22,108308671.0
8,158702603.75,2018-12-23T10:14:54,3000000000.0,2018-12-13,ZPG,6000000000.0,ZPG13122018,1694,8024.19,0.0,1.454512,TRYZIPO00048,9227653.0,158647015.05,109072351.0
9,158967481.06,2018-12-24T10:14:53,3000000000.0,2018-12-14,ZPG,6000000000.0,ZPG14122018,1702,551.74,0.0,1.4555,TRYZIPO00048,9235830.0,158897640.93,109170484.0
10,158051277.77,2018-12-27T10:14:57,3000000000.0,2018-12-17,ZPG,6000000000.0,ZPG17122018,1705,819.65,0.0,1.458492,TRYZIPO00048,9307369.0,157961398.17,108304613.0
11,158574995.97,2018-12-28T10:14:59,3000000000.0,2018-12-18,ZPG,6000000000.0,ZPG18122018,1711,274.85,0.0,1.459307,TRYZIPO00048,9332816.0,158477799.69,108597975.0
12,160330985.77,2018-12-29T10:14:58,3000000000.0,2018-12-19,ZPG,6000000000.0,ZPG19122018,1726,74.79,0.0,1.460188,TRYZIPO00048,9357344.0,160226910.5,109730352.0
13,160123732.14,2018-12-30T10:14:58,3000000000.0,2018-12-20,ZPG,6000000000.0,ZPG20122018,1737,879.67,0.0,1.461246,TRYZIPO00048,9365519.0,160013598.87,109504900.0
14,160021378.21,2018-12-31T10:15:00,3000000000.0,2018-12-21,ZPG,6000000000.0,ZPG21122018,1748,781.76,0.0,1.46235,TRYZIPO00048,9373695.0,159904386.02,109347564.0
15,161260610.09,2019-01-03T10:14:57,3000000000.0,2018-12-24,ZPG,6000000000.0,ZPG24122018,1763,957.83,0.0,1.464971,TRYZIPO00048,9425817.0,161123053.17,109983809.0
16,162908048.19,2019-01-04T10:14:57,3000000000.0,2018-12-25,ZPG,6000000000.0,ZPG25122018,1765,980.97,0.0,1.466209,TRYZIPO00048,9450345.0,162763523.18,111009746.0
17,164176966.87,2019-01-05T10:14:56,3000000000.0,2018-12-26,ZPG,6000000000.0,ZPG26122018,1773,576.17,0.0,1.467257,TRYZIPO00048,9473851.0,164024984.92,111790186.0
18,165310363.83,2019-01-06T10:14:55,3000000000.0,2018-12-27,ZPG,6000000000.0,ZPG27122018,1783,339.2,0.0,1.468131,TRYZIPO00048,9481005.0,165151037.07,112490630.0
19,139603067.26,2019-01-07T10:15:00,3000000000.0,2018-12-28,ZPG,6000000000.0,ZPG28122018,1789,457.43,0.0,1.469113,TRYZIPO00048,9488160.0,139437817.56,94912913.0
20,141410121.29,2019-01-10T10:14:57,3000000000.0,2018-12-31,ZPG,6000000000.0,ZPG31122018,1800,808.87,0.0,1.471776,TRYZIPO00048,9556633.0,141227458.09,95957158.0
21,141573395.05,2019-01-12T10:14:58,3000000000.0,2019-01-02,ZPG,6000000000.0,ZPG02012019,1805,604.22,0.0,1.473633,TRYZIPO00048,9604563.0,141378795.81,95938937.0
22,141156303.4,2019-01-13T10:14:57,3000000000.0,2019-01-03,ZPG,6000000000.0,ZPG03012019,1805,699.3,0.0,1.474452,TRYZIPO00048,9612739.0,140955810.98,95598768.0
23,142212183.28,2019-01-14T10:14:59,3000000000.0,2019-01-04,ZPG,6000000000.0,ZPG04012019,1823,634.17,0.0,1.474937,TRYZIPO00048,9620915.0,142005764.81,96279203.0
24,144498623.35,2019-01-17T10:14:57,3000000000.0,2019-01-07,ZPG,6000000000.0,ZPG07012019,1844,718.43,0.0,1.476969,TRYZIPO00048,9692455.0,144273909.33,97682410.0
25,144703074.85,2019-01-18T10:14:56,3000000000.0,2019-01-08,ZPG,6000000000.0,ZPG08012019,1848,822.38,0.0,1.477745,TRYZIPO00048,9718004.0,144649326.62,97885179.0
26,144238824.57,2019-01-19T10:14:55,3000000000.0,2019-01-09,ZPG,6000000000.0,ZPG09012019,1851,930.29,0.0,1.478185,TRYZIPO00048,9742532.0,144179018.59,97537852.0
27,144221069.89,2019-01-20T10:14:54,3000000000.0,2019-01-10,ZPG,6000000000.0,ZPG10012019,1844,874.13,0.0,1.478812,TRYZIPO00048,9750709.0,144155043.11,97480323.0
28,137289256.12,2019-01-21T10:14:59,3000000000.0,2019-01-11,ZPG,6000000000.0,ZPG11012019,1835,345.22,0.0,1.479226,TRYZIPO00048,9758885.0,137219606.12,92764441.0
29,135885599.45,2019-01-24T10:14:57,3000000000.0,2019-01-14,ZPG,6000000000.0,ZPG14012019,1829,481.52,0.0,1.481371,TRYZIPO00048,9830425.0,135798884.23,91671073.0
30,136906734.63,2019-01-25T10:14:56,3000000000.0,2019-01-15,ZPG,6000000000.0,ZPG15012019,1831,226.91,0.0,1.482235,TRYZIPO00048,9855975.0,136813995.53,92302529.0
31,135688984.98,2019-01-26T10:14:55,3000000000.0,2019-01-16,ZPG,6000000000.0,ZPG16012019,1821,943.95,0.0,1.482942,TRYZIPO00048,9880503.0,135598313.35,91438705.0
32,136454769.6,2019-01-27T10:14:57,3000000000.0,2019-01-17,ZPG,6000000000.0,ZPG17012019,1830,882.0,0.0,1.483849,TRYZIPO00048,9888576.0,136358285.78,91894981.0
33,135231994.32,2019-01-28T10:14:59,3000000000.0,2019-01-18,ZPG,6000000000.0,ZPG18012019,1829,183.88,0.0,1.484755,TRYZIPO00048,9896752.0,135129113.5,91011071.0
34,135201577.04,2019-01-31T10:14:57,3000000000.0,2019-01-21,ZPG,6000000000.0,ZPG21012019,1828,989.95,0.0,1.486759,TRYZIPO00048,9968292.0,135082697.81,90857187.0
35,135372368.37,2019-02-01T10:14:56,3000000000.0,2019-01-22,ZPG,6000000000.0,ZPG22012019,1834,416.28,0.0,1.487492,TRYZIPO00048,9993842.0,135247207.57,90922984.0
36,134832392.33,2019-02-02T10:14:55,3000000000.0,2019-01-23,ZPG,6000000000.0,ZPG23012019,1824,674.24,0.0,1.488366,TRYZIPO00048,10018370.0,134701775.43,90503129.0
37,136172511.95,2019-02-03T10:14:54,3000000000.0,2019-01-24,ZPG,6000000000.0,ZPG24012019,1815,228.59,0.0,1.489115,TRYZIPO00048,10026548.0,136035684.24,91353379.0
38,136441915.32,2019-02-04T10:15:00,3000000000.0,2019-01-25,ZPG,6000000000.0,ZPG25012019,1821,503.31,0.0,1.489854,TRYZIPO00048,10034724.0,136299598.54,91485191.0
39,136382037.67,2019-02-07T10:14:57,3000000000.0,2019-01-28,ZPG,6000000000.0,ZPG28012019,1813,328.88,0.0,1.49177,TRYZIPO00048,10106262.0,136222255.51,91315828.0
40,134901062.0,2019-02-08T10:14:56,3000000000.0,2019-01-29,ZPG,6000000000.0,ZPG29012019,1807,701.59,0.0,1.487458,TRYZIPO00048,10131812.0,134735954.49,90581337.0
41,133666298.66,2019-02-09T10:14:55,3000000000.0,2019-01-30,ZPG,6000000000.0,ZPG30012019,1808,782.52,0.0,1.48806,TRYZIPO00048,10156342.0,133495623.59,89711168.0
42,132609917.51,2019-02-10T10:14:54,3000000000.0,2019-01-31,ZPG,6000000000.0,ZPG31012019,1799,1664.56,0.0,1.488745,TRYZIPO00048,10164516.0,132434506.76,88957137.0
43,131813140.91,2019-02-11T10:14:53,3000000000.0,2019-02-01,ZPG,6000000000.0,ZPG01022019,1792,824.22,0.0,1.490299,TRYZIPO00048,10172692.0,131631306.37,88325436.0
44,131781045.87,2019-02-14T10:14:58,3000000000.0,2019-02-04,ZPG,6000000000.0,ZPG04022019,1773,69.95,0.0,1.493034,TRYZIPO00048,10244231.0,131581788.96,88130445.0
45,130469767.5,2019-02-15T10:14:57,3000000000.0,2019-02-05,ZPG,6000000000.0,ZPG05022019,1778,364.35,0.0,1.493767,TRYZIPO00048,10269781.0,130265278.33,87205874.0
46,130627731.46,2019-02-16T10:14:56,3000000000.0,2019-02-06,ZPG,6000000000.0,ZPG06022019,1777,139.91,0.0,1.494495,TRYZIPO00048,10294309.0,130417501.96,87265284.0
47,130967634.75,2019-02-17T10:15:00,3000000000.0,2019-02-07,ZPG,6000000000.0,ZPG07022019,1776,685.22,0.0,1.495288,TRYZIPO00048,10302382.0,130927793.42,87560263.0
48,131528752.35,2019-02-18T10:14:58,3000000000.0,2019-02-08,ZPG,6000000000.0,ZPG08022019,1779,294.25,0.0,1.496261,TRYZIPO00048,10310557.0,131482959.33,87874361.0
49,131177634.15,2019-02-21T10:14:57,3000000000.0,2019-02-11,ZPG,6000000000.0,ZPG11022019,1778,64.56,0.0,1.498635,TRYZIPO00048,10382098.0,131114994.03,87489583.0
50,132371690.26,2019-02-22T10:14:56,3000000000.0,2019-02-12,ZPG,6000000000.0,ZPG12022019,1781,434.58,0.0,1.499469,TRYZIPO00048,10407647.0,132303866.0,88233797.0
51,133549838.91,2019-02-23T10:14:55,3000000000.0,2019-02-13,ZPG,6000000000.0,ZPG13022019,1774,534.65,0.0,1.499946,TRYZIPO00048,10432174.0,132478402.03,88322119.0
52,132119283.07,2019-02-24T10:14:54,3000000000.0,2019-02-14,ZPG,6000000000.0,ZPG14022019,1782,952.32,0.0,1.500969,TRYZIPO00048,10440350.0,132042732.46,87971635.0
53,132090017.49,2019-02-25T10:14:59,3000000000.0,2019-02-15,ZPG,6000000000.0,ZPG15022019,1785,884.94,0.0,1.501719,TRYZIPO00048,10448526.0,132007868.25,87904530.0
54,131764855.7,2019-02-28T10:14:57,3000000000.0,2019-02-18,ZPG,6000000000.0,ZPG18022019,1784,367.51,0.0,1.503949,TRYZIPO00048,10520066.0,131666700.49,87547300.0
55,132145226.73,2019-03-01T10:14:55,3000000000.0,2019-02-19,ZPG,6000000000.0,ZPG19022019,1784,859.19,0.0,1.504646,TRYZIPO00048,10545616.0,132042201.58,87756326.0
56,131934851.19,2019-03-02T10:14:55,3000000000.0,2019-02-20,ZPG,6000000000.0,ZPG20022019,1779,191.58,0.0,1.505439,TRYZIPO00048,10570146.0,131825634.73,87566268.0
57,130893025.79,2019-03-03T10:14:53,3000000000.0,2019-02-21,ZPG,6000000000.0,ZPG21022019,1772,87.63,0.0,1.506461,TRYZIPO00048,10578322.0,130778330.19,86811612.0
58,130735575.46,2019-03-04T10:14:52,3000000000.0,2019-02-22,ZPG,6000000000.0,ZPG22022019,1772,420.79,0.0,1.50718,TRYZIPO00048,10586482.0,130615714.39,86662316.0
59,131696660.74,2019-03-07T10:14:48,3000000000.0,2019-02-25,ZPG,6000000000.0,ZPG25022019,1772,383.18,0.0,1.509183,TRYZIPO00048,10658022.0,131560145.34,87173102.0
60,132300244.19,2019-03-08T10:15:00,3000000000.0,2019-02-26,ZPG,6000000000.0,ZPG26022019,1772,521.6,0.0,1.509982,TRYZIPO00048,10659044.0,132158302.8,87523077.0
61,131011860.17,2019-03-08T14:39:42,3000000000.0,2019-02-27,ZPG,6000000000.0,ZPG27022019,1765,230.74,0.0,1.510731,TRYZIPO00048,10660066.0,130864103.18,86623039.0
62,130783883.77,2019-03-08T14:40:51,3000000000.0,2019-02-28,ZPG,6000000000.0,ZPG28022019,1761,915.16,0.0,1.511368,TRYZIPO00048,10661088.0,130631296.42,86432491.0
63,130199750.95,2019-03-08T14:41:57,3000000000.0,2019-03-01,ZPG,6000000000.0,ZPG01032019,1761,793.59,0.0,1.512098,TRYZIPO00048,10662110.0,130041550.29,86000753.0
64,130602436.3,2019-03-08T14:43:06,3000000000.0,2019-03-04,ZPG,6000000000.0,ZPG04032019,1759,685.74,0.0,1.514545,TRYZIPO00048,10663132.0,130427619.39,86116687.0
65,130587904.65,2019-03-08T14:44:12,3000000000.0,2019-03-05,ZPG,6000000000.0,ZPG05032019,1763,439.29,0.0,1.515281,TRYZIPO00048,10664155.0,130407333.57,86061489.0
66,131031494.73,2019-03-08T14:45:23,3000000000.0,2019-03-06,ZPG,6000000000.0,ZPG06032019,1765,208.48,0.0,1.51585,TRYZIPO00048,10665177.0,130845151.06,86318007.0
67,132100165.95,2019-03-07T13:50:07,3000000000.0,2019-03-07,ZPG,6000000000.0,ZPG07032019,1763,983.17,0.0,1.516624,TRYZIPO00048,10667221.0,132060195.41,87075128.0
68,132296199.01,2019-03-08T10:50:00,3000000000.0,2019-03-08,ZPG,6000000000.0,ZPG08032019,1762,608.15,0.0,1.517338,TRYZIPO00048,10668243.0,132250250.94,87159390.0
