,Kodu,TEFAS İşlem Başlangıç Saati,Fon Alış Valörü,TEFAS Min. Alış İşlem Miktarı ,TEFAS Max. Alış İşlem Miktarı ,TEFAS İşlem Durumu,Çıkış Komisyonu,ISIN Kodu,TEFAS Son İşlem Saati,Fon Satış Valörü,TEFAS Min. Satış İşlem Miktarı ,TEFAS Max. Satış İşlem Miktarı ,Giriş Komisyonu,price
0,AAK,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMAF1WWWWW4,17:30,1.0,1,0.0, ,0.0048
1,AAL,09:00,0.0,10000,0.0,İşlem Görüyor, ,TRMAALWWWWW5,13:30,0.0,10,0.0, ,0.01
2,AAS,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYATAM00028,17:30,2.0,1,0.0, ,0.0021
3,AAV,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYATAM00069,17:30,2.0,1,0.0, ,0.002
4,ACC,09:00,1.0,1,999999999999999.0,İşlem Görüyor, ,TRYACTU00027,17:30,2.0,1,999999999999999.0, ,0.0013
5,ACD,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMACDWWWWW8,17:30,2.0,1,0.0, ,0.0043
6,ACK,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYACMD00010,17:30,2.0,1,0.0, ,0.0045
7,ACU,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYACTU00084,17:00,0.0,1,0.0, ,0.0032
8,ADE,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRMADEWWWWW4,17:45,1.0,1,90000000000.0, ,0.0056
9,ADP,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRMADFWWWWW1,17:45,2.0,1,90000000000.0, ,0.002
10,AED,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYATAM00010,17:30,2.0,1,0.0, ,0.0062
11,AES,09:00,1.0,1,50000000000.0,İşlem Görüyor, ,TRYAKBK00441,17:45,3.0,1,90000000000.0, ,0.008
12,AFA,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00458,17:45,3.0,1,90000000000.0, ,0.0058
13,AFO,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00052,17:45,1.0,1,90000000000.0, ,0.0021
14,AFS,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00482,17:45,3.0,1,90000000000.0, ,0.0068
15,AFT,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00144,17:45,3.0,1,90000000000.0, ,0.0013
16,AFV,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKBK00466,17:45,3.0,1,90000000000.0, ,0.0042
17,AGC,09:00,1.0,1,9000000000000.0,İşlem Görüyor, ,TRYAKPO00468,17:45,3.0,1,90000000000.0, ,0.0039
18,AHI,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYATLP00028,17:30,2.0,1,0.0, ,0.0034
